element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,26.473958,49.916667,67.822165,0.507937,0.507937,14.134721,7.725271,11.053802,14.226502,6.027715,12.036381,1.763585,49.041667
110,38.824242,44.319697,66.559454,0.866142,0.866142,16.466825,7.781279,11.861875,16.414612,7.692019,11.727215,0.814780,34.975758
240,26.128472,46.615278,67.022092,0.469667,0.469667,14.296090,7.484358,15.273158,14.283837,7.529000,15.081875,2.185130,52.081944
500,42.041333,51.999667,75.226523,0.488759,0.488759,15.462600,7.686335,15.423481,14.365481,7.676017,15.721956,2.169331,38.750667
800,36.458750,50.737708,69.819994,0.782014,0.782014,17.841454,9.285304,16.921590,18.768967,9.710325,16.966571,1.142860,40.034583
1024,29.968099,49.079102,71.526590,0.500244,0.500244,18.331419,7.760094,18.938331,18.075035,7.775110,19.619254,2.284637,37.909505
1500,29.194444,44.847222,82.246771,0.732780,0.732780,18.900867,10.903585,19.330198,19.345183,10.683892,19.240146,1.356634,33.935111
2048,29.686930,48.946777,150.125502,0.500122,0.500122,18.452290,8.455679,20.003737,18.585958,8.194106,20.060040,2.147226,29.730794
3000,28.629778,41.981444,125.998463,0.732601,0.732601,19.827235,12.372377,20.597100,19.278300,11.936610,20.679123,1.620719,30.949000
6000,30.015056,58.765056,361.714783,0.732511,0.732511,19.833600,14.208290,23.259225,20.385250,15.000385,23.397650,1.612813,33.284722
8192,31.296611,59.072734,317.505569,0.500031,0.500031,19.292067,8.345902,21.524867,18.979139,8.204329,21.226962,3.011193,37.455241
12000,30.339125,49.318875,394.020981,0.732467,0.732467,19.870642,14.635506,23.868396,19.786544,14.781146,23.918335,1.767203,33.967583
16384,30.158569,56.366404,182.453581,0.500015,0.500015,21.459760,8.688000,22.678560,21.028562,8.702717,23.053371,3.705884,41.954041
25000,34.330267,52.305840,916.545400,0.762963,0.762963,22.048394,18.126256,27.430548,22.629356,17.038727,26.699390,1.815069,33.286120
32768,33.068553,58.428660,380.001494,0.500008,0.500008,23.268606,8.954396,24.801412,22.400927,9.040962,25.057706,4.110918,36.053131
45000,36.348144,54.116511,837.146660,0.686656,0.686656,26.620815,14.081998,27.889233,28.293412,13.774854,27.711294,2.411330,36.905867
60000,37.820950,62.070486,457.739629,0.457767,0.457767,44.115265,8.899187,36.205971,45.491840,9.190448,36.241104,4.777549,53.725928
100000,63.353053,67.504307,1213.860900,0.762945,0.762945,56.262929,22.529160,47.612938,54.927179,22.446263,47.008446,2.012117,48.094160
150000,46.067593,66.476573,969.973367,0.572207,0.572207,65.497519,17.609162,50.365844,64.247723,17.829579,49.574796,3.486196,51.420280
200000,51.783958,63.116597,520.451450,0.762942,0.762942,73.132977,28.138615,58.207421,70.759638,28.095662,56.099906,2.021240,51.955137
300000,57.542129,75.837408,389.228702,0.572206,0.572206,99.306000,22.057327,78.302181,100.931675,21.404956,72.296794,3.513439,68.299073
400000,57.993889,77.037500,399.939806,0.762941,0.762941,110.939573,34.043912,83.459706,110.833756,33.483721,83.462440,2.101854,62.144584
600000,74.953982,97.641644,383.425398,0.572205,0.572205,131.522836,31.904427,96.771890,134.572246,32.927894,98.382031,3.624277,77.216551
800000,80.075833,100.510191,429.013121,0.762940,0.762940,138.040321,45.855485,110.087446,137.890838,46.034231,109.642650,2.124738,81.197396
1200000,90.240035,116.650972,360.149477,0.572205,0.572205,143.821642,39.431835,105.530213,143.195494,40.286233,106.445035,3.517179,84.845393
2200000,90.900066,134.226771,427.581246,0.524521,0.524521,153.299129,41.593787,114.196138,153.186677,42.638240,114.657348,3.688252,90.017759
3100000,97.899886,128.203098,556.517438,0.739098,0.739098,155.926762,52.304633,121.133579,155.714231,51.966335,119.287312,1.911375,91.658723
6000000,97.685951,135.178837,542.341715,0.715256,0.715256,169.324854,53.277567,127.680650,166.470479,55.305627,126.926760,1.824212,97.994498
10000000,116.442873,171.632729,444.279365,0.596047,0.596047,179.228319,52.761496,130.493433,178.085071,52.711535,129.107019,3.379775,111.633049
