element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,18.875000,36.239583,26.024062,0.507937,0.507937,2.778219,2.633910,2.538687,2.787321,2.612250,2.544017,2.039194,20.822917
110,19.001515,31.690909,25.008344,0.866142,0.866142,2.802119,2.922769,2.844665,2.818800,2.875846,3.083360,1.036433,31.063636
240,18.806944,33.390278,25.212150,0.469667,0.469667,2.969029,2.559271,2.463844,2.964373,2.547352,2.495564,2.283886,17.533333
500,17.500667,31.778000,25.348221,0.488759,0.488759,3.017575,2.684619,2.508258,3.038821,2.685033,2.480721,1.794610,18.055333
800,18.020625,28.958333,24.670265,0.782014,0.782014,2.934506,2.803375,2.726910,2.988075,2.817181,2.901410,1.069475,18.853750
1024,17.632650,32.626790,27.100938,0.500244,0.500244,3.032252,2.979965,2.627046,3.038775,2.981565,2.578583,1.796498,17.496745
1500,19.240556,28.611333,37.320427,0.732780,0.732780,3.086379,3.084513,2.815536,3.086421,2.946862,2.778842,1.197444,20.064667
2048,19.053141,33.664225,29.686658,0.500122,0.500122,3.047165,2.998196,2.902267,3.054190,2.901319,2.753408,1.964258,17.333984
3000,19.268444,29.546333,37.886890,0.732601,0.732601,3.004731,4.544742,4.160038,3.050079,3.683154,4.257983,1.327471,19.583333
6000,18.446778,27.979167,41.904754,0.732511,0.732511,3.258229,4.340875,8.627913,3.275444,4.515302,8.645719,1.540213,18.370333
8192,18.508097,33.593933,29.521496,0.500031,0.500031,2.958850,2.939592,6.005065,2.950908,2.892875,6.088360,2.963704,18.954834
12000,18.914903,26.318861,46.744804,0.732467,0.732467,3.312942,5.715490,9.839450,3.292294,5.731435,9.530525,1.813623,18.039361
16384,18.399974,35.032094,35.046129,0.500015,0.500015,3.162390,2.881860,7.775417,3.134438,2.855650,7.968563,3.854467,17.155965
25000,19.841113,27.607500,55.425565,0.762963,0.762963,3.511519,9.321796,11.543277,3.657433,7.679056,11.776085,2.253890,23.558347
32768,26.157583,40.027410,56.853965,0.500008,0.500008,3.341083,2.957912,9.207185,3.380950,2.959675,8.898254,4.397772,17.709951
45000,18.307874,29.970985,85.528402,0.686656,0.686656,3.534860,5.069290,10.232869,3.537779,5.080725,10.166108,2.549621,17.540430
60000,18.634953,33.259258,79.469010,0.457767,0.457767,3.540602,3.060508,9.753967,3.546498,3.052954,9.767754,4.790003,17.877778
100000,19.845553,27.479860,109.083694,0.762945,0.762945,4.124419,8.072548,12.548510,4.123127,7.982240,12.616533,2.107383,18.837363
150000,21.027318,32.283980,63.384813,0.572207,0.572207,3.790456,3.996671,10.451350,4.327152,4.006344,10.429360,3.622886,26.474724
200000,22.712917,31.605553,67.611010,0.762942,0.762942,4.323552,8.738456,13.378698,4.503733,8.744029,13.101042,2.107904,22.752293
300000,22.720649,33.962778,74.958104,0.572206,0.572206,6.563388,4.376052,11.172585,6.346513,4.437790,11.466892,3.555160,19.698704
400000,22.088820,31.395070,92.012333,0.762941,0.762941,8.334792,9.718150,15.128869,8.332492,9.539267,14.929821,2.079854,21.426111
600000,35.322501,41.099120,118.630369,0.572205,0.572205,12.149794,5.626379,13.173046,12.481069,5.793613,13.443571,3.609105,24.948819
800000,26.664271,34.962692,136.600504,0.762940,0.762940,13.323310,10.308902,16.750581,13.219950,11.063206,16.781681,2.084273,27.702188
1200000,35.827083,42.335885,159.400031,0.572205,0.572205,17.422477,6.507908,17.651890,18.537271,6.334646,16.814594,3.434056,34.958808
2200000,45.721146,54.508295,199.199523,0.524521,0.524521,27.172298,8.098194,21.533227,24.012610,8.538723,21.802077,3.843536,47.899047
3100000,46.006129,56.614960,208.064054,0.739098,0.739098,25.509496,14.205183,24.770881,25.473240,14.480360,25.211817,1.994382,47.386980
6000000,55.795323,70.421806,248.412090,0.715256,0.715256,29.803210,14.961523,27.677962,30.087692,15.095892,28.145040,1.846630,55.523815
10000000,65.965917,78.783637,320.180223,0.596047,0.596047,33.628235,14.481283,28.629127,34.583073,12.902521,29.188285,3.499156,65.736575
