element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,45.359375,65.541667,87.179185,0.507937,0.507937,16.018265,6.976517,11.285646,16.012244,6.976308,11.552742,1.591060,46.010417
110,44.318182,58.016667,85.707692,0.866142,0.866142,15.303817,8.720552,11.996296,15.302713,8.722367,11.992029,0.823723,46.715152
240,44.474306,69.155556,86.770988,0.469667,0.469667,15.489694,6.739308,11.207900,15.499475,6.730221,11.191165,2.304157,47.686111
500,52.139000,80.125333,90.231802,0.488759,0.488759,15.724271,6.853900,11.392369,15.567254,6.867000,11.345944,2.308556,49.972000
800,48.584792,64.175625,91.576742,0.782014,0.782014,15.324975,7.375225,11.397167,15.804113,7.372604,11.631033,1.191552,56.475833
1024,51.120280,77.752116,92.809417,0.500244,0.500244,16.621513,6.825331,11.534596,16.641119,6.841073,11.747152,2.179106,53.100260
1500,49.199222,67.458222,113.066217,0.732780,0.732780,19.094165,7.830744,15.699585,20.191019,7.806090,15.474271,1.325698,52.138667
2048,49.235026,84.876139,111.907154,0.500122,0.500122,21.615263,10.972631,20.057152,22.415158,10.296546,19.727758,2.196361,51.479818
3000,50.752333,71.898167,115.380004,0.732601,0.732601,22.754404,11.737881,22.095850,24.735025,11.525350,24.566494,1.446467,52.023111
6000,50.265028,73.822917,122.775435,0.732511,0.732511,25.446706,21.966350,30.259798,25.848885,21.849573,30.341998,1.586160,51.988444
8192,51.085592,87.367533,146.402046,0.500031,0.500031,26.651937,17.654692,28.677135,26.727371,17.883490,28.506765,3.286644,51.817139
12000,52.428208,76.438653,142.392006,0.732467,0.732467,27.237079,22.667206,31.987433,26.950348,22.668127,32.178602,1.818728,52.502333
16384,56.632131,105.111440,164.143123,0.500015,0.500015,27.222544,18.868537,30.757396,26.950994,18.813348,30.636804,3.649369,50.988953
25000,53.121107,78.809727,296.319775,0.762963,0.762963,28.089652,25.225977,33.265433,28.147354,25.179752,33.491035,1.814473,51.962773
32768,52.063202,93.065684,280.340144,0.500008,0.500008,30.649313,20.335642,32.077533,29.765446,19.060475,30.978177,3.912639,61.473846
45000,53.852467,82.820681,297.432198,0.686656,0.686656,29.221431,22.436315,33.453979,29.319490,22.458952,33.409008,2.449844,52.306474
60000,52.844442,101.772689,321.345215,0.457767,0.457767,29.301202,19.108350,32.711438,30.583671,19.687454,34.508744,4.507354,60.197228
100000,56.822917,83.072500,663.390556,0.762945,0.762945,41.691617,26.627306,42.208894,41.862812,26.639050,42.457156,1.956369,54.006387
150000,56.319442,94.854631,542.362896,0.572207,0.572207,60.294785,21.047510,50.026819,60.823735,21.138550,50.081631,3.504107,54.439351
200000,59.042500,87.087222,777.954498,0.762942,0.762942,64.666835,29.837710,55.578162,64.376569,29.851627,55.396719,1.991433,56.868820
300000,60.351851,107.398287,616.161440,0.572206,0.572206,78.678742,24.045896,62.354415,79.510567,24.076860,62.446177,3.486918,61.267222
400000,61.470278,96.564480,677.627404,0.762941,0.762941,89.145513,33.134010,71.551644,90.123769,33.009065,71.363615,2.000127,63.948507
600000,65.304884,119.976064,577.998177,0.572205,0.572205,117.791862,27.067275,88.491125,116.387006,26.774015,87.667469,3.466532,66.899306
800000,67.067865,108.080243,591.895585,0.762940,0.762940,127.634267,39.231654,98.013048,128.661675,39.090339,98.057442,2.017777,69.338542
1200000,76.694479,143.168680,438.377381,0.572205,0.572205,151.978756,35.138286,111.378096,151.094090,35.370269,111.134181,3.372253,76.954132
2200000,87.541638,175.245956,397.669365,0.524521,0.524521,173.908854,40.382602,126.323688,173.934412,40.338242,126.199319,3.669214,87.891162
3100000,89.972648,154.027399,472.226240,0.739098,0.739098,178.702385,52.163794,131.655608,181.004800,52.351398,132.204844,1.877285,89.787993
6000000,99.673618,177.528392,492.854644,0.715256,0.715256,195.831231,53.901119,140.985396,196.321079,53.955856,140.617925,1.775722,99.125537
10000000,109.857533,212.975475,467.664831,0.596047,0.596047,210.502736,51.441429,151.953408,210.711983,51.720317,149.657113,3.364981,109.255064
