element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,35.593750,52.296875,23.213687,0.507937,0.507937,13.916408,2.101965,8.271783,14.060446,2.101917,8.292471,0.780442,40.375000
110,74.178788,87.562121,23.132938,0.866142,0.866142,49.127352,4.037962,27.446702,52.248435,4.055013,27.425471,0.711624,94.824242
240,132.609722,158.825000,23.527908,0.469667,0.469667,103.463152,2.464250,49.934902,104.732835,2.458346,49.828294,1.035735,143.693056
500,239.041667,280.958000,23.718723,0.488759,0.488759,194.493752,2.290313,100.430517,197.068625,2.293565,100.548079,1.014200,241.917333
800,363.324792,396.354375,22.858206,0.782014,0.782014,302.067694,4.019687,158.950012,306.529644,4.054052,160.152825,0.780675,378.715000
1024,465.623861,527.011393,24.876206,0.500244,0.500244,391.577487,2.753881,204.407138,384.048475,2.659115,203.634790,1.040318,463.297852
1500,667.453667,710.402889,34.271538,0.732780,0.732780,581.571542,4.419852,288.946798,564.128275,4.617652,297.193281,0.885858,691.324222
2048,909.501709,1052.686930,29.196856,0.500122,0.500122,776.259575,2.685792,387.839777,752.514702,2.771279,386.180667,1.146916,903.225423
3000,1304.419000,1369.256889,35.329460,0.732601,0.732601,1093.475640,7.422485,559.240898,1093.439012,7.520267,556.254277,0.900955,1285.416667
6000,2575.685194,2760.496528,39.146600,0.732511,0.732511,0.000000,10.265908,1123.820238,0.000000,9.889181,1123.787475,0.900682,1720.303278
8192,3728.290955,4149.616638,28.903517,0.000000,0.000000,0.000000,5.069506,0.000000,0.000000,4.960144,0.000000,1.397254,1229.341309
12000,5460.092028,5939.072347,46.441867,0.000000,0.000000,0.000000,11.901556,0.000000,0.000000,11.637535,0.000000,0.926169,1813.611111
16384,7898.803284,8857.365926,35.180400,0.000000,0.000000,0.000000,5.849721,0.000000,0.000000,5.787521,0.000000,1.448871,2614.952942
25000,12076.534160,13256.888047,0.000000,0.000000,0.000000,0.000000,12.474979,0.000000,0.000000,12.371329,0.000000,0.883629,4048.292773
32768,16681.369787,18689.854518,0.000000,0.000000,0.000000,0.000000,6.356825,0.000000,0.000000,6.340258,0.000000,1.533533,5511.766215
45000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
60000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
