element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,83.984375,293.182292,59.016306,0.500000,0.500000,1.684337,1.671983,1.669390,1.678158,1.670452,1.677937,2.030858,75.531250
110,74.559091,301.639394,63.946652,0.429688,0.859375,1.675877,1.671752,1.676206,1.678162,1.676587,1.674258,2.406333,168.812121
240,68.894444,258.448611,69.668923,0.468750,0.468750,1.689146,1.680492,1.674202,1.675312,1.671723,1.674933,2.232051,58.563889
500,63.889000,218.041667,73.761390,0.488281,0.488281,1.675754,1.668879,1.679544,1.674263,1.675217,1.678396,2.137442,64.500000
800,71.632083,268.533125,53.551156,0.390625,0.781250,1.692498,1.671733,1.669944,1.676937,1.698392,1.681204,2.670858,160.295417
1024,60.119303,227.382975,78.109602,0.500000,0.500000,1.683123,1.673058,1.676560,1.674354,1.686456,1.729785,2.116190,81.569987
1500,75.421333,275.740778,54.168308,0.366211,0.732422,1.679523,1.669756,1.675692,1.684660,1.673225,1.661452,2.834833,169.175778
2048,62.486491,254.173991,79.716231,0.500000,0.500000,1.634073,1.621827,1.623723,1.624035,1.629742,1.632965,2.056906,87.104004
3000,79.585667,280.145833,56.497654,0.366211,0.732422,1.725354,1.747142,1.734546,1.660367,1.653962,1.672119,3.499925,176.074000
6000,81.776611,337.777806,57.582163,0.366211,0.732422,1.694327,1.715923,1.733740,1.677294,1.682227,3.726040,6.779592,184.300944
8192,72.435181,240.194519,86.802644,0.500000,0.500000,1.699100,1.684752,3.458858,1.702215,1.686950,5.646573,6.673442,80.417196
12000,93.376139,306.745944,79.189069,0.366211,0.732422,1.746558,1.726937,7.555875,1.706890,1.687929,8.056921,10.090188,193.685194
16384,76.662282,250.386566,256.267767,0.500000,0.500000,1.695521,1.679598,8.177067,1.703315,1.687194,8.106698,7.854061,66.494425
25000,82.837787,382.919160,85.778617,0.381470,0.762939,1.750315,1.746802,8.886292,1.692794,1.685983,8.880710,9.993823,195.732787
32768,71.347768,299.643840,257.422917,0.500000,0.500000,1.806583,1.792485,9.238981,1.804904,1.797617,9.215850,8.568228,80.408732
45000,99.913585,415.515426,84.876392,0.343323,0.686646,1.924100,1.920298,9.339310,1.758950,1.747569,9.021321,10.675905,200.561422
60000,98.427433,322.487036,157.080992,0.457764,0.457764,1.943890,1.936183,9.717177,1.927448,1.911967,9.631725,9.926183,92.658567
100000,126.832220,440.374720,119.497767,0.381470,0.762939,1.989483,1.984777,9.802146,1.880306,1.864402,9.404856,10.512342,226.504170
150000,166.428796,439.541669,1964.889121,0.572205,0.572205,2.135077,2.097142,10.166898,2.079202,2.058587,10.702602,7.699287,105.685278
200000,216.511668,586.070070,178.709431,0.381470,0.762939,3.812158,3.307302,12.151677,2.214250,2.080848,10.612040,11.075458,310.974583
300000,205.267686,591.130648,2139.619317,0.572205,0.572205,3.661638,3.644512,11.443921,3.868254,3.833783,11.374117,7.608004,144.608841
400000,227.685208,678.311181,228.574110,0.381470,0.762939,6.128435,6.017165,13.259977,3.823612,3.821779,11.777875,10.566852,371.488473
600000,201.431551,638.464907,2200.564083,0.572205,0.572205,5.918148,5.582535,12.956040,5.999396,6.003094,12.947554,7.282012,153.430787
800000,261.053385,749.595851,331.748294,0.381470,0.762939,8.416552,7.301871,14.556440,5.959667,5.521135,12.959525,10.614415,523.454132
1200000,311.019236,824.662361,2857.421192,0.572205,0.572205,7.159244,7.162029,13.939442,7.606338,7.246065,13.746408,7.037247,280.966736
2200000,370.284744,943.311174,1025.967881,0.524521,0.524521,10.929538,11.041756,16.994479,10.785748,11.109294,16.810921,8.050657,346.315070
3100000,427.170840,1177.095350,466.124473,0.369549,0.739098,12.741758,12.926133,19.861112,11.224623,10.921173,17.048342,9.144720,674.331035
6000000,449.824337,8486.065451,440.944185,0.357628,0.715256,16.332787,14.394175,20.142325,13.154792,12.839698,19.084279,8.076630,711.161465
10000000,545.010246,1363.556773,6303.480306,0.596046,0.596046,14.283502,14.551462,20.076192,14.237798,14.484254,20.179913,6.954500,378.437060
