element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,94.401042,301.000000,61.008296,0.500000,0.500000,1.951506,1.962167,1.964096,1.979017,1.975235,1.965788,1.850494,95.052083
110,81.565152,268.874242,64.793021,0.429688,0.859375,1.976162,1.963908,1.947969,1.977988,1.972404,1.946833,2.294977,177.527273
240,69.444444,244.127083,71.419760,0.468750,0.468750,1.982394,1.976779,1.959885,1.969756,1.968338,1.980590,2.153308,60.531944
500,67.708333,252.097333,75.365633,0.488281,0.488281,1.974587,1.970871,1.965933,1.975275,1.981748,1.978131,2.070656,75.222000
800,88.637292,269.297083,55.329883,0.390625,0.781250,1.981196,1.963994,1.947823,1.969785,1.970560,1.965415,2.594671,164.045000
1024,60.330078,243.740397,79.554260,0.500000,0.500000,1.970785,1.969700,1.952992,1.979069,1.971383,1.949690,2.049932,58.675130
1500,74.546444,295.902889,55.252802,0.366211,0.732422,1.980035,1.966500,1.972158,1.981437,1.975331,1.959513,3.037094,178.907333
2048,62.639079,241.685791,82.824938,0.500000,0.500000,1.988715,1.976667,1.953640,1.973158,1.966873,1.948740,2.099738,96.306803
3000,82.974611,310.858778,58.263156,0.366211,0.732422,2.161329,2.143229,2.101973,1.975269,1.987956,1.980115,3.093687,182.500000
6000,84.358806,311.501139,60.575667,0.366211,0.732422,2.045900,2.022562,2.412390,2.007777,1.993208,2.502954,7.037928,190.238444
8192,75.773458,270.775696,89.644854,0.500000,0.500000,2.030588,2.010806,3.230675,2.028923,2.019725,3.279350,6.270971,70.746501
12000,87.619792,332.188653,81.176044,0.366211,0.732422,2.037423,2.026298,5.938435,2.021152,2.014979,7.530965,9.354227,197.351861
16384,82.569132,306.671132,256.027663,0.500000,0.500000,2.044408,2.032706,7.442627,2.046508,2.024242,7.196885,7.912122,68.276326
25000,86.456113,704.740007,89.189873,0.381470,0.762939,2.108544,2.101777,9.145519,2.032671,2.028485,9.020458,9.860544,213.007760
32768,83.168660,550.541565,261.999467,0.500000,0.500000,2.104283,2.099265,9.752448,2.114500,2.095102,9.633938,8.471902,69.710622
45000,96.708644,1100.262807,79.643806,0.343323,0.686646,2.258883,2.242677,10.458946,2.131167,2.118406,10.541325,10.563023,210.544141
60000,86.103586,799.085881,152.114952,0.457764,0.457764,2.256315,2.247242,10.661160,2.262658,2.260033,10.650362,9.537945,79.142356
100000,113.590833,956.625137,115.352262,0.381470,0.762939,2.397081,2.398260,11.435638,2.249163,2.249727,11.463863,10.505163,245.101807
150000,269.991111,1105.713516,1929.973267,0.572205,0.572205,2.399787,2.394048,11.649190,2.409856,2.425848,11.615819,7.326745,158.771296
200000,165.355763,1117.163125,170.747571,0.381470,0.762939,4.014100,3.910285,12.722042,2.408621,2.383565,11.739146,10.531200,318.315278
300000,322.035139,1064.649168,2028.075733,0.572205,0.572205,4.326396,4.305208,13.164342,4.296219,4.246654,13.150085,7.358595,150.692360
400000,203.231285,1231.989062,217.976867,0.381470,0.762939,6.863517,6.753117,15.199117,4.199686,4.194604,13.586483,10.547500,375.072465
600000,499.756504,1260.508750,2118.627333,0.572205,0.572205,6.854083,6.788300,15.307910,6.851450,6.757867,15.249710,7.256683,260.005232
800000,278.821822,1453.860920,299.590281,0.381470,0.762939,8.025100,8.271471,15.987579,6.829579,6.770933,15.276425,10.536683,521.287343
1200000,686.610260,1674.288837,3041.601394,0.572205,0.572205,8.091590,8.016504,16.220408,8.245531,8.143385,16.208652,7.152014,409.818287
2200000,410.064612,1553.517585,1019.088292,0.524521,0.524521,12.286940,12.107035,19.672386,12.246996,12.046717,19.681646,7.778678,265.520896
3100000,443.683474,2008.634496,399.641798,0.369549,0.739098,14.565098,14.481885,22.149206,12.249908,12.176094,19.702646,9.148510,771.188544
6000000,577.951128,2398.111830,418.242667,0.357628,0.715256,15.945598,15.935077,23.385017,14.630460,14.546127,21.954173,8.057229,780.041588
10000000,1423.133038,2782.120883,0.000000,0.596046,0.596046,15.994677,16.052756,23.333423,15.922379,15.950969,23.323762,6.897983,1077.084019
