element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,7.369792,24.739583,14.002733,0.500000,0.500000,2.101621,1.840612,1.900869,2.084381,1.851690,1.906548,1.337102,19.531250
110,7.890909,18.689394,23.853669,0.859375,0.859375,2.199692,2.072527,2.166096,2.236292,2.067740,2.161773,1.007456,14.772727
240,9.404167,19.706250,13.588521,0.937500,0.937500,2.418069,2.333467,2.387721,2.418996,2.342071,2.382856,0.977365,13.426389
500,6.764333,28.611667,14.090735,0.488281,0.488281,2.179067,1.917662,2.070994,2.192462,1.937677,2.060704,1.662021,9.028000
800,9.201458,24.817292,22.559663,0.781250,0.781250,2.301065,2.113677,2.222669,2.303285,2.124083,2.188840,1.143677,11.250000
1024,7.507161,34.044108,14.431094,0.500000,0.500000,2.150229,1.917452,2.036844,2.154927,1.920723,2.027771,1.643120,6.795573
1500,8.879556,31.638889,20.481410,0.732422,0.732422,2.220977,2.086169,2.111494,2.210623,2.025288,2.089183,1.191605,14.286889
2048,7.090332,39.089681,14.122338,0.500000,0.500000,2.114883,1.860735,2.002658,2.108658,1.864250,1.999798,1.587572,8.951986
3000,9.930611,35.180611,20.914356,0.732422,0.732422,2.344369,2.056825,2.178823,2.304906,2.050379,2.193979,1.203417,14.092556
6000,13.840222,37.473417,22.445183,0.732422,0.732422,2.377473,5.261819,2.266348,2.373281,4.329648,2.264019,1.569961,14.745444
8192,9.969076,49.640218,15.679512,0.500000,0.500000,2.446935,5.891444,5.715181,2.485546,6.041037,5.656298,4.814854,10.552287
12000,14.443278,43.041681,23.222135,0.732422,0.732422,3.521523,7.068048,9.420523,3.564250,6.055175,5.399602,1.903257,16.431722
16384,11.016439,48.852295,16.303335,0.500000,0.500000,3.757010,8.074590,9.323567,3.743794,7.504685,11.082102,6.197260,11.925578
25000,16.502780,44.290273,25.575575,0.762939,0.762939,6.200769,10.526844,13.792631,6.196248,10.210898,13.861235,2.520435,17.653893
32768,12.436757,52.859843,16.618490,0.500000,0.500000,4.957283,8.781796,11.105788,4.995090,8.402481,12.057827,6.681223,11.647125
45000,15.205556,46.854937,22.512040,0.686646,0.686646,6.664629,11.260087,13.620827,6.576196,11.015750,14.242477,3.669605,15.268837
60000,30.573144,42.579747,14.965513,0.457764,0.457764,5.077794,8.523708,12.059711,5.272238,8.367062,12.131310,7.326127,33.459494
100000,17.713610,43.327223,26.157554,0.762939,0.762939,7.805596,11.769611,15.535752,7.775894,11.825675,15.651613,2.859965,17.646807
150000,14.605000,50.271853,19.450465,0.572205,0.572205,6.645069,10.692615,14.351750,6.658948,10.627638,14.166033,5.683464,14.746204
200000,18.671597,44.868195,28.403129,0.762939,0.762939,8.469892,12.665662,16.648940,8.578000,12.528531,16.146717,2.917225,19.264098
300000,13.861944,48.489630,23.198287,0.572205,0.572205,7.312950,11.872825,15.714206,7.491817,11.888306,16.190033,5.980806,14.890693
400000,20.122812,46.856493,34.547344,0.762939,0.762939,9.245844,13.855600,18.635079,9.195513,13.772298,18.846254,3.024625,19.681667
600000,18.473264,51.249422,28.413598,0.572205,0.572205,9.665048,13.881994,19.480423,9.622885,13.749458,19.631812,5.789971,19.829676
800000,24.960677,48.814878,42.271050,0.762939,0.762939,11.493098,16.084281,22.372258,11.409340,16.257012,22.263344,3.029265,24.888785
1200000,21.066233,54.854844,33.733223,0.572205,0.572205,10.792187,14.444835,19.978769,11.214542,14.228494,19.401546,5.474175,21.753576
2200000,26.771657,65.030502,40.416498,0.524521,0.524521,13.008164,15.521410,21.444161,13.236575,15.525462,22.231373,5.992426,26.618415
3100000,35.154556,62.699483,64.952838,0.739098,0.739098,15.449590,18.970167,25.961388,15.459600,18.751552,25.969887,2.787462,35.032043
6000000,39.433101,81.558042,80.690700,0.715256,0.715256,18.855271,21.366348,28.312196,18.916904,20.708458,29.649413,2.847424,45.056829
10000000,37.303998,88.697752,54.321244,0.596046,0.596046,16.664025,18.096119,24.736856,16.791465,19.827950,27.241952,5.467342,35.912740
