element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,31.895833,73.781250,56.747681,0.500000,0.500000,15.109796,7.746692,11.462175,15.162085,7.696119,11.487960,1.379892,76.822917
110,37.059091,56.060606,70.131421,0.859375,0.859375,14.645019,8.483756,11.738210,14.919800,8.519098,11.592379,0.987925,77.148485
240,39.265278,57.869444,56.480073,0.937500,0.937500,15.286052,8.650185,12.012358,15.410350,8.676612,12.065396,0.960224,50.115278
500,35.000333,93.708333,56.976231,0.488281,0.488281,15.205577,8.053338,11.621800,14.869087,8.085873,11.807635,1.646956,63.584000
800,40.963125,84.505208,69.218290,0.781250,0.781250,16.331981,8.946871,12.700731,15.795019,8.771694,11.739619,1.129998,51.597500
1024,37.590820,103.963053,60.178075,0.500000,0.500000,18.228404,8.985281,12.175190,18.857706,8.147831,12.241969,1.616082,44.474284
1500,43.874889,93.273000,72.490185,0.732422,0.732422,21.637208,10.417531,14.816923,23.009794,10.146269,17.337062,1.203294,53.972222
2048,40.279867,142.411947,64.390933,0.500000,0.500000,22.749025,12.850223,28.601569,22.188056,15.540256,21.640829,1.614763,43.450195
3000,46.548611,94.074167,72.765494,0.732422,0.732422,26.464260,21.159048,28.664665,25.740008,16.908304,28.387373,1.191397,53.273222
6000,48.885444,106.974556,81.768354,0.732422,0.732422,31.246654,24.108371,35.661687,32.023296,26.055752,38.148675,1.284045,57.324056
8192,47.214091,129.274984,66.020454,0.500000,0.500000,29.530800,23.154438,35.768006,30.165804,21.996533,35.159825,3.905836,49.112996
12000,50.118083,104.583319,80.588773,0.732422,0.732422,32.944425,27.576106,39.376054,33.902267,29.046933,38.636765,2.118251,55.917833
16384,43.281972,121.450643,68.122310,0.500000,0.500000,30.973048,25.870471,37.209604,31.718542,25.017125,36.191692,5.875806,45.210958
25000,55.280280,108.252780,86.810315,0.762939,0.762939,33.784827,29.547656,41.427400,35.033175,30.137283,40.823965,2.668269,57.313333
32768,46.131348,125.065267,95.963833,0.500000,0.500000,33.469546,26.487877,39.219781,32.815948,26.348812,38.823323,6.475583,53.267161
45000,53.690274,113.341663,143.489954,0.686646,0.686646,35.079088,29.741494,40.899010,34.864146,30.616310,42.228769,3.815741,56.472222
60000,60.303122,104.178936,113.496279,0.915527,0.915527,38.705598,32.977371,45.720258,38.875779,32.583638,45.468096,1.361712,64.783567
100000,62.477223,113.625140,164.441806,0.762939,0.762939,46.450317,33.909012,50.450527,45.125038,32.980633,49.542912,2.892562,60.566110
150000,55.653242,122.965276,237.410294,0.572205,0.572205,60.047985,37.880223,58.087881,57.194963,37.807329,59.533267,5.713491,57.497127
200000,65.789235,116.765278,233.348375,0.762939,0.762939,61.325600,42.992471,63.036769,63.074060,42.748042,63.625469,3.036154,66.978540
300000,69.365000,138.136064,269.233798,0.572205,0.572205,75.543373,43.292154,74.521194,80.436154,42.870479,70.833567,5.928161,72.740046
400000,77.437361,126.155173,271.917110,0.762939,0.762939,90.511167,52.186167,84.764571,88.704937,52.818336,90.474656,3.788548,79.801249
600000,102.997546,173.135463,346.432415,0.572205,0.572205,106.574219,52.616081,94.920625,109.673877,54.232523,94.547179,6.105086,80.556597
800000,90.763281,146.892465,371.220779,0.762939,0.762939,131.065773,64.097550,105.822817,120.081019,68.411246,106.466365,3.928108,96.565764
1200000,101.991563,182.037847,288.272054,0.572205,0.572205,134.761719,69.688452,121.845435,136.889433,67.969967,116.475885,6.795793,102.761389
2200000,111.008286,224.968835,296.693154,0.524521,0.524521,141.900983,74.104094,126.140877,144.239837,76.756746,128.453006,7.537551,113.094804
3100000,127.804563,212.213313,371.152213,0.739098,0.739098,153.488042,86.647644,134.502435,156.184964,81.505035,127.671846,4.036855,130.070883
6000000,134.489826,233.154597,364.826373,0.715256,0.715256,152.428054,86.178115,135.045460,155.581456,84.766150,131.708271,3.778099,132.289431
10000000,124.123031,248.752885,343.490715,0.596046,0.596046,152.146696,82.405385,134.036127,151.980096,81.840019,134.795781,6.909773,124.401761
