element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,6.723958,23.218750,14.325502,0.500000,0.500000,2.153819,1.845812,1.960735,2.074542,1.838977,1.944777,1.339181,48.177083
110,9.848485,20.393939,23.985098,0.859375,0.859375,2.346354,2.071694,2.176135,2.265875,2.019619,2.149094,0.976162,20.200000
240,20.862500,20.225694,13.294635,0.937500,0.937500,2.320937,2.204288,2.227367,2.393565,2.222531,2.251114,0.967376,7.755556
500,6.347667,28.028333,14.064310,0.488281,0.488281,2.119421,1.897800,2.009633,2.129523,1.896594,2.009294,1.656765,5.305333
800,8.620000,25.555625,22.421388,0.781250,0.781250,2.205521,1.995011,2.138823,2.295633,2.108017,2.196290,1.182060,15.677500
1024,7.453125,35.115560,14.149269,0.500000,0.500000,2.148352,1.879538,2.017050,2.130410,1.872692,2.062717,1.612036,8.097331
1500,10.537111,30.370444,20.955987,0.732422,0.732422,2.226644,2.051106,2.111779,2.224367,1.984064,2.083890,1.168671,14.453778
2048,7.459798,38.397949,14.592127,0.500000,0.500000,2.163281,1.909242,2.048233,2.219344,1.965229,2.115737,1.694522,10.979492
3000,10.713000,37.162056,21.787315,0.732422,0.732422,2.449242,2.105786,2.224194,2.338702,2.077935,2.189181,1.215154,15.013889
6000,13.842611,38.347194,22.854094,0.732422,0.732422,2.408608,5.353450,2.326052,2.393002,4.197740,2.273944,1.330286,15.020833
8192,10.538717,53.839803,15.831563,0.500000,0.500000,2.487885,6.245369,6.468306,2.492902,6.055579,3.301748,5.667605,10.631958
12000,14.797431,45.555542,23.114208,0.732422,0.732422,4.710902,7.345848,9.614235,3.393571,8.225990,9.639838,1.906198,16.254639
16384,10.901133,49.256643,15.965208,0.500000,0.500000,3.587640,7.357856,9.166062,3.702775,7.411181,8.142852,6.139951,11.355082
25000,15.917220,41.304713,24.733567,0.762939,0.762939,6.141577,10.304504,12.459038,6.011958,10.184777,12.596604,2.458192,16.840000
32768,11.053513,49.633448,16.287467,0.500000,0.500000,4.934429,8.586271,11.874829,4.612871,8.371623,10.912423,6.819547,12.142181
45000,14.827159,43.596452,22.778731,0.686646,0.686646,6.788915,11.731977,13.905152,6.693673,10.822044,14.005231,3.799628,15.301852
60000,20.261578,40.778125,16.185696,0.915527,0.915527,8.295821,12.467648,16.691762,8.935519,12.558058,16.406210,1.358086,20.999078
100000,19.455833,46.623750,26.277383,0.762939,0.762939,7.923275,12.251467,16.284585,7.980942,12.140515,16.199265,2.965452,18.434027
150000,14.739813,49.529073,20.040960,0.572205,0.572205,6.652717,10.540808,14.349783,6.643400,10.675423,14.366085,5.700810,14.964813
200000,18.081737,42.944443,27.073473,0.762939,0.762939,8.207706,12.296500,16.247304,8.194408,12.278265,16.123936,2.896910,17.680002
300000,36.795602,51.491713,25.032038,0.572205,0.572205,7.768219,11.511194,15.438854,7.308848,11.437558,15.928848,5.664552,14.383519
400000,19.155729,44.561181,33.039044,0.762939,0.762939,8.889375,13.311696,18.165483,9.242192,15.137171,19.490204,3.066773,20.123194
600000,20.122893,52.698218,27.298348,0.572205,0.572205,9.399179,13.399048,18.690060,9.301252,13.334910,19.322658,5.632504,17.712893
800000,22.957969,45.882968,42.683577,0.762939,0.762939,11.942056,15.889840,21.537744,11.608131,16.244610,22.083483,2.962294,23.101996
1200000,21.781805,53.985850,33.944750,0.572205,0.572205,10.775042,14.145633,20.052604,11.263529,14.113744,19.771862,5.492394,21.849213
2200000,26.502860,63.762386,39.993896,0.524521,0.524521,13.067004,15.231656,21.588423,13.167335,15.318423,21.159104,5.980460,26.447399
3100000,34.179785,60.386761,64.446038,0.739098,0.739098,15.663054,18.608500,25.963735,15.219150,18.768381,25.778354,2.835340,34.786792
6000000,39.386830,72.821677,68.820937,0.715256,0.715256,17.068279,19.709479,27.384723,17.030381,19.562810,27.449569,2.682561,38.723160
10000000,35.238923,84.118554,54.329242,0.596046,0.596046,16.441450,18.265819,25.827064,16.668371,18.582238,24.345998,5.435969,35.152846
