element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,6.078125,21.489583,13.265217,0.500000,0.500000,1.966190,1.920646,1.932477,2.007652,1.871815,1.875806,1.318279,19.541667
110,10.859091,22.286364,22.845144,0.859375,0.859375,2.240019,2.100617,2.218260,2.238785,2.100767,2.219310,0.977121,6.063636
240,9.202083,19.675000,12.779185,0.937500,0.937500,2.335533,2.009398,2.122846,2.329954,1.999494,2.090398,0.960174,16.202778
500,6.792000,28.375333,13.042783,0.488281,0.488281,2.112333,1.795406,1.928483,2.122263,1.782481,1.904135,1.603802,6.528000
800,8.455000,23.324792,20.996115,0.781250,0.781250,2.193081,1.943798,2.072950,2.181521,1.978975,2.093383,1.115685,10.537917
1024,6.537598,30.748047,13.332287,0.500000,0.500000,2.043406,1.829937,1.996267,2.043769,1.845927,1.961790,1.582448,10.104492
1500,8.740778,30.245444,19.609242,0.732422,0.732422,2.154344,1.980058,2.069998,2.155275,1.941121,2.029225,1.179768,11.500000
2048,6.795085,38.201335,13.430198,0.500000,0.500000,2.066488,1.820052,2.059146,2.027944,1.811406,1.961902,1.585902,7.256348
3000,10.481389,32.972222,19.847410,0.732422,0.732422,2.159792,2.378548,2.189606,2.168310,1.967952,2.053079,1.178352,12.583333
6000,12.302056,34.653917,20.915752,0.732422,0.732422,2.241725,6.206267,5.390229,2.293119,6.435675,3.947060,1.226842,13.282389
8192,9.357015,50.364217,14.752694,0.500000,0.500000,2.691342,5.928969,5.640469,2.562465,6.138725,6.146160,4.526641,9.880900
12000,13.665486,41.923625,21.995640,0.732422,0.732422,4.216483,8.730752,11.101321,3.673129,8.169779,8.522502,2.246205,14.785889
16384,10.091563,49.534281,15.169231,0.500000,0.500000,4.008200,7.295294,10.682104,3.630367,7.072608,11.343815,5.262162,11.386434
25000,15.095007,38.417773,23.999956,0.762939,0.762939,5.940567,10.517154,13.047329,6.003500,10.756465,11.867856,2.341523,15.741107
32768,10.529414,54.574748,15.513958,0.500000,0.500000,4.673696,8.296365,10.917077,4.367979,8.327773,10.821081,6.328810,11.045675
45000,13.991670,45.602311,22.359802,0.686646,0.686646,6.530181,10.856831,12.764202,6.292756,10.598400,12.248296,3.642722,14.657104
60000,19.769906,40.239350,14.517173,0.915527,0.915527,8.210006,11.852352,14.666785,8.280510,11.880933,15.016310,1.290914,20.199544
100000,16.867083,41.469583,25.201323,0.762939,0.762939,7.453556,11.384440,14.938754,7.404000,11.360102,14.714173,3.005713,17.206110
150000,14.526576,47.653889,18.770233,0.572205,0.572205,6.170550,10.226246,13.587252,6.252246,10.587900,14.598225,5.580381,14.822591
200000,19.186457,46.932292,26.532494,0.762939,0.762939,7.721531,11.840929,16.331915,8.195515,12.443917,16.543296,2.933200,19.061530
300000,14.666020,49.972779,25.979267,0.572205,0.572205,8.222069,12.453733,17.403519,8.471796,12.167148,17.386463,5.688980,17.441434
400000,20.473716,49.746701,35.366250,0.762939,0.762939,8.864256,14.186354,18.093537,9.424817,13.550208,17.928542,3.024302,18.116458
600000,17.002362,47.255694,28.003390,0.572205,0.572205,9.865046,13.048654,18.373923,9.978481,13.308238,19.420308,5.333744,17.435300
800000,22.520191,45.783923,41.807290,0.762939,0.762939,11.044327,15.782952,21.307481,10.900763,15.652719,21.096669,2.955446,23.019740
1200000,22.679983,53.565642,34.071973,0.572205,0.572205,10.898723,13.681890,19.192556,11.342887,14.172390,19.463840,5.162106,21.523634
2200000,25.780985,62.528731,40.302900,0.524521,0.524521,13.397421,14.996844,20.943069,13.340640,15.437715,21.200575,5.533483,25.699874
3100000,35.222836,63.616768,64.133467,0.739098,0.739098,15.549937,18.447283,25.315935,15.281012,18.394544,25.729883,2.926805,34.009252
6000000,38.671878,79.483448,75.238331,0.715256,0.715256,17.206889,18.892267,27.870335,17.426000,18.864238,26.213390,2.702172,38.099090
10000000,33.469342,82.723306,56.823300,0.596046,0.596046,16.776019,17.858206,23.331590,17.144952,17.875540,24.641475,5.158869,32.921093
