element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,29.729167,51.656250,51.799037,0.500000,0.500000,11.992329,5.547202,8.652623,11.978504,5.544258,8.639960,1.329865,30.385417
110,30.051515,48.803030,63.327354,0.859375,0.859375,11.700669,5.943821,9.066973,11.953994,5.944350,9.016875,0.971712,49.369697
240,37.500000,51.302778,50.194715,0.937500,0.937500,12.318752,5.830675,8.967254,12.282394,5.851212,8.973365,0.942224,37.962500
500,35.902333,76.681000,51.737490,0.488281,0.488281,12.216940,5.236569,8.308608,11.645700,5.059756,8.317902,1.604912,35.222667
800,34.991250,69.826458,62.163927,0.781250,0.781250,14.887821,5.700737,9.379675,15.478663,5.715085,9.341881,1.106700,43.350833
1024,36.207194,89.389486,54.368713,0.500000,0.500000,17.455954,5.351842,10.633067,18.862350,5.751260,9.122290,1.581960,38.669596
1500,37.713111,77.416778,64.129365,0.732422,0.732422,21.540527,7.555394,20.033008,22.552571,7.524471,11.922519,1.169202,42.574000
2048,36.939779,95.096191,58.109106,0.500000,0.500000,22.428285,7.347215,12.706006,23.744279,8.064969,12.667927,1.585050,39.198242
3000,42.476889,83.444500,67.055204,0.732422,0.732422,27.675279,17.706377,29.112163,27.357425,10.962242,28.681356,1.173621,45.532444
6000,44.488472,91.016222,70.157927,0.732422,0.732422,27.314412,22.008027,27.793552,27.971442,19.544042,27.500621,1.193520,45.981500
8192,39.931396,106.044352,60.499637,0.500000,0.500000,26.901088,16.052548,30.312833,26.202371,19.651419,27.688583,4.037037,40.725708
12000,45.762167,91.175931,75.083267,0.732422,0.732422,29.675663,22.581529,32.585142,29.679021,21.262994,33.973408,1.938360,46.650500
16384,40.213257,111.049642,67.932119,0.500000,0.500000,27.290129,20.316625,32.075685,27.297921,20.167235,31.589383,5.679810,40.650269
25000,47.901673,93.783887,77.907331,0.762939,0.762939,30.589188,24.466892,35.832025,30.739446,24.471423,35.745433,2.543123,49.983320
32768,43.390477,112.548833,72.884183,0.500000,0.500000,28.303771,20.643456,33.233056,28.314940,20.553381,33.241596,6.101994,43.426941
45000,48.406948,97.897537,121.425908,0.686646,0.686646,30.973060,24.759065,36.670081,30.907392,24.752590,36.590008,3.706690,48.336111
60000,55.825117,94.643056,131.992160,0.915527,0.915527,34.082392,26.818542,39.359977,33.622631,26.883479,39.410061,1.320987,56.825922
100000,55.492083,97.430693,157.763058,0.762939,0.762939,38.235675,26.679254,43.171617,38.986731,27.521825,43.358165,2.919954,55.498197
150000,51.861851,110.448336,209.831312,0.572205,0.572205,49.273463,29.345548,50.743156,49.182096,29.557533,50.865519,5.436103,52.048053
200000,59.298678,101.892292,201.092902,0.762939,0.762939,53.629229,34.150581,54.541365,53.660940,34.126692,54.733100,2.930554,59.478682
300000,61.885601,122.820184,283.244381,0.572205,0.572205,60.567565,33.893990,58.455931,60.782871,33.861169,58.736548,5.906718,63.076898
400000,69.195278,114.594375,340.363410,0.762939,0.762939,67.294038,38.976633,63.296446,67.946902,38.993717,63.434100,3.396212,70.018299
600000,69.973727,138.703749,334.127798,0.572205,0.572205,89.361585,40.774271,78.949714,88.613533,40.385692,78.179583,6.026464,73.001088
800000,78.907361,131.914497,363.996177,0.762939,0.762939,98.599890,47.090202,82.859792,98.228933,47.170627,83.503506,3.547690,81.676441
1200000,86.485035,162.512188,288.502796,0.572205,0.572205,111.523360,51.326235,95.958867,111.812169,51.366494,95.874183,6.256489,88.266516
2200000,96.089053,190.145578,284.263225,0.524521,0.524521,120.817267,55.542077,104.394165,120.317742,55.487558,104.317165,7.182578,96.437828
3100000,110.022043,175.733676,322.854335,0.739098,0.739098,127.137992,62.304988,107.054344,126.196367,62.243973,106.831385,3.960782,109.877845
6000000,116.093542,195.287580,361.448587,0.715256,0.715256,132.490681,64.912083,112.214681,132.126083,64.804319,112.435190,3.732726,116.288829
10000000,111.788877,223.575969,333.722777,0.596046,0.596046,134.320098,63.304079,115.576756,133.841819,63.151565,115.217579,6.810685,111.773272
