element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,8.036458,25.598958,4.660502,0.500000,0.500000,1.886381,1.904246,1.842225,1.907794,1.946458,1.891444,1.274404,91.145833
110,7.007576,20.643939,6.350708,0.429688,0.429688,1.851152,1.893069,1.865160,1.866465,1.846631,1.856742,1.319755,43.560606
240,6.336806,17.679167,6.763250,0.468750,0.468750,1.865463,1.872277,1.840090,1.878744,1.896790,1.866448,1.365397,12.441667
500,5.861333,20.485667,7.016165,0.488281,0.488281,1.896706,1.898675,1.853417,1.844502,1.903631,1.881292,1.278654,9.360667
800,13.359167,20.703125,10.202167,0.390625,0.390625,1.847144,1.877031,1.840683,1.879919,1.840571,1.833377,1.451296,32.812500
1024,5.852376,17.768066,7.326408,0.500000,0.500000,1.847198,1.898537,1.885529,1.861054,1.898200,1.944260,1.257445,11.542318
1500,6.046444,25.490778,10.968256,0.366211,0.732422,1.830563,1.814233,1.818596,2.161619,2.214429,2.143271,1.547962,23.824000
2048,7.300456,22.084473,7.863990,0.500000,0.500000,1.876927,1.885485,1.885294,1.863033,1.910646,1.885025,1.183423,8.517741
3000,7.361000,28.108778,11.708033,0.366211,0.732422,1.968383,1.988852,1.984192,3.612042,2.452323,2.431619,2.494686,58.828778
6000,7.881944,40.004611,12.321835,0.366211,0.732422,2.138627,2.341658,4.307592,11.553211,6.941531,3.174085,4.378818,29.511556
8192,9.379903,36.598206,8.598723,0.500000,0.500000,4.962748,5.150550,7.187773,5.674217,4.025204,7.210785,3.775623,11.808634
12000,7.972236,33.452556,12.595304,0.366211,0.732422,3.739419,6.449575,7.389462,14.318806,13.655502,10.487365,5.938725,25.452556
16384,10.113617,35.490245,8.823994,0.500000,0.500000,7.212790,9.673254,10.591713,7.509462,9.982396,9.569150,4.716028,10.471761
25000,10.860847,39.957220,13.457194,0.381470,0.381470,5.842025,8.265252,10.976983,5.845127,8.191542,10.650696,6.533065,35.003347
32768,12.237757,35.597707,9.295483,0.500000,0.500000,8.232346,11.223729,13.559167,8.196692,11.248808,13.306421,5.093684,14.173289
45000,11.539811,42.014048,12.530442,0.343323,0.686646,5.682858,8.336304,11.710663,14.754046,15.316513,16.548112,6.887969,30.285185
60000,12.085189,34.934722,17.793908,0.457764,0.457764,8.891740,11.374329,15.221015,7.965485,11.909354,14.531465,5.805198,14.856950
100000,12.990970,40.893613,15.560900,0.381470,0.381470,6.940613,10.096556,15.458752,6.927744,10.052846,14.917213,6.661550,38.844027
150000,15.125278,50.865280,15.163692,0.286102,0.572205,6.267835,9.200508,15.369329,12.125135,14.874000,17.740444,7.245889,33.571942
200000,15.008055,42.418888,19.074254,0.381470,0.381470,8.294465,12.096627,17.707496,8.370102,12.010906,17.658500,6.923604,43.717500
300000,19.986759,52.529538,18.743040,0.286102,0.572205,7.823421,10.295752,15.700508,14.309396,17.669414,23.101315,7.127583,35.195092
400000,30.206735,42.236319,22.844202,0.381470,0.381470,9.165296,13.097265,18.897379,9.109204,12.840025,18.550611,6.715744,45.958750
600000,22.467986,53.557199,24.235104,0.286102,0.572205,8.632981,12.110163,17.553419,15.490561,19.309621,26.000381,7.006013,41.601713
800000,22.948038,46.075695,32.764296,0.381470,0.381470,10.222523,15.078075,20.112398,10.472852,14.817804,20.039156,6.852787,42.876319
1200000,26.062361,56.440486,31.042090,0.286102,0.572205,10.471054,13.830644,18.905081,16.648642,20.249925,31.675290,6.550607,44.264167
2200000,27.701420,63.704792,33.218410,0.262260,0.524521,11.068992,15.250133,17.519321,15.496054,23.549165,36.126154,8.684180,50.225537
3100000,38.113602,65.029570,38.759871,0.369549,0.369549,13.280110,17.262635,22.606433,12.288360,17.292042,20.522275,5.778973,57.305049
6000000,27.195830,53.675691,39.473933,0.357628,0.715256,13.334021,17.811727,20.520360,33.741808,34.927740,87.968421,5.140061,45.208995
10000000,30.327442,62.132567,37.113483,0.298023,0.596046,12.657612,16.511610,18.628702,19.873115,25.371044,51.775238,6.954579,47.314040
