element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,7.161458,25.395833,6.961115,0.500000,0.500000,1.861275,1.855279,1.849650,1.869819,1.867017,1.850410,1.191258,25.166667
110,7.386364,46.972727,6.178990,0.429688,0.429688,1.862783,1.908721,1.892742,1.835912,1.919104,2.357283,1.326011,32.069697
240,6.308333,17.620833,7.049694,0.468750,0.468750,1.907167,1.938712,1.914196,1.883152,1.918025,1.908475,1.275459,9.895833
500,7.736000,19.666333,7.210058,0.488281,0.488281,1.929348,1.926302,1.936858,1.917046,1.922633,1.942473,1.256350,10.083333
800,6.024583,19.522500,6.385912,0.390625,0.781250,1.922150,2.033796,1.922429,2.222021,2.359356,2.235225,1.461756,147.065833
1024,5.696452,17.449382,7.302117,0.500000,0.500000,1.861371,1.870965,1.873515,1.857785,1.860427,1.870675,1.187354,6.415039
1500,5.875000,25.995333,10.597746,0.366211,0.366211,1.820433,1.862550,1.871160,1.828756,1.824946,1.849862,1.502510,27.805556
2048,6.395182,21.613281,8.344481,0.500000,0.500000,1.916477,1.976590,2.080327,1.943731,1.942092,1.933646,1.148598,10.341960
3000,7.560278,67.763889,11.572735,0.366211,0.366211,1.946615,1.942796,1.967679,1.943760,1.959779,1.958992,3.547146,25.490778
6000,8.148111,41.636556,12.033904,0.366211,0.366211,1.934458,2.602067,9.021263,1.958787,1.922277,3.758554,5.089980,32.995333
8192,9.992839,33.209880,8.683144,0.500000,0.500000,3.709898,6.592765,10.715635,4.022392,3.957321,10.226806,3.670372,10.518392
12000,8.039944,39.071181,12.571415,0.366211,0.732422,2.562006,5.831614,10.352550,12.598035,15.719871,15.645017,5.626056,22.387722
16384,9.465535,28.001139,8.520798,0.500000,0.500000,7.103237,10.770685,14.282400,6.397117,8.529402,11.797910,4.580553,9.780884
25000,10.750820,36.643627,13.104906,0.381470,0.381470,5.451427,7.827404,12.777313,5.719169,8.481821,13.731844,6.442435,36.354453
32768,12.595490,36.899150,9.150375,0.500000,0.500000,8.167177,11.741154,15.156690,8.829860,11.671290,15.049788,5.252191,13.848612
45000,10.233641,40.864041,12.692990,0.343323,0.686646,5.688877,8.211981,13.040161,14.129433,14.817150,16.731927,6.813504,30.124696
60000,11.768522,32.605789,16.987546,0.457764,0.457764,7.822948,10.874271,15.374989,7.943848,11.488075,15.594273,5.747345,12.797450
100000,11.459447,37.107087,15.580540,0.381470,0.381470,7.203985,10.298562,15.315296,6.925788,10.327388,14.927046,6.543267,35.099443
150000,9.306298,43.347502,14.760796,0.286102,0.572205,6.295313,8.960710,14.848956,11.297421,14.029183,17.217110,6.992973,24.657409
200000,10.415833,35.269583,17.847102,0.381470,0.381470,7.821656,11.775321,17.912219,8.286754,11.840848,17.764067,6.578406,33.974792
300000,17.169444,47.097408,17.220121,0.286102,0.572205,7.657719,10.899535,16.684465,15.516281,17.667150,21.120360,6.880983,31.993380
400000,16.938750,39.689965,21.788717,0.381470,0.381470,9.034723,12.808971,19.295317,8.886819,12.369654,18.498635,6.460987,39.165626
600000,19.804768,49.184746,21.862465,0.286102,0.572205,8.195981,11.017692,16.596790,14.813829,17.780094,26.507633,6.705112,35.050093
800000,21.262518,40.865121,27.434560,0.381470,0.381470,9.984977,13.953713,19.568598,9.680204,13.853942,19.824202,6.577190,44.642395
1200000,25.951771,54.480607,29.913506,0.286102,0.572205,10.342702,13.513998,18.451075,16.115525,20.022154,31.694152,6.750123,43.273507
2200000,27.188201,61.614735,31.020629,0.262260,0.524521,10.817912,13.642492,18.281660,15.800806,20.256775,28.584198,6.497341,43.805947
3100000,26.404819,50.782319,36.016369,0.369549,0.369549,12.546327,16.478779,21.088638,12.684298,16.446087,21.046210,5.892414,53.938607
6000000,26.791590,53.816368,36.563135,0.357628,0.715256,12.790567,16.572169,21.423508,31.924248,35.495100,97.565798,5.166017,44.198458
10000000,29.619015,62.406683,36.748233,0.298023,0.596046,11.984615,15.116460,19.032096,20.279871,23.686042,54.041306,7.088004,45.491056
