element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,34.937500,116.541667,4.211173,0.500000,0.500000,1.884963,1.788835,1.796202,1.885771,1.793038,1.797171,0.940990,63.364583
110,5.365152,23.674242,5.367690,0.429688,0.429688,1.708327,1.721167,1.727017,1.707606,1.721771,1.732500,1.336813,20.200000
240,5.092361,15.046528,5.822940,0.468750,0.468750,1.698952,1.719323,1.716931,1.707710,1.720929,1.771837,1.434991,4.802778
500,4.806000,14.124667,6.023087,0.488281,0.488281,1.692721,1.719612,1.709767,1.697206,1.723313,1.698379,1.312804,9.166667
800,4.852083,17.413125,9.952715,0.390625,0.781250,1.692867,1.698242,1.695812,1.829925,1.869877,1.847721,1.511573,16.892083
1024,4.638835,15.496257,6.277971,0.500000,0.500000,1.712027,1.723717,1.756496,1.710979,1.727523,1.720302,1.295044,5.737305
1500,6.393667,22.189889,9.493542,0.366211,0.732422,1.713969,1.695706,1.705983,1.823992,1.863938,1.821573,1.574494,18.194222
2048,5.438883,18.507243,7.000906,0.500000,0.500000,1.748602,1.731565,1.738437,1.744117,1.737069,1.732779,1.256912,6.347656
3000,5.599500,23.534722,10.401467,0.366211,0.732422,1.853315,1.782400,1.835252,1.956533,1.988365,1.991654,1.608784,23.347222
6000,6.701389,24.990750,10.960692,0.366211,0.732422,1.802721,1.766119,1.792902,7.546635,2.157008,6.664544,3.225136,20.236111
8192,6.732483,20.411194,7.752771,0.500000,0.500000,2.528879,1.841596,5.695556,1.854917,1.842704,5.227704,1.301344,9.348551
12000,7.038194,27.974556,11.302721,0.366211,0.732422,1.970977,4.458237,6.330413,8.390444,9.462787,7.867742,5.405856,21.456000
16384,7.121195,21.592031,7.898008,0.500000,0.500000,4.612762,8.315208,10.260542,4.242044,7.937752,9.513848,3.480227,7.438639
25000,9.565833,28.831393,12.028063,0.381470,0.762939,4.323706,6.978677,10.127850,12.108473,11.711981,12.704100,6.132237,24.035000
32768,9.992177,25.916631,8.158115,0.500000,0.500000,6.280985,9.080386,11.265040,6.100852,8.337340,10.818912,4.475726,9.984344
45000,9.218981,32.529781,10.643048,0.343323,0.686646,4.652717,6.627208,9.805854,12.658821,13.026677,14.390265,6.703722,25.525926
60000,10.467247,28.910417,15.576550,0.457764,0.457764,6.644917,9.244471,11.905227,6.440262,8.946171,11.785488,5.488633,9.769456
100000,10.950977,35.766527,12.473325,0.381470,0.762939,5.669558,7.840675,11.351539,12.981952,13.680673,15.964994,6.401808,26.213050
150000,11.612316,40.701758,13.194554,0.286102,0.572205,5.833571,7.589150,12.924948,9.589237,11.524654,13.997579,6.942425,24.400556
200000,10.607570,34.983473,16.642206,0.381470,0.762939,7.555448,10.003185,14.634402,13.815819,14.745290,16.750433,6.503817,25.506182
300000,14.276713,39.546806,16.112202,0.286102,0.572205,6.466298,8.492056,13.601813,12.008135,14.771736,18.496750,6.992214,24.638196
400000,13.077257,34.193853,20.206260,0.381470,0.381470,8.124179,10.810940,15.629396,8.492552,11.353004,16.199925,6.751444,31.907882
600000,19.655903,46.247384,21.005125,0.286102,0.572205,8.070536,10.094612,15.409377,13.793067,16.582321,24.078312,6.672539,33.631412
800000,19.669740,40.658923,25.890087,0.381470,0.762939,9.091298,12.066508,17.402408,19.448990,20.664713,36.758421,6.649160,36.889826
1200000,24.174930,52.918507,27.345788,0.286102,0.572205,9.968725,12.162129,16.989248,14.670004,17.424079,31.893302,6.706148,41.753148
2200000,27.341184,59.635436,29.795119,0.262260,0.524521,10.613279,12.494435,16.475879,15.279246,18.678686,35.261173,6.520491,46.032058
3100000,28.047003,51.266821,38.482258,0.369549,0.739098,13.207131,15.466652,19.433319,28.326285,31.263288,69.922554,5.547961,42.528020
6000000,27.021896,50.610555,37.829512,0.357628,0.715256,11.255942,14.658221,17.568071,23.385971,26.624029,72.999844,5.298083,42.459086
10000000,28.831996,58.683331,34.814677,0.298023,0.596046,11.252731,13.463448,16.358231,16.028652,19.895092,37.015825,6.840123,44.254992
