element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,28.213542,79.218750,4.228742,0.500000,0.500000,1.790175,1.851973,1.823571,1.790252,1.849717,1.820708,1.181435,5.218750
110,16.477273,25.000000,5.778933,0.429688,0.859375,1.748258,1.838573,1.779471,2.118325,2.395042,2.282100,1.358611,17.551515
240,6.250000,16.724306,6.197998,0.468750,0.468750,1.784556,1.798602,1.794675,1.785083,1.799477,1.794519,1.205082,4.223611
500,5.861333,16.111000,6.488835,0.488281,0.488281,1.808171,1.816279,1.815413,1.808431,1.815654,1.815240,1.183971,5.110667
800,5.416875,20.833125,7.184213,0.390625,0.781250,1.767933,1.767637,1.767785,2.145500,2.244454,2.191744,1.422425,18.680417
1024,5.574382,16.357585,6.679419,0.500000,0.500000,1.818956,1.808448,1.814952,1.818606,1.807410,1.811215,1.143085,5.208333
1500,5.699000,22.412000,10.233025,0.366211,0.366211,1.759077,1.759360,1.756906,1.761942,1.794427,1.772204,2.020576,28.444222
2048,5.720296,21.175781,7.371850,0.500000,0.500000,1.820887,1.829558,1.830019,1.813179,1.810835,1.814767,1.429685,7.100586
3000,5.905167,24.319389,10.916119,0.366211,0.732422,1.829804,1.812225,1.816048,3.191225,2.486438,2.323335,2.738305,20.180667
6000,6.334500,26.379639,11.435317,0.366211,0.732422,1.865188,3.162365,5.366140,6.677008,4.733877,8.788031,3.987288,23.474500
8192,7.717550,22.651693,8.035842,0.500000,0.500000,4.546194,5.284317,9.138175,2.851000,5.051352,9.092235,3.710460,8.943319
12000,6.980889,30.673611,11.740858,0.366211,0.366211,2.190377,4.994713,8.132079,2.432833,6.318304,9.724208,5.519754,34.001167
16384,10.351817,25.263468,8.190775,0.500000,0.500000,6.106954,7.745146,10.832088,5.810750,7.779198,10.835898,4.491329,9.513855
25000,9.993060,30.637773,12.492252,0.381470,0.381470,4.856006,6.958627,10.253706,5.259121,7.584052,11.992929,6.186552,36.353893
32768,11.135946,27.405202,8.386290,0.500000,0.500000,7.227158,10.752731,13.315802,7.772115,10.513169,13.404192,5.056022,11.136373
45000,10.653241,35.266200,11.331115,0.343323,0.686646,5.078306,7.619048,11.629667,12.926231,14.054069,16.192796,6.567364,24.784259
60000,10.715742,29.042478,15.879454,0.457764,0.457764,7.084227,9.935213,13.198271,7.054542,10.157900,13.293435,5.655703,10.694906
100000,11.004867,36.226803,13.430875,0.381470,0.762939,6.008100,8.533794,13.003763,15.370665,16.331085,17.902190,6.444017,27.782363
150000,11.259540,41.335553,13.620323,0.286102,0.572205,5.663125,8.026738,13.550525,10.280327,12.527573,15.866883,7.117450,24.092222
200000,11.755278,38.319583,17.281594,0.381470,0.381470,7.310606,10.576340,15.844560,7.376183,10.702927,15.810079,6.547867,34.506873
300000,13.928934,40.314073,16.793417,0.286102,0.572205,6.675298,9.165117,14.478554,12.721762,15.676706,19.703510,6.835618,24.587638
400000,12.796909,33.712743,20.500292,0.381470,0.381470,8.229769,11.300152,16.845877,8.501225,11.788854,16.911588,6.477150,31.583195
600000,20.454005,49.104398,21.594804,0.286102,0.572205,8.279408,10.644669,15.403702,14.023798,17.195417,23.222656,6.661681,35.168310
800000,19.806389,41.586805,26.586977,0.381470,0.381470,9.238504,12.782937,18.029469,9.227725,12.706358,18.066919,6.513377,47.151962
1200000,24.218923,52.566944,27.717404,0.286102,0.572205,9.732327,12.638446,16.871508,14.413917,17.983792,26.917185,6.519614,41.706632
2200000,27.387443,60.068684,30.100271,0.262260,0.524521,10.473452,13.143658,17.377906,14.595731,18.752265,26.148306,6.313955,43.276604
3100000,25.738239,49.888696,35.052777,0.369549,0.739098,11.957512,15.414527,19.443435,31.748773,34.111404,77.521815,5.661619,41.969659
6000000,27.482243,52.785101,36.455115,0.357628,0.357628,12.152719,15.467808,19.328558,12.208092,15.503067,19.550717,5.002911,56.014901
10000000,29.050529,61.137371,34.397279,0.298023,0.596046,11.616198,14.527298,17.948817,18.847362,22.488306,47.314844,6.948846,45.227683
