element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,29.078125,51.218750,41.945087,0.500000,0.500000,10.904544,5.341563,8.131923,10.907560,5.351256,8.140633,1.239773,29.520833
110,29.483333,51.136364,41.046556,0.429688,0.429688,10.348679,4.947885,7.923567,10.293615,4.946679,7.930640,1.409040,68.433333
240,31.105556,51.591667,42.123483,0.468750,0.468750,10.702581,5.018648,8.010406,10.681685,5.018456,7.985175,1.220374,34.606944
500,30.694667,55.153333,43.293744,0.488281,0.488281,10.602117,5.063267,7.992981,10.653262,5.624500,8.329987,1.176529,33.610667
800,29.878542,61.988333,49.344687,0.390625,0.781250,12.358150,4.977367,8.005554,11.649108,6.384754,8.997135,1.461904,67.516667
1024,33.379395,61.543457,45.326785,0.500000,0.500000,16.968538,5.454738,8.908071,12.864898,5.534571,8.924748,1.145941,39.699870
1500,34.101778,70.268444,52.228279,0.366211,0.732422,18.652715,6.481229,10.910904,28.286117,12.892769,22.458479,1.495219,68.240889
2048,35.569987,63.825684,48.521096,0.500000,0.500000,21.522706,16.317960,25.941629,26.536467,15.899210,25.903481,1.159474,39.313314
3000,36.451389,75.108667,53.542127,0.366211,0.366211,26.023700,16.930733,28.810327,20.911821,11.226404,27.268560,2.755687,92.990778
6000,35.701389,76.355278,53.977754,0.366211,0.732422,24.453335,18.292794,30.384450,38.707869,23.215685,35.061358,4.693622,72.819444
8192,39.138794,72.175802,50.217333,0.500000,0.500000,28.840729,20.258717,31.377390,28.851663,20.200229,31.224069,4.030199,40.496867
12000,38.068875,84.149319,57.570765,0.366211,0.366211,27.224779,18.356958,30.711248,27.203379,19.145671,31.346017,5.950931,97.064861
16384,39.359629,75.691640,58.706923,0.500000,0.500000,30.573269,24.285012,34.556777,31.102896,24.366179,35.216694,4.835993,40.180623
25000,41.698053,83.471107,75.104429,0.381470,0.381470,28.771875,21.465258,33.940327,28.507452,20.558356,33.758454,6.256298,93.333893
32768,43.009659,74.218526,72.487119,0.500000,0.500000,32.279125,25.289431,36.914265,32.498937,25.198731,36.986998,5.065797,44.217417
45000,43.290589,92.802159,93.341631,0.343323,0.686646,28.423696,19.866688,34.081954,41.817831,31.061669,40.031933,6.592347,79.869452
60000,45.039469,82.360186,128.951513,0.457764,0.457764,33.161052,25.158521,38.741085,32.743067,25.310946,38.623040,5.683202,48.065506
100000,47.458337,90.967640,148.033377,0.381470,0.762939,44.794838,27.422227,48.793654,53.935350,36.214769,51.780021,6.618004,85.280553
150000,60.275833,113.184444,191.720188,0.286102,0.572205,49.437092,27.917898,51.786250,55.146848,38.388540,56.765306,6.859372,89.516018
200000,53.696388,97.933195,244.255794,0.381470,0.381470,53.933765,32.348365,56.208815,55.250188,32.165396,57.260933,6.499898,112.766042
300000,69.629861,128.397499,234.039365,0.286102,0.572205,65.033865,32.025500,64.250358,64.840383,42.059000,65.222521,6.748425,111.960140
400000,71.697743,110.348299,279.109490,0.381470,0.381470,73.641256,37.841419,72.258462,74.839908,38.084229,72.464304,6.512425,124.212882
600000,85.095625,145.136691,398.272954,0.286102,0.572205,92.069337,42.229304,84.379621,92.314100,51.672894,86.653254,6.712627,132.799468
800000,85.345712,128.749392,330.417785,0.381470,0.381470,98.244633,47.665808,89.818431,97.912925,47.493273,90.393777,6.531769,150.456025
1200000,93.467101,160.345590,297.721631,0.286102,0.572205,106.517323,48.586323,96.051275,113.266994,61.681815,104.306144,6.529986,144.708692
2200000,97.484915,181.954441,260.255423,0.262260,0.524521,112.481181,50.403827,99.660294,116.785590,62.710223,105.749644,6.319187,149.768264
3100000,96.581956,156.945874,270.569333,0.369549,0.369549,115.691937,55.228673,104.255254,116.516025,55.344602,103.981000,5.661886,185.694642
6000000,101.213750,170.253021,287.446090,0.357628,0.715256,120.936379,56.852944,107.982277,142.132552,85.864027,186.065410,4.954997,159.880764
10000000,103.438513,193.586317,289.456465,0.298023,0.596046,122.426890,55.615002,108.983115,130.701258,72.781367,130.689373,6.871415,160.341104
