element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,28.651042,34.505208,22.107229,1.000000,1.000000,3.601990,2.448373,2.730354,3.603265,2.453452,2.732546,1.099050,22.572917
110,24.431818,38.069697,31.859031,0.973451,0.973451,2.513796,2.716994,2.630010,2.507623,2.713867,2.615381,1.002141,30.681818
240,24.855556,35.879861,31.914948,0.995851,0.995851,2.548198,3.245667,2.944944,2.543821,3.242740,2.937225,0.953455,29.223611
500,26.986000,33.597333,32.112988,0.994036,0.994036,2.605283,3.014577,2.822504,2.547327,3.013244,2.814538,0.943394,23.445333
800,26.666458,37.500000,34.637429,0.988875,0.988875,2.734479,3.044800,2.763910,2.576996,3.044031,2.767906,0.941302,25.364583
1024,17.754395,32.809896,24.339502,1.000000,1.000000,2.512304,2.198665,2.090348,2.497842,2.207325,2.104423,0.942126,20.561849
1500,24.717556,32.731556,36.159502,0.992720,0.992720,3.199721,3.110475,2.756152,3.515402,3.075506,2.754135,0.939405,24.148222
2048,17.110270,32.223226,24.815419,1.000000,1.000000,2.682052,2.424048,2.175506,2.697606,2.313702,2.101494,0.936722,17.903646
3000,25.182833,32.344944,40.566750,0.999667,0.999667,6.725340,5.968304,4.606319,5.589119,5.807229,4.284602,0.937124,26.347222
6000,26.936333,34.079861,50.219246,0.998835,0.998835,10.122777,11.285471,15.137217,9.615102,13.907294,12.133215,1.808230,26.793944
8192,25.312642,37.072917,42.100040,1.000000,1.000000,10.287167,7.360571,9.507563,11.197308,7.431221,10.154273,2.572002,25.680583
12000,28.131958,37.276042,66.742060,0.999417,0.999417,11.147481,15.621867,18.223725,10.051352,15.730913,19.518552,2.197311,27.627306
16384,34.413656,45.058787,52.253227,1.000000,1.000000,18.081983,6.222369,16.394746,17.798946,5.935369,16.849100,4.091147,36.320190
25000,28.802767,41.341393,103.143081,0.999480,0.999480,12.250085,16.949981,20.394058,12.293577,17.128596,20.017996,2.554642,28.916667
32768,27.181412,45.551519,97.593788,1.000000,1.000000,12.953650,12.504642,16.071390,12.913217,12.628719,16.328848,3.414300,27.205577
45000,28.527626,40.880093,120.848448,0.999844,0.999844,12.280375,17.810012,21.135638,12.484740,17.707864,21.036394,2.796500,30.200919
60000,28.880903,46.063428,158.898254,0.999783,0.999783,12.502558,17.822944,21.241069,12.489352,17.935956,21.188962,2.770588,29.612506
100000,30.787360,42.691807,181.557977,0.999970,0.999970,13.417873,18.565896,22.083469,13.077196,18.446819,22.215356,2.956317,30.106947
150000,32.210740,47.719629,199.001865,0.999993,0.999993,13.679177,18.970990,22.591902,13.664769,19.964896,23.874952,3.057668,30.415553
200000,33.032223,47.193957,197.719792,0.999985,0.999985,15.222446,20.422817,24.130235,14.767985,20.697921,24.122133,3.172279,33.065970
300000,36.065742,59.065972,207.618404,0.999977,0.999977,19.155940,25.366631,29.590352,17.557556,25.007538,31.508438,3.658122,38.302733
400000,42.160798,66.560763,217.548908,0.999978,0.999978,20.539850,28.773675,34.812177,20.629583,27.805748,35.836904,4.789706,45.509237
600000,55.480509,79.173379,245.325933,0.999982,0.999982,23.630192,32.399687,39.155025,23.555223,31.860358,38.628252,6.242253,54.271434
800000,58.293646,94.642326,258.709517,0.999986,0.999986,24.673279,34.470227,41.899850,24.701296,34.151792,42.965594,8.062708,62.129965
1200000,79.443993,124.706840,301.545890,0.999994,0.999994,30.086463,40.306837,48.871119,30.636021,40.516650,48.780835,8.936875,72.236239
2200000,97.459943,175.304744,333.036346,0.999994,0.999994,35.855233,48.309273,59.362617,36.285600,48.819050,59.919856,12.380867,105.533605
3100000,116.484146,178.013219,349.420923,0.999998,0.999998,40.408894,51.369910,63.478385,39.290117,53.009552,63.909383,12.990361,122.083078
6000000,143.134590,236.228830,345.875794,0.999998,0.999998,42.855369,55.938463,70.346256,42.799127,57.892931,70.215265,14.448974,145.677331
10000000,149.603944,272.303594,390.586673,0.999998,0.999998,44.663000,59.153154,72.129094,42.908983,64.866488,72.976575,19.943288,141.837796
