element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,146.703125,223.307292,41.997571,1.000000,1.000000,8.843994,4.955150,6.418048,8.822008,5.024775,6.413810,1.089890,179.687500
110,31.500000,52.584848,50.556050,0.973451,0.973451,10.745217,5.641992,8.047044,10.911485,5.654760,8.097240,1.027510,31.187879
240,34.288889,45.110417,50.363465,0.995851,0.995851,11.009121,5.896458,8.401654,11.051896,5.831263,8.287742,0.986730,41.552778
500,39.083333,54.971667,53.331800,0.994036,0.994036,11.065698,5.995610,8.139456,11.038087,5.936071,8.154850,0.974340,42.249333
800,37.265625,50.277917,51.474202,0.988875,0.988875,12.009154,5.951606,8.502413,11.522425,5.862594,8.445319,0.966300,46.684167
1024,36.437988,49.370768,42.168721,1.000000,1.000000,10.577542,5.289029,7.006369,10.892165,5.283004,7.042975,0.966538,41.110677
1500,40.347222,47.773222,56.575294,0.992720,0.992720,13.880956,6.940544,9.971338,13.537525,6.812798,9.407060,0.986259,45.092444
2048,36.746582,50.092936,44.489365,1.000000,1.000000,14.187944,7.574248,10.002879,17.571277,9.152325,9.898550,0.965940,40.276367
3000,41.226833,48.965222,61.887508,0.999667,0.999667,18.077940,16.703394,22.279975,21.238819,16.875823,23.682979,2.058066,42.115778
6000,40.974500,49.224500,70.884233,0.998835,0.998835,25.479637,29.033823,35.703902,26.820706,27.702323,30.955056,2.811831,46.071778
8192,40.439168,56.187134,61.733565,1.000000,1.000000,29.261489,24.976369,33.897158,26.764617,26.550606,34.094221,2.616453,41.261475
12000,44.277208,55.036472,100.589969,0.999417,0.999417,29.559104,29.236923,37.093373,28.820329,31.034906,37.473777,2.823592,44.028944
16384,40.639252,57.732900,97.016723,1.000000,1.000000,29.759860,29.613240,36.559129,29.032569,28.679962,35.881140,2.975441,41.595439
25000,45.316673,57.374727,195.155185,0.999480,0.999480,32.598060,33.874063,41.292789,32.618806,33.996492,41.067500,3.095579,46.783893
32768,43.621699,61.366399,171.595608,1.000000,1.000000,30.480833,29.423848,36.285615,30.246444,29.462577,36.684594,2.960417,42.372813
45000,44.443522,58.018211,328.445933,0.999844,0.999844,33.570117,33.355648,41.083883,32.954619,33.534471,41.554858,3.094486,46.994133
60000,45.023264,63.150117,402.986002,0.999783,0.999783,34.151194,34.555175,42.310273,34.747542,35.821296,43.755054,3.234475,47.910878
100000,50.846807,61.836113,548.891713,0.999970,0.999970,36.900469,37.122140,44.630667,36.604367,36.859090,45.702015,3.624244,52.232643
150000,52.534536,67.229167,380.657840,0.999993,0.999993,42.412956,40.376702,49.882623,42.235265,41.298123,50.736498,3.592960,53.053518
200000,54.780137,69.471320,488.299633,0.999985,0.999985,51.111779,44.140811,53.284023,47.777106,42.667300,55.072938,4.324054,51.468892
300000,63.181621,85.112221,254.072231,0.999977,0.999977,59.833537,49.301433,61.161037,58.833402,48.850465,62.705502,5.294480,59.611759
400000,65.881667,83.676667,225.849163,0.999978,0.999978,66.570133,55.259590,69.721073,68.042754,55.718587,68.203679,6.777129,69.380868
600000,82.045115,112.369977,225.843902,0.999982,0.999982,81.034942,63.812423,94.375496,110.322183,73.954615,84.673100,9.584383,106.278774
800000,109.258073,185.180035,335.839721,0.999986,0.999986,114.795615,86.481054,99.232952,118.736300,82.502859,89.670427,9.287248,111.561111
1200000,94.862986,149.864670,269.365485,0.999994,0.999994,111.097919,74.782523,98.267044,114.257156,78.686906,93.505329,11.639592,102.736447
2200000,128.847140,214.120833,324.811827,0.999994,0.999994,140.264631,96.703463,115.537402,152.523571,95.515767,115.746988,17.279756,151.341679
3100000,141.855995,219.612870,435.734721,0.999998,0.999998,169.527856,102.829744,116.347027,144.761962,91.055523,110.476829,15.496559,140.121147
6000000,169.806125,249.515437,930.602975,0.999998,0.999998,154.250833,100.444231,118.640600,155.074571,97.799252,116.890537,16.267720,155.202012
10000000,170.210212,310.591248,359.211110,0.999998,0.999998,161.976792,100.411979,119.623350,163.857231,99.807650,122.111913,35.504473,162.927925
