element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,22.572917,35.161458,22.217375,1.000000,1.000000,2.185338,2.313904,2.342700,2.184490,2.317323,2.326733,1.089215,81.166667
110,23.231818,36.930303,32.230775,0.973451,0.973451,2.484952,3.228202,2.930081,2.469777,3.254402,2.940550,0.993421,35.860606
240,23.003472,34.635417,32.113090,0.995851,0.995851,2.464319,3.136538,2.726731,2.446779,3.157481,2.738317,0.958909,25.462500
500,24.417000,33.027000,31.963954,0.994036,0.994036,2.585071,3.393638,2.995856,2.596433,3.450346,3.006079,0.945937,26.167333
800,25.268958,37.039792,34.877940,0.988875,0.988875,2.550544,3.071973,2.806192,2.710369,3.110279,2.805004,0.941831,31.492500
1024,22.121745,33.386068,24.830762,1.000000,1.000000,2.454648,2.209369,2.278267,2.304213,2.180890,2.255433,0.947922,28.767578
1500,24.648111,33.430444,36.388096,0.992720,0.992720,4.128679,3.083848,2.841894,3.680048,3.095044,3.011094,0.978157,26.018667
2048,21.697998,33.908529,25.053708,1.000000,1.000000,3.381131,2.250344,2.322019,2.863017,2.248504,2.275473,0.942712,24.807454
3000,24.935222,32.479167,43.298650,0.999667,0.999667,4.853023,6.800498,3.844504,4.566065,4.947498,3.434856,0.935220,25.976889
6000,26.410917,33.976861,49.063675,0.998835,0.998835,9.533929,13.483542,16.735081,9.409398,11.593112,13.536671,1.979939,27.881944
8192,23.874064,38.835307,49.233508,1.000000,1.000000,7.924160,5.999265,10.105908,8.064796,7.987838,10.929286,2.003933,25.275309
12000,27.877903,37.523139,66.532727,0.999417,0.999417,11.051637,16.126500,19.471348,11.229504,15.510927,19.464498,2.207498,28.751167
16384,25.091370,44.003387,50.720304,1.000000,1.000000,9.862706,11.430592,14.680294,9.345133,11.605417,14.057956,2.354884,26.810547
25000,28.435000,38.401933,103.454692,0.999480,0.999480,12.135383,17.299890,20.524898,11.727090,16.975362,20.382325,2.657338,29.684987
32768,26.392192,44.728378,79.266710,1.000000,1.000000,10.128631,12.848029,15.623935,10.372425,12.841648,15.960635,2.678631,26.846995
45000,28.322837,42.271452,116.308448,0.999844,0.999844,12.319062,17.796652,21.009194,12.439967,17.813148,20.893154,2.642811,29.321607
60000,29.704750,45.694678,117.510883,0.999783,0.999783,12.658929,18.108229,21.462629,12.833981,17.884608,21.823346,2.804491,29.601161
100000,31.376387,45.641250,158.540127,0.999970,0.999970,13.366048,18.634685,22.341583,13.488454,18.602677,22.297752,2.841773,30.019863
150000,31.976387,48.031109,241.438998,0.999993,0.999993,14.740494,19.574331,22.927635,13.767333,19.404475,23.736685,3.137813,32.316387
200000,34.403750,46.614097,207.358185,0.999985,0.999985,15.115502,20.611358,23.956621,15.062108,20.011338,24.086567,3.111250,33.222293
300000,35.434907,53.617731,272.969102,0.999977,0.999977,17.312812,24.487667,29.479279,18.537125,25.329540,29.814656,3.565999,38.900601
400000,44.817257,61.481527,239.024615,0.999978,0.999978,19.679048,27.785750,33.531919,19.791204,27.233848,33.209085,4.890608,43.544758
600000,50.984746,77.225441,237.178558,0.999982,0.999982,23.627227,31.752454,40.782277,23.719467,34.053063,41.131267,7.283368,53.888449
800000,70.421805,94.589219,257.611625,0.999986,0.999986,26.183642,35.288983,41.819440,24.768010,34.379754,41.469598,6.968746,58.060642
1200000,71.016840,116.367795,277.153106,0.999994,0.999994,29.329563,39.382544,48.190142,29.130935,39.592642,48.320519,8.139060,71.032014
2200000,98.298703,168.667197,332.285962,0.999994,0.999994,37.065042,48.281062,60.244467,36.612740,48.072158,58.290819,11.664538,99.521054
3100000,125.548864,172.929234,337.449110,0.999998,0.999998,38.653583,52.326556,62.759985,38.750386,52.381496,63.058727,12.529724,117.505291
6000000,130.754462,225.765917,346.616458,0.999998,0.999998,45.398256,56.317154,68.477244,41.337656,56.170052,69.323798,13.431321,128.431644
10000000,139.244279,256.032625,377.650696,0.999998,0.999998,42.428735,60.081704,75.610379,42.642421,59.307304,75.596212,21.566944,152.262914
