element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,41.885417,52.520833,81.663494,1.000000,1.000000,13.602408,5.617002,8.933263,13.875115,5.631608,8.986098,1.154642,78.979167
110,45.139394,52.651515,93.785402,0.973451,0.973451,14.735408,7.063192,10.865715,14.540867,6.985092,10.556923,0.991889,68.054545
240,46.267361,57.436111,97.911877,0.995851,0.995851,14.502581,6.885121,10.549508,14.399821,7.051769,10.845573,1.003115,92.938889
500,49.444667,58.264000,108.894860,0.994036,0.994036,14.790196,6.972760,10.685444,14.747063,6.893194,10.683606,0.943098,65.000000
800,56.388958,80.217083,99.389804,0.988875,0.988875,15.652590,8.255787,11.231033,15.313292,8.529063,11.322571,0.968223,69.114167
1024,52.626302,65.633138,113.413742,1.000000,1.000000,15.286188,6.202810,9.583319,14.937640,5.948023,9.669752,0.942851,58.648112
1500,54.222222,62.699111,111.291546,0.992720,0.992720,20.701948,9.337779,19.700937,25.450935,9.824417,14.061225,0.952123,58.314889
2048,52.364827,68.081136,112.662944,1.000000,1.000000,22.695296,8.710956,20.499019,23.149104,10.545600,19.872377,0.970579,60.635091
3000,58.599500,68.710667,160.015610,0.999667,0.999667,31.502100,17.712525,32.638098,32.032075,25.591290,30.692487,2.939876,63.037111
6000,63.068278,71.261556,202.946715,0.998835,0.998835,39.884577,26.908846,40.785948,39.456073,25.563810,39.734831,2.789971,64.020778
8192,59.810221,88.813741,270.800506,1.000000,1.000000,40.490881,25.147012,38.533142,38.971923,25.985098,38.655954,3.190182,61.321696
12000,62.191542,76.225681,402.525004,0.999417,0.999417,42.005592,31.326448,43.870061,42.904408,31.479794,43.991375,3.163992,64.005778
16384,61.592946,85.216949,172.166621,1.000000,1.000000,42.800673,29.118823,40.732081,41.022760,28.537748,40.779165,3.286753,61.529378
25000,63.308893,88.063887,219.749446,0.999480,0.999480,45.010221,32.984956,48.510608,46.884171,33.899244,46.188862,3.405046,64.461120
32768,59.544454,88.194107,519.927671,1.000000,1.000000,45.519317,31.218560,42.964087,43.461333,30.598694,43.048567,3.556255,61.456472
45000,64.173459,84.741978,327.884929,0.999844,0.999844,48.667783,35.713506,48.809540,48.104983,35.190317,48.128771,3.519553,66.516356
60000,76.643058,97.819789,656.149360,0.999783,0.999783,50.547225,35.924244,49.839350,52.472971,38.006646,50.411508,3.451674,70.424306
100000,81.249447,88.563053,772.757938,0.999970,0.999970,69.564240,45.563704,59.465488,67.964700,43.279688,61.504525,3.693862,71.388193
150000,79.867593,100.819813,842.371313,0.999993,0.999993,85.931479,53.632669,71.973665,87.020769,53.089510,71.128379,4.169675,84.934536
200000,96.279585,126.990973,521.620644,0.999985,0.999985,98.724810,59.894979,79.540933,100.879758,58.659587,80.133769,6.453704,91.908123
300000,114.621018,131.920509,595.960044,0.999977,0.999977,113.639010,67.687931,87.566948,113.479962,68.343227,89.035619,7.566194,103.427176
400000,109.335069,139.575451,595.617062,0.999978,0.999978,126.228767,71.308085,94.262737,125.205237,71.447069,96.557525,9.275737,107.448889
600000,123.374537,175.986319,642.189994,0.999982,0.999982,151.455171,86.078908,110.369075,149.453608,87.005627,112.133223,10.387486,122.553866
800000,131.218663,179.748472,560.076748,0.999986,0.999986,165.714890,91.235131,118.665971,164.504708,93.887010,120.877250,11.990890,131.384445
1200000,154.151215,228.818212,620.643046,0.999994,0.999994,186.338892,107.754985,140.468846,195.485475,108.645975,134.378619,14.366199,181.844097
2200000,184.129082,303.761534,665.174837,0.999994,0.999994,215.430590,119.983196,151.970373,217.544096,123.967510,149.433794,19.289358,208.009160
3100000,214.057547,325.608011,649.528712,0.999998,0.999998,216.796133,126.424612,155.417767,220.773787,124.321152,155.169123,23.090902,209.807715
6000000,227.944771,350.756743,872.636133,0.999998,0.999998,227.446825,129.959754,157.399481,225.392052,128.948808,158.500075,25.786724,222.627287
10000000,237.787475,395.516583,958.723021,0.999998,0.999998,233.417708,138.274081,163.009390,233.255944,134.003140,163.439652,39.796583,231.581989
