element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,41.453125,58.161458,39.112113,0.500000,0.500000,28.529342,15.021044,18.300302,28.666619,15.099569,18.298298,1.174879,47.302083
110,47.537879,61.172727,49.616044,0.429688,0.859375,27.464012,17.874908,21.106292,41.144721,26.468948,27.206127,1.322409,65.660606
240,40.914583,55.295139,52.684792,0.468750,0.468750,27.566987,19.612137,24.724056,26.884252,19.943487,24.660937,1.334952,47.048611
500,41.402333,59.500333,58.853725,0.488281,0.488281,28.171477,22.063033,27.256660,28.214725,22.078681,27.132288,1.181360,58.666667
800,38.923750,62.126667,53.338158,0.390625,0.781250,27.710856,21.956035,30.911581,47.830250,31.847627,36.392267,1.433860,62.013750
1024,41.354492,57.949544,46.486292,0.500000,0.500000,32.556933,25.679329,33.398346,32.559508,25.715888,33.266656,1.168549,42.616211
1500,38.995333,63.694333,54.883562,0.366211,0.732422,28.946425,23.292421,35.076935,49.200283,33.132413,40.538227,1.490667,63.601778
2048,42.090576,59.855143,84.563762,0.500000,0.500000,34.254329,28.822467,37.846915,34.197854,29.127264,37.977106,1.146208,42.656738
3000,39.916667,110.613444,111.952523,0.366211,0.732422,28.825202,23.276992,36.836983,52.460669,36.673746,44.200496,1.524332,122.708333
6000,41.320611,84.137694,165.137915,0.366211,0.732422,30.166175,24.556629,38.140454,54.650527,39.401137,48.053248,4.110232,66.238444
8192,44.096191,74.617188,236.711471,0.500000,0.500000,35.687710,31.759552,43.147317,35.600500,31.735285,43.185313,3.330425,43.134888
12000,41.273153,87.168972,231.143429,0.366211,0.732422,30.003669,24.623129,40.744727,54.247927,40.312096,49.139321,5.525451,67.489583
16384,45.087616,78.664978,375.432792,0.500000,0.500000,36.263813,31.360894,45.827554,36.581856,31.689944,45.703750,4.565579,46.432495
25000,47.466113,90.908893,517.935723,0.381470,0.762939,32.435077,26.091263,42.938800,59.060050,43.955798,52.524217,6.187969,74.233880
32768,50.533936,84.415863,236.620006,0.500000,0.500000,40.344150,33.570185,47.457625,38.563606,33.215677,47.156381,5.027290,51.117371
45000,52.019141,97.560030,261.142883,0.343323,0.686646,43.504512,27.192975,50.717762,57.723565,41.462562,55.646065,6.866126,82.126844
60000,54.694564,86.558914,298.259954,0.457764,0.457764,55.895656,37.421573,61.725715,55.678473,38.211819,62.649444,5.859331,59.879167
100000,59.424443,92.634443,603.791683,0.381470,0.762939,72.841098,43.075981,74.489994,96.442371,76.319106,93.842463,6.821204,90.143747
150000,64.881667,105.714909,633.036598,0.286102,0.572205,78.133169,40.977321,78.477598,91.043014,58.061006,91.546142,7.265589,89.915462
200000,70.652430,101.546458,314.178069,0.381470,0.762939,90.988777,49.743969,90.157898,116.868385,91.620117,121.991483,6.787667,101.559720
300000,90.372963,123.490371,271.954198,0.286102,0.572205,121.764729,59.993269,111.386375,123.782163,76.413279,117.201085,7.260332,117.649444
400000,96.375625,122.523472,273.911575,0.381470,0.762939,138.076365,72.781327,131.335975,174.545200,138.294290,179.832294,6.994825,125.522327
600000,110.166667,149.176181,276.126929,0.286102,0.572205,149.399525,74.557042,138.591392,167.357267,101.368519,153.689850,7.161256,141.926458
800000,114.718038,144.173264,286.661796,0.381470,0.762939,161.372729,84.569929,150.141962,224.500215,176.600310,220.531379,6.830483,144.142205
1200000,120.533108,169.466823,287.654665,0.286102,0.572205,161.748883,79.639379,148.327031,190.779404,114.139000,168.417027,6.981900,150.398553
2200000,125.357983,186.057500,324.416577,0.262260,0.524521,167.382946,81.705344,154.362765,198.705848,111.362487,177.301569,6.788938,152.976660
3100000,130.066788,173.270370,387.066744,0.369549,0.739098,180.607188,93.126327,166.542840,235.048229,183.591481,264.613879,5.947976,158.555430
6000000,134.977733,185.573219,378.281208,0.357628,0.715256,184.025454,93.059325,169.728415,239.470208,168.978979,262.440621,5.302028,163.830632
10000000,136.439194,203.279710,347.723048,0.298023,0.596046,180.506619,89.452017,166.660842,226.859256,129.920225,216.110646,7.379656,166.054143
