element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,21.911458,64.015625,8.137083,0.500000,0.500000,1.734385,1.855169,1.818144,1.729927,1.854173,1.812852,1.424194,16.510417
110,13.384848,35.165152,14.626571,0.429688,0.859375,1.740319,1.876546,1.821529,2.309598,2.455592,2.275771,1.349742,29.163636
240,12.731250,33.940278,15.942117,0.468750,0.468750,1.765090,1.869136,1.836956,1.766040,1.839502,1.843898,1.233590,10.648611
500,8.403000,24.305667,16.783738,0.488281,0.488281,1.883336,1.874385,1.852261,1.842519,1.872406,1.854450,1.171840,7.527333
800,17.465625,30.243125,12.963700,0.390625,0.781250,1.751467,1.799233,1.796640,2.757869,2.761150,2.686290,1.409402,28.316250
1024,8.002441,20.833171,8.080631,0.500000,0.500000,1.809842,1.885835,1.850602,1.799158,1.883590,1.846681,1.153452,8.259766
1500,9.333222,24.638889,12.092383,0.366211,0.732422,1.709148,1.803954,1.771273,2.094554,2.180671,2.151675,1.508627,27.527556
2048,7.537842,22.393066,8.899769,0.500000,0.500000,1.808602,1.900550,1.877058,1.787029,1.900319,1.873404,1.244121,10.430339
3000,7.606500,31.629667,13.264006,0.366211,0.732422,1.835958,1.927729,1.995531,2.299152,2.368217,2.353454,2.214960,30.143667
6000,8.094917,33.799750,13.733171,0.366211,0.732422,1.957131,2.477598,6.027787,9.612685,2.861881,7.783710,3.698594,31.164389
8192,9.513021,28.892537,9.659804,0.500000,0.500000,5.901644,2.396065,5.383240,5.757437,2.057033,9.797608,3.403081,10.309855
12000,9.285278,40.321194,14.149783,0.366211,0.732422,5.171823,3.468386,6.687596,14.214579,7.683971,11.953460,5.610838,37.875000
16384,11.677653,33.690145,9.626446,0.500000,0.500000,7.821898,5.297321,12.896719,7.710427,4.643590,10.055860,4.578476,11.740804
25000,11.146387,42.310840,14.976619,0.381470,0.762939,6.055660,7.163315,9.469442,17.117938,14.198369,15.908590,6.880254,36.857227
32768,12.826920,37.221909,10.230700,0.500000,0.500000,8.873762,11.331408,14.436400,8.945290,9.672627,14.572519,5.103761,13.972819
45000,13.674226,45.471600,13.518796,0.343323,0.686646,5.706294,7.081096,11.681090,14.377825,14.278336,15.541867,6.840381,36.297222
60000,14.170133,37.747567,18.853973,0.457764,0.457764,7.928881,10.454917,14.157135,7.859535,9.564458,14.116308,5.823653,14.506022
100000,43.301523,68.471947,16.163477,0.381470,0.762939,32.545825,16.959148,28.410529,55.912125,47.049973,51.307758,1.518812,97.321387
150000,31.494722,72.011758,16.793683,0.286102,0.572205,25.670525,12.698325,27.515283,34.872669,28.030115,32.568715,2.576459,61.523053
200000,34.685555,67.435555,21.937571,0.381470,0.762939,29.943386,18.030329,30.752064,63.378750,53.070638,57.188702,1.867856,98.362570
300000,39.017177,67.198936,21.068648,0.286102,0.572205,38.628725,16.237008,43.155923,33.233508,30.239206,32.842642,2.413800,55.941712
400000,43.640764,66.174792,25.967710,0.381470,0.762939,43.232406,23.472781,47.698927,45.615344,42.302377,45.659640,1.896029,74.152431
600000,50.129954,82.776320,28.713702,0.286102,0.572205,54.943994,19.291029,58.122060,48.848308,44.164077,50.848121,2.458405,68.404746
800000,58.113177,81.588490,35.761015,0.381470,0.762939,61.985456,29.332173,65.178144,69.301831,64.532735,68.194033,1.873421,91.752222
1200000,47.970885,98.343281,38.878906,0.286102,0.572205,58.359725,19.824575,75.745973,69.446392,60.062908,69.820438,3.160339,77.517928
2200000,53.202945,111.122330,46.684327,0.262260,0.524521,62.919550,20.545200,89.024404,81.432169,64.564523,91.908454,3.351269,72.809552
3100000,71.064745,114.679509,67.887179,0.369549,0.739098,97.526450,35.673002,111.392760,104.503377,102.400940,104.256475,2.142753,90.180587
6000000,32.458379,62.600983,42.517617,0.357628,0.715256,12.854246,14.856967,20.110427,30.670544,34.048108,94.616504,5.473366,56.036593
10000000,33.765342,73.360446,40.871804,0.298023,0.596046,12.270033,13.975575,19.173494,20.550946,23.734392,63.469887,7.354983,58.824224
