element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,67.494792,144.750000,25.172802,0.500000,0.500000,9.395302,4.220273,6.670392,9.398862,4.205267,6.673156,1.115673,16.489583
110,20.454545,42.615152,31.644456,0.429688,0.859375,8.633283,4.265985,6.492990,12.672681,8.160654,10.439396,1.373042,37.245455
240,15.770139,35.850694,33.100756,0.468750,0.468750,9.108698,4.485204,6.751488,9.106006,4.486185,6.752850,1.250863,14.700000
500,17.694333,30.139000,33.896615,0.488281,0.488281,9.436408,4.600742,6.897623,9.354033,4.562708,7.005371,1.146685,18.222667
800,19.375208,38.967292,29.571396,0.390625,0.781250,9.629275,4.226448,6.675960,10.761758,5.899879,8.571269,1.423946,44.149583
1024,16.811849,34.125326,25.746787,0.500000,0.500000,10.362548,4.605471,6.945854,10.066490,4.590702,6.938669,1.196939,21.389323
1500,19.259333,43.750000,29.994169,0.366211,0.732422,13.315333,4.677379,8.442813,14.164679,5.877533,8.341413,1.497254,46.222000
2048,19.395671,39.977946,26.365165,0.500000,0.500000,13.657012,7.963331,9.262721,13.949831,8.004135,9.494633,1.150531,23.871419
3000,19.814833,46.606444,30.713375,0.366211,0.732422,20.054002,16.002156,11.700135,30.880187,11.056942,22.986075,1.520736,47.388778
6000,22.825222,49.748833,31.106808,0.366211,0.732422,23.790621,18.771231,26.796888,33.908594,19.869529,32.371615,3.888058,47.750000
8192,24.207214,46.700378,26.892390,0.500000,0.500000,26.806146,23.816552,30.406394,27.176290,23.890548,30.687996,3.305342,25.629679
12000,23.035306,57.522000,31.254977,0.366211,0.732422,24.683950,21.318262,29.841002,35.895435,31.166512,36.030367,6.596689,51.158556
16384,24.849782,48.312724,27.426652,0.500000,0.500000,27.037494,23.846506,32.992690,27.060875,23.810442,30.028096,4.581494,25.459269
25000,26.712773,57.503613,32.416248,0.381470,0.762939,25.508604,22.233048,29.828560,37.882785,33.760652,36.650248,6.245835,52.537213
32768,27.786469,50.830002,28.571921,0.500000,0.500000,28.362560,26.523040,32.563796,28.314912,26.515298,32.698242,5.150024,28.419922
45000,27.862500,64.868515,31.936940,0.343323,0.686646,26.295862,22.170233,31.080483,35.951071,32.082977,36.342858,6.875358,55.545059
60000,28.392942,58.133794,37.854898,0.457764,0.457764,28.596181,25.938517,34.898417,28.572813,25.968490,34.659165,5.896438,28.491439
100000,27.750557,61.460003,41.128233,0.381470,0.762939,29.042758,26.068221,37.204294,40.387419,35.567294,38.871125,6.872477,53.744587
150000,30.334629,68.344629,40.919275,0.286102,0.572205,30.895656,25.635690,40.909663,36.542717,34.995433,42.419908,7.304449,48.421482
200000,28.580347,60.107222,46.254877,0.381470,0.762939,33.900758,30.097067,43.847121,46.156681,40.332758,42.901683,6.798531,52.963958
300000,38.193566,77.528658,48.532025,0.286102,0.572205,34.659831,27.110290,44.261002,42.235854,40.834662,50.171760,7.261447,66.860786
400000,38.006875,68.003993,55.215035,0.381470,0.762939,38.196827,31.559850,47.886900,55.363312,50.701256,58.848190,6.807869,68.691181
600000,47.915278,87.286111,61.507560,0.286102,0.572205,46.291540,31.206504,55.195356,46.783952,41.860398,56.099794,7.307525,74.525926
800000,46.856146,79.097570,69.163675,0.381470,0.762939,49.475563,36.240083,59.069906,63.934198,58.215171,72.370010,6.850217,75.318438
1200000,52.347275,96.261285,70.537479,0.286102,0.572205,53.984114,33.237221,61.985273,58.210594,48.058533,68.628808,6.959659,80.997662
2200000,57.146847,105.068494,73.152527,0.262260,0.524521,57.112263,32.860288,64.438869,63.338696,47.354023,72.594358,6.782214,83.373517
3100000,55.248636,89.630887,79.286608,0.369549,0.739098,60.452871,37.733783,68.300958,86.782188,73.132012,114.456229,5.980225,82.762137
6000000,58.579896,96.464128,79.822315,0.357628,0.715256,62.525819,37.323304,69.837023,87.556675,68.596581,118.998844,5.287727,86.462940
10000000,60.397425,110.487575,77.265025,0.298023,0.596046,62.698052,35.181565,69.774237,75.319381,54.061504,87.133602,7.419683,90.035612
