element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,36.015625,56.208333,34.208860,0.500000,0.500000,20.737335,7.978219,11.494600,20.381442,8.009063,11.348054,1.172169,68.145833
110,38.700000,52.522727,43.571646,0.429688,0.859375,17.841440,7.295002,11.105660,29.456936,13.079246,17.510525,1.404158,101.642424
240,32.813194,49.188889,47.448338,0.468750,0.468750,21.709665,7.897315,11.578031,21.748865,7.821240,12.009767,1.289010,67.302778
500,34.375667,51.430667,51.681950,0.488281,0.488281,22.049354,9.496310,13.526344,21.557994,8.509302,13.989777,1.205344,47.777333
800,39.704792,59.991250,49.919438,0.390625,0.781250,24.728798,11.167375,18.425187,45.219669,23.772600,28.597848,1.423990,69.982917
1024,35.054525,51.337402,41.212690,0.500000,0.500000,27.144858,12.101035,20.190402,27.344269,12.002025,19.668092,1.229534,39.401367
1500,33.532333,134.911889,60.478212,0.366211,0.732422,23.399821,13.483504,22.078423,43.037752,21.837127,25.711396,1.520989,66.778000
2048,39.048991,57.281657,47.267467,0.500000,0.500000,31.623450,15.129044,27.470217,30.296740,15.970294,25.515490,1.184082,40.032227
3000,35.571778,88.124944,73.947883,0.366211,0.732422,25.070196,14.384967,25.981838,46.832104,25.811104,34.600588,1.569301,73.625111
6000,35.102972,76.612250,174.544065,0.366211,0.732422,23.512563,16.091858,29.105669,46.807811,28.176813,36.810346,4.373225,64.986111
8192,36.243856,67.120015,205.524379,0.500000,0.500000,30.334704,21.251731,33.411806,30.558321,21.494631,33.723615,3.223025,39.771200
12000,34.329875,78.652792,250.288669,0.366211,0.732422,24.926500,17.311885,31.183537,47.908927,31.199348,40.772981,6.297843,68.203722
16384,45.785258,83.992015,354.157383,0.500000,0.500000,34.355052,24.929231,37.673254,32.887785,23.640062,37.617479,4.578178,38.932800
25000,48.379987,92.624447,511.689556,0.381470,0.762939,30.016023,20.256385,36.759327,53.694050,37.361523,45.496883,6.467996,75.359987
32768,46.038096,78.490153,200.873917,0.500000,0.500000,36.228825,26.587985,42.378819,35.623286,26.194604,43.304908,5.255173,50.981730
45000,50.007722,91.318522,425.596290,0.343323,0.686646,41.485798,24.134298,47.326269,57.931961,38.523688,51.883413,6.968691,88.774385
60000,51.885761,85.293286,304.807558,0.457764,0.457764,53.357219,32.035600,55.839546,52.735544,30.464881,56.628719,6.046203,58.586344
100000,56.546530,91.422500,373.071783,0.381470,0.762939,67.017425,33.781010,67.646565,97.566248,66.049596,88.629842,6.917746,93.054303
150000,64.626760,98.127038,443.737012,0.286102,0.572205,78.052802,33.110581,68.637446,82.247625,48.384102,84.712981,7.438362,87.367687
200000,65.586043,94.260418,322.334179,0.381470,0.762939,84.597515,40.117112,82.590165,123.260998,86.214110,117.421223,6.823402,103.171527
300000,89.293981,120.448889,288.830644,0.286102,0.572205,125.279594,48.160106,103.343171,126.815075,69.176471,115.254692,7.357384,119.946528
400000,96.538091,115.814688,287.899160,0.381470,0.762939,141.836456,55.282381,119.777940,164.131767,123.060244,175.497627,7.131615,121.161250
600000,110.242222,148.620926,293.692625,0.286102,0.572205,141.593721,57.205985,126.477931,160.057813,83.802585,143.556425,7.201736,137.159399
800000,118.324601,153.147570,301.231360,0.381470,0.762939,152.887896,66.052281,134.504923,200.732992,146.912833,208.952173,6.939700,139.580105
1200000,114.699827,172.948524,302.408515,0.286102,0.572205,155.114365,61.886821,135.642404,179.100315,95.735237,167.467102,7.177398,147.623854
2200000,124.053343,174.169962,348.249167,0.262260,0.524521,161.242575,62.278402,138.314717,182.342142,92.054973,160.860542,7.001788,155.380549
3100000,124.767426,168.623831,390.845544,0.369549,0.739098,164.461725,69.044417,145.950831,220.245037,156.073681,249.007079,6.009520,153.783418
6000000,127.520767,181.682118,386.902667,0.357628,0.715256,168.359535,71.000435,148.030767,219.955440,147.898398,248.996669,5.296858,157.599984
10000000,136.389398,200.485813,344.954631,0.298023,0.596046,166.029650,66.938462,142.399192,201.229037,106.571640,195.113510,7.522373,161.517549
