element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,final_default_load_factor_size_mb,peak_default_load_factor_size_mb,final_large_load_factor_size_mb,peak_large_load_factor_size_mb
32,57.505208,279.515625,61.284292,0.500000,0.500000,2.488921,2.406119,2.459623,2.481246,2.383950,2.446202,3.720996,80.291667,0.003235,0.003288,0.003143,0.003151
96,40.435764,289.281250,56.638166,0.375000,0.750000,2.476885,2.729702,2.455019,2.474940,2.381267,2.459648,4.377515,240.451389,0.009483,0.011421,0.005402,0.011421
153,103.259259,257.307190,213.716834,0.597656,0.597656,2.482969,2.488956,2.437765,2.472440,2.515752,2.461069,3.413943,78.795207,0.010086,0.010147,0.010086,0.010117
409,40.460880,329.003667,58.484292,0.399414,0.798828,2.478650,2.406742,2.438987,2.470790,2.739548,2.465390,4.311153,181.268949,0.037331,0.037361,0.020973,0.043480
614,61.663138,241.800217,211.606750,0.599609,0.599609,2.467427,2.477488,2.453469,2.483275,2.487394,2.451727,3.421682,51.483713,0.039642,0.039665,0.039322,0.039330
819,39.792837,273.877493,56.870000,0.399902,0.799805,2.471173,2.416206,2.449144,2.495533,2.502031,2.451085,4.291989,178.079772,0.074150,0.074173,0.041634,0.086464
1228,44.731813,246.646580,203.108458,0.599609,0.599609,2.492704,2.501694,2.504273,2.492594,2.505902,2.452313,3.407619,53.282302,0.078079,0.078125,0.077942,0.077957
1638,81.794363,279.990944,59.760792,0.399902,0.799805,2.485260,2.476283,2.464996,2.494575,2.527108,2.462185,4.288195,185.973748,0.147827,0.147873,0.082848,0.172821
2457,81.244607,238.601072,196.533458,0.599854,0.599854,2.537635,2.464969,2.508781,2.515458,2.528258,2.461169,3.419792,100.263329,0.156181,0.156273,0.155968,0.155998
3276,40.155271,285.684676,62.818833,0.399902,0.799805,2.542256,2.440150,2.509921,2.500473,2.514598,2.469210,7.375233,186.431624,0.295090,0.295120,0.164978,0.344986
4915,47.025805,243.869346,201.794292,0.599976,0.599976,2.504017,2.471483,2.510467,2.518254,2.501296,2.587038,4.420953,62.659681,0.311951,0.312012,0.311607,0.311638
6553,45.743451,310.649702,68.429917,0.399963,0.799927,2.529008,2.484944,2.638802,2.515787,2.471319,2.616860,8.263412,194.291876,0.589729,0.589745,0.329834,0.689537
9830,49.737199,252.405476,195.951959,0.599976,0.599976,2.545119,2.504388,3.415244,2.536519,2.491988,3.903635,6.912090,63.303900,0.622841,0.622917,0.622673,0.622681
13107,48.888202,316.625226,96.100208,0.399994,0.799988,2.593029,2.474323,6.815975,2.590254,2.542311,5.747748,11.355730,200.306477,1.049324,1.049416,0.658264,1.342545
19660,437.832375,630.793981,0.000000,0.599976,0.599976,2.644087,2.520717,9.005038,2.618044,2.526456,8.652435,8.018500,470.211648,1.120834,1.448692,1.119568,1.447990
