element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,final_default_load_factor_size_mb,peak_default_load_factor_size_mb,final_large_load_factor_size_mb,peak_large_load_factor_size_mb
32,31.041667,35.375000,43.508667,1.000000,1.000000,6.225800,15.819269,9.041315,6.096325,15.482504,9.015510,1.597419,46.885417,0.001221,0.001221,0.001221,0.001221
96,21.845486,40.654514,32.127375,0.989691,0.989691,2.127810,2.773179,2.604648,2.156571,2.732617,2.380327,1.865177,31.107639,0.003670,0.003670,0.003670,0.003670
153,20.924837,46.796296,30.591333,0.974522,0.974522,2.017123,2.675433,2.363935,2.026792,2.682940,2.368656,1.944428,20.969499,0.005867,0.005867,0.005867,0.005867
409,19.152404,32.124287,24.870958,1.000000,1.000000,2.045319,2.609290,2.360479,2.030923,2.622560,2.422683,2.093912,20.240424,0.015602,0.015602,0.015602,0.015602
614,22.280673,29.757058,34.005917,0.995138,0.995138,2.151425,2.714594,2.299419,2.004158,2.599417,2.311010,2.003108,20.879479,0.023445,0.023445,0.023445,0.023445
819,21.791819,28.913919,34.042500,0.997564,0.997564,2.133825,2.610281,2.372775,2.312017,2.600677,2.344111,2.001824,26.692308,0.031258,0.031258,0.031258,0.031258
1228,21.511944,29.400787,33.220250,0.999186,0.999186,2.536802,2.684594,2.446756,2.926983,2.653508,2.457902,2.071807,24.045331,0.046852,0.046852,0.046852,0.046852
1638,22.507835,32.377798,33.096209,0.988533,0.988533,2.500317,2.977181,2.457235,2.218846,2.707146,2.409429,1.976625,21.799959,0.062630,0.062630,0.062630,0.062630
2457,25.533578,29.840999,34.957458,0.999187,0.999187,4.055346,2.961702,3.938875,3.659267,2.784190,3.606971,2.014584,30.937729,0.093742,0.093742,0.093742,0.093742
3276,23.292277,33.178978,39.582000,0.993028,0.993028,4.551600,3.422410,3.120967,3.402748,4.135265,4.332492,2.019090,23.215914,0.125145,0.125145,0.125145,0.125145
4915,23.223940,31.109427,56.925834,0.999187,0.999187,5.468929,10.569194,7.696794,5.444323,8.115560,8.102144,2.661655,23.372397,0.187523,0.187523,0.187523,0.187523
6553,23.230454,36.779185,35.658958,1.000000,1.000000,6.387738,11.090742,12.751281,6.403100,9.226981,12.821898,3.174117,24.738440,0.249977,0.249977,0.249977,0.249977
9830,26.882689,41.364310,61.336041,0.999695,0.999695,8.531327,15.532108,16.285187,8.565985,14.166098,15.463969,3.128654,30.281451,0.375008,0.375008,0.375008,0.375008
13107,26.603698,47.734251,85.478542,0.999847,0.999847,10.687004,15.843665,18.098331,10.785546,15.498369,19.203925,3.578181,32.307825,0.500008,0.500008,0.500008,0.500008
19660,27.569379,41.386902,79.686958,0.999949,0.999949,10.397073,16.061175,20.024006,11.797989,15.020025,17.920973,3.536531,29.923974,0.749977,0.749977,0.749977,0.749977
26214,29.781313,48.065913,78.519875,0.999504,0.999504,11.253356,16.483688,20.236217,12.194335,16.263998,19.934633,3.857986,71.171677,1.000084,1.000084,1.000084,1.000084
39321,30.858896,43.590287,117.304334,0.999949,0.999949,11.588642,16.857844,20.082333,11.377417,16.031071,19.234717,3.850561,33.207446,1.499992,1.499992,1.499992,1.499992
52428,29.196927,48.801321,146.692958,0.999905,0.999905,11.400925,16.680635,19.319510,11.201992,16.147723,18.724410,3.843202,29.591370,2.000008,2.000008,2.000008,2.000008
78643,32.484614,40.692768,205.490000,1.000000,1.000000,14.409675,17.948548,20.503377,14.110540,18.305648,20.614973,4.148679,32.472867,2.999992,2.999992,2.999992,2.999992
