element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,16.494792,39.276042,37.885583,0.507937,0.507937,10.714460,6.964704,8.685229,10.155394,6.961065,9.863548,3.588598,17.781250
110,19.378788,44.380303,41.650834,0.866142,0.866142,12.744854,7.897687,9.044967,11.527706,6.978663,9.030396,2.201005,82.830303
240,20.342361,41.783333,39.336667,0.469667,0.469667,10.180579,6.547217,10.461233,10.060077,6.541665,10.573017,3.651115,20.081944
500,20.681000,45.569667,43.320333,0.488759,0.488759,10.466542,7.035312,11.152917,10.204038,7.089600,10.793952,3.697390,27.694667
800,27.769375,32.942500,51.903792,0.782014,0.782014,13.239196,7.727683,10.908498,13.146373,7.810013,11.067879,2.643650,20.711667
1024,19.775553,37.475586,47.219833,0.500244,0.500244,13.623946,7.110769,13.650083,13.205550,7.217748,13.713427,3.639385,19.463216
1500,20.939889,32.648000,57.350792,0.732780,0.732780,14.399765,9.447575,12.933708,14.415077,9.564665,12.869585,2.839225,20.833111
2048,19.334473,39.560872,48.589417,0.500122,0.500122,14.264152,8.421165,14.780125,14.373827,8.392319,15.028910,3.597308,19.388835
3000,21.703778,34.858833,74.322750,0.732601,0.732601,15.350821,10.195808,13.546125,15.368590,10.258723,13.748162,2.856397,21.101778
6000,21.069444,37.726861,129.052583,0.732511,0.732511,15.194527,10.718188,14.565713,15.158152,10.710969,14.550552,2.889776,20.976833
8192,20.997782,44.747253,70.241416,0.500031,0.500031,14.705137,8.980013,16.977819,14.845823,9.036756,17.008462,3.637576,20.129720
12000,22.013889,37.034139,102.797250,0.732467,0.732467,15.579821,11.576150,16.451712,15.566154,11.507806,16.369029,2.933328,21.767361
16384,22.199432,46.704183,146.695000,0.500015,0.500015,16.253923,9.637471,18.441429,16.178398,9.578365,18.404527,3.969189,22.928019
25000,23.442773,36.644440,226.856500,0.762963,0.762963,17.555812,13.625473,20.020154,17.559254,14.240289,19.906283,2.988962,26.235560
32768,24.060567,44.897288,157.378500,0.500008,0.500008,17.843142,10.068173,20.247925,17.803004,10.034394,20.244108,4.852324,29.661397
45000,28.248767,41.846915,216.089500,0.686656,0.686656,18.415537,12.873056,20.793198,18.392971,12.867367,21.231792,3.581927,27.818519
60000,25.582639,49.978592,232.557042,0.457767,0.457767,22.057065,10.215188,22.379229,21.154950,12.014044,27.038590,6.281292,34.258794
100000,35.365697,42.323610,182.341833,0.762945,0.762945,25.371771,17.115562,25.904006,23.615158,17.221567,25.851290,3.308358,31.144307
150000,27.442036,56.251947,175.274667,0.572207,0.572207,55.126850,11.812202,39.038292,50.397246,11.936763,39.226531,4.916822,30.994260
200000,30.818403,47.839583,235.067666,0.762942,0.762942,67.727477,20.699110,56.247077,67.607769,19.591146,55.311781,3.498250,31.240138
300000,33.048472,67.081990,206.759791,0.572206,0.572206,84.134852,23.950656,69.892617,84.451796,24.828858,69.569335,4.994606,31.836110
400000,33.378543,57.464062,265.368375,0.762941,0.762941,88.169569,39.650885,76.143702,86.847490,41.204731,78.297923,3.595188,34.601528
600000,38.408819,80.436111,235.586077,0.572205,0.572205,97.397408,38.989400,79.781967,97.420900,40.071458,81.427350,5.181291,43.593472
800000,39.232639,70.772275,291.296641,0.762940,0.762940,97.851444,51.710938,86.367000,97.880163,47.462000,84.641037,3.600881,42.431180
1200000,42.125469,94.644132,257.850052,0.572205,0.572205,98.682800,45.019300,87.112165,101.911144,44.826550,85.526673,5.212204,45.732014
2200000,46.844470,110.527254,270.233362,0.524521,0.524521,106.808550,47.988446,88.955140,108.737202,47.769198,93.593156,5.756318,46.555726
3100000,48.938253,95.815490,313.277124,0.739098,0.739098,121.413637,54.042244,94.208806,114.793079,54.523702,101.093744,4.065138,49.423620
6000000,59.134389,108.534264,361.381830,0.715256,0.715256,135.951825,62.041581,113.973925,137.696008,60.959475,107.908390,4.077366,65.692391
10000000,52.606285,119.544121,318.458642,0.596047,0.596047,132.494710,54.770921,104.131123,131.005173,53.862033,104.671006,5.041990,53.640854
