element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,15.406250,33.635417,27.862500,0.507937,0.507937,5.468587,2.982617,4.355298,5.426200,2.977152,4.360400,3.243910,15.625000
110,16.096970,25.759091,27.664291,0.866142,0.866142,6.529267,4.138563,4.831290,6.759696,4.106444,4.764523,2.368562,21.209091
240,17.823611,31.018056,28.268375,0.469667,0.469667,5.493890,3.318135,4.464335,5.519710,3.332442,4.453442,3.741570,14.061111
500,14.486667,28.986000,29.334833,0.488759,0.488759,5.602960,4.099412,4.503410,5.607829,4.098962,4.488108,3.645215,15.749333
800,16.006667,24.244792,34.035500,0.782014,0.782014,6.377046,3.825598,4.714402,6.387790,3.823990,4.721317,2.741923,15.764167
1024,14.580729,28.910482,36.073708,0.500244,0.500244,6.428344,3.977977,4.997215,6.466692,3.975317,5.042067,3.587996,14.322591
1500,15.606556,25.189778,44.337042,0.732780,0.732780,7.750733,4.019460,5.930754,7.683669,4.050683,5.926348,2.901130,15.787111
2048,14.363688,28.252523,37.079833,0.500122,0.500122,7.908198,4.359248,6.385531,7.644125,4.504813,6.373975,3.473660,17.774902
3000,15.805556,26.469833,45.268375,0.732601,0.732601,8.718210,4.967900,6.672546,8.624954,4.932310,6.595123,2.901895,15.699000
6000,15.945583,28.180556,80.970541,0.732511,0.732511,8.731773,5.895158,7.247190,8.739494,5.763796,7.107519,2.754916,15.914444
8192,16.402344,33.332865,74.020750,0.500031,0.500031,8.431623,5.295806,8.405104,8.421415,5.019417,8.112925,3.487596,15.843750
12000,16.269667,28.008097,146.784583,0.732467,0.732467,9.016790,7.216210,9.011108,9.027446,7.177744,8.668456,2.856839,16.474500
16384,16.238312,36.360016,119.303208,0.500015,0.500015,8.914004,5.513946,10.543265,8.909656,5.425950,10.372292,3.569457,15.979329
25000,17.206113,27.770833,155.810584,0.762963,0.762963,9.730465,10.158806,12.223856,9.773223,10.110465,12.963587,3.199575,18.135560
32768,18.783147,33.958440,164.888125,0.500008,0.500008,10.258123,5.772554,13.164044,10.216419,5.783054,13.175010,4.776111,18.775085
45000,19.458181,30.527156,186.138416,0.686656,0.686656,10.857865,8.620575,14.955912,10.889448,8.553154,14.367692,5.229542,18.855867
60000,19.807175,37.400814,104.315459,0.457767,0.457767,10.979137,5.713656,14.585227,10.940704,5.615169,14.302398,6.357142,20.839122
100000,22.112640,30.788197,187.085625,0.762945,0.762945,11.943765,12.689358,18.509923,12.914431,14.281050,18.685415,6.126431,23.629167
150000,18.917962,34.290647,267.562583,0.572207,0.572207,17.102167,7.194506,17.233277,17.026840,8.821540,19.196856,8.158474,29.373053
200000,23.680972,36.833610,196.115083,0.762942,0.762942,30.742542,14.524196,25.803185,22.737658,13.773456,22.671942,6.480837,24.672085
300000,26.336991,39.071064,220.178583,0.572206,0.572206,39.340165,8.370375,29.709273,39.947465,7.788171,28.981135,7.406839,27.510973
400000,28.828090,38.588125,268.172833,0.762941,0.762941,49.672298,17.406198,48.867285,48.189071,21.447152,43.487673,6.202231,35.395035
600000,31.993310,49.996204,227.258194,0.572205,0.572205,72.275571,21.504910,68.659663,89.363048,46.803161,83.225013,7.956718,82.116227
800000,61.129531,75.642275,324.150937,0.762940,0.762940,79.254485,35.176383,62.851352,68.265185,33.806439,59.562429,6.562385,41.196511
1200000,46.510798,81.951701,302.778559,0.572205,0.572205,71.136492,27.393138,58.502562,70.220723,25.315383,60.679567,8.200678,45.215672
2200000,52.979489,120.568390,310.992888,0.524521,0.524521,79.451988,26.896167,64.266625,71.993427,28.424381,56.646733,8.054680,43.894072
3100000,44.791492,65.650000,279.972077,0.739098,0.739098,73.991356,32.542733,56.440688,69.890938,31.573735,57.331875,7.266363,40.901165
6000000,47.552024,84.333865,308.161778,0.715256,0.715256,81.787477,39.915748,66.674367,82.525298,35.130069,64.846767,7.457283,53.754387
10000000,63.966756,91.230781,312.577856,0.596047,0.596047,81.615667,35.618960,69.451333,84.776415,45.490594,66.812185,8.308758,69.520571
