element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,19.307292,39.932292,38.673584,0.507937,0.507937,8.735717,5.820798,7.127912,8.737402,5.826615,7.125046,3.227390,21.250000
110,22.916667,36.933333,38.461166,0.866142,0.866142,10.252952,6.120823,7.622525,10.243412,6.116985,7.620604,2.393866,34.721212
240,23.033333,44.386111,45.683750,0.469667,0.469667,8.969210,5.362350,7.002827,9.020948,5.361569,6.999717,3.546384,24.536111
500,22.778000,41.264333,50.383959,0.488759,0.488759,8.917996,5.559729,7.073635,8.925544,5.560117,7.042377,3.598319,23.110667
800,25.017500,35.694375,63.970625,0.782014,0.782014,11.964965,5.720796,9.470306,12.146146,5.496531,9.294754,2.705267,24.947500
1024,22.664388,41.863281,55.987250,0.500244,0.500244,12.487144,5.837329,9.967046,12.733325,5.846579,9.874969,3.545214,23.857747
1500,24.300889,36.694333,71.374334,0.732780,0.732780,13.868260,7.080842,10.726575,14.237640,7.306337,10.789254,2.842422,25.157556
2048,24.454671,43.023031,60.486333,0.500122,0.500122,13.777517,6.857108,11.204415,13.818325,6.747006,11.104185,3.522134,23.362956
3000,24.844889,38.219833,92.672458,0.732601,0.732601,14.534487,7.592969,11.315304,14.570031,7.517200,11.247037,2.904349,25.037111
6000,25.945583,37.927056,156.767625,0.732511,0.732511,14.967140,8.228237,11.950352,14.983419,8.090121,11.866235,2.936686,25.375056
8192,25.425374,46.273112,88.447792,0.500031,0.500031,14.872898,7.530856,14.220698,14.999894,7.625677,13.948825,3.619611,26.351969
12000,27.963542,40.096639,132.490208,0.732467,0.732467,15.559446,9.725492,15.557750,15.513729,9.702040,15.397152,2.978192,26.125000
16384,27.713359,46.314250,172.559292,0.500015,0.500015,16.264858,8.133446,17.200433,16.300967,8.180823,17.067810,4.235349,27.193685
25000,30.206107,39.896387,284.789417,0.762963,0.762963,17.889619,13.098152,19.778077,17.877919,13.058554,19.639944,3.168171,30.003320
32768,29.444585,49.278895,214.122416,0.500008,0.500008,18.326079,8.610783,18.345767,18.048833,8.594521,19.448412,5.014275,32.044718
45000,30.111119,42.832256,309.315958,0.686656,0.686656,18.700446,11.453906,20.124315,18.795063,11.395885,19.960652,3.792932,32.368526
60000,29.400464,51.758331,309.963792,0.457767,0.457767,19.343667,8.697060,21.560208,26.351423,8.884837,20.214290,5.533978,43.417128
100000,33.349857,46.056530,319.921584,0.762945,0.762945,25.815627,16.437767,25.609467,24.720333,18.484554,29.779460,3.340490,37.888610
150000,32.374816,56.823056,426.517042,0.572207,0.572207,49.916713,10.684558,35.651610,49.979846,10.751896,36.058569,4.861949,32.874813
200000,35.775347,54.254375,534.176583,0.762942,0.762942,62.267346,18.853288,50.837373,61.472712,18.046229,48.583040,3.525196,35.506180
300000,34.501296,71.588101,728.739791,0.572206,0.572206,79.821485,24.021360,63.775398,73.690325,24.422356,63.947117,5.006899,40.124399
400000,37.294827,67.007154,398.141541,0.762941,0.762941,85.121127,37.647804,67.401577,86.117798,37.415946,69.494019,3.580575,37.843993
600000,36.070139,91.002107,323.531354,0.572205,0.572205,103.469962,34.436056,76.958850,102.229744,36.441815,76.857160,5.121546,36.333773
800000,39.084983,79.482222,355.647396,0.762940,0.762940,106.240021,44.691608,83.065302,106.906067,44.481108,83.305217,3.631856,44.177222
1200000,38.085712,104.282083,319.459305,0.572205,0.572205,116.591335,36.546352,86.430179,115.534994,36.858354,86.205710,5.264406,39.211562
2200000,40.089498,122.182197,332.825625,0.524521,0.524521,126.305419,37.812144,93.521817,130.583967,37.743129,93.406502,5.780350,40.984280
3100000,46.657729,107.545874,395.724496,0.739098,0.739098,138.634752,49.392642,104.748375,140.814767,49.864294,104.691792,3.965219,52.115793
6000000,56.921385,119.163115,392.024958,0.715256,0.715256,141.318181,45.291248,103.711433,140.107306,45.543885,104.184344,3.990939,44.981704
10000000,51.224410,129.130567,422.174908,0.596047,0.596047,158.896410,54.486167,118.479012,157.121238,55.181940,118.476783,5.136792,86.679414
