element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,19.322917,38.630208,33.427125,0.507937,0.507937,5.465333,4.536860,4.633367,5.590258,4.561096,4.523429,3.261879,37.750000
110,19.887879,32.131818,33.046708,0.866142,0.866142,6.786792,4.370527,4.957806,6.960975,4.373846,4.992475,2.292900,27.018182
240,19.213194,35.270833,33.876416,0.469667,0.469667,5.575769,3.718648,4.416285,5.574039,3.731162,4.445258,3.380050,24.131944
500,20.000000,36.722667,40.430167,0.488759,0.488759,5.494823,3.610144,4.586123,5.437531,3.613010,4.590094,3.521279,22.610667
800,22.595625,31.215208,42.242625,0.782014,0.782014,6.600423,3.925100,4.737712,6.658704,3.882740,4.733475,2.577812,24.236250
1024,21.287435,35.841309,46.314291,0.500244,0.500244,6.172304,4.040048,5.001673,6.228271,4.039198,5.034044,3.374075,20.480794
1500,21.504556,31.032444,54.552875,0.732780,0.732780,7.568742,3.953844,5.754777,7.607269,3.937981,5.721933,2.763066,22.027778
2048,19.972087,34.922201,62.748167,0.500122,0.500122,7.602848,4.391154,6.635625,7.609587,4.378571,6.612602,3.478362,20.894368
3000,21.120333,31.787111,135.286333,0.732601,0.732601,8.301988,5.009194,6.594204,8.354615,4.953858,6.607635,2.766897,21.523111
6000,21.304417,31.063639,102.304042,0.732511,0.732511,8.694902,5.450808,6.915698,8.637331,5.480994,6.908181,2.739806,23.449056
8192,20.245829,34.033040,149.542750,0.500031,0.500031,8.445675,5.154417,9.055790,8.438760,5.143110,9.070146,3.429470,20.336589
12000,21.536458,31.283569,207.539208,0.732467,0.732467,9.715181,6.359990,7.510550,9.071117,6.095079,7.468812,2.870622,21.547417
16384,22.467712,36.437998,212.839750,0.500015,0.500015,9.134060,5.576660,11.779433,9.061115,5.518010,11.535294,3.508438,20.957113
25000,24.169433,32.696660,272.112792,0.762963,0.762963,10.250094,8.745317,12.187617,9.931377,8.599229,9.658892,4.019692,23.295000
32768,23.358871,37.180369,139.092167,0.500008,0.500008,9.930213,5.829344,13.064837,10.125369,5.827146,12.409458,5.219397,22.922516
45000,24.490581,33.375156,167.484916,0.686656,0.686656,10.688019,8.702596,14.600908,11.192115,8.368925,14.106842,3.645999,26.706163
60000,25.639117,42.034144,235.061083,0.457767,0.457767,11.017748,5.637023,14.279500,10.973987,5.641925,14.245733,5.522673,23.941661
100000,28.190973,34.325693,227.430959,0.762945,0.762945,11.910142,12.565090,18.070037,11.912710,12.590148,17.343910,3.757173,28.725557
150000,26.303980,39.021016,283.235208,0.572207,0.572207,13.068548,7.147494,16.408763,12.731244,7.144017,16.318796,6.965736,29.988796
200000,31.024862,41.484028,257.211958,0.762942,0.762942,17.318406,13.561279,20.951458,16.319302,13.479477,20.408133,6.528423,32.590345
300000,30.937222,45.388749,186.994209,0.572206,0.572206,32.502731,7.574219,25.720617,31.687373,7.758502,24.496181,7.200070,31.604769
400000,33.831772,45.990695,218.023625,0.762941,0.762941,35.543213,14.823540,31.882948,35.343779,15.073577,29.788265,6.391348,33.342082
600000,36.247291,57.693843,206.293056,0.572205,0.572205,44.238900,13.785540,37.801938,44.885573,13.792092,37.954552,7.346007,33.474004
800000,34.134757,53.028246,243.816328,0.762940,0.762940,46.535433,24.423337,42.333367,47.234890,24.426163,42.327212,6.793000,32.076042
1200000,31.412136,61.281702,228.855312,0.572205,0.572205,55.969771,22.065829,46.161521,55.032221,20.942612,46.584748,7.450492,36.889676
2200000,39.889110,75.733182,245.135407,0.524521,0.524521,62.132521,22.643856,50.156552,63.367869,22.923706,52.810837,7.970239,34.635953
3100000,40.393367,64.044966,268.199281,0.739098,0.739098,66.116775,29.807102,54.961465,66.522306,30.374138,58.159692,7.151903,40.506631
6000000,51.934865,72.684778,304.398535,0.715256,0.715256,80.187158,31.808671,63.115354,80.950381,32.397427,65.420000,7.227429,48.153838
10000000,69.170365,87.752483,319.297712,0.596047,0.596047,91.301298,30.021727,66.429421,79.250835,27.521694,63.866919,7.422675,47.718526
