element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,19.093750,40.359375,41.297500,0.500000,0.500000,11.654642,7.777385,10.110925,12.305833,7.987644,9.624275,0.704294,161.447917
110,15.781818,46.212121,52.890916,0.429688,0.859375,12.596027,7.812756,11.560538,11.313350,13.140248,11.489471,1.317892,73.612121
240,23.755556,54.311111,43.900250,0.468750,0.468750,14.260283,8.323669,12.664829,14.043144,8.180115,13.079098,1.178826,74.884722
500,22.375000,49.485667,46.322875,0.488281,0.488281,14.569519,8.013823,14.156856,14.522431,7.937708,14.237085,1.305394,28.361333
800,25.702917,45.850625,80.535416,0.781250,0.781250,15.866990,11.607829,13.669096,16.264210,11.942344,13.422254,1.230112,36.440833
1024,23.091634,48.563639,48.122708,0.500000,0.500000,18.219323,8.461031,16.383735,18.007740,8.421227,16.506535,1.311237,24.495117
1500,26.536889,47.328778,84.516625,0.732422,0.732422,20.704431,12.836019,15.414527,19.277452,12.817871,15.520779,1.324759,40.175778
2048,24.505697,52.693685,53.954042,0.500000,0.500000,20.803983,10.564854,18.310344,20.787402,10.462140,18.503954,1.387126,31.894368
3000,28.016278,52.310167,99.005333,0.732422,0.732422,24.568104,16.770327,18.738427,21.348698,14.053977,16.804608,1.269964,32.472111
6000,33.567111,53.494222,99.058000,0.732422,0.732422,24.570819,14.404592,19.232533,24.494094,14.308221,19.718988,1.259608,35.199056
8192,26.708801,58.650553,79.216958,0.500000,0.500000,22.454585,11.188023,20.294442,22.358979,11.113183,20.214529,1.238697,28.691610
12000,31.986111,57.846639,119.430584,0.732422,0.732422,26.272713,15.382512,21.852004,26.028446,15.034465,21.753840,1.240098,32.738444
16384,27.904093,63.990682,156.256958,0.500000,0.500000,23.390217,11.295331,21.595996,23.961392,11.307485,21.586300,1.266061,32.766561
25000,35.475007,62.290840,245.235916,0.762939,0.762939,31.655189,17.915248,25.934129,30.377702,16.928879,27.625544,1.326558,43.826107
32768,28.319458,67.289775,150.834500,0.500000,0.500000,25.651588,11.586879,23.920777,25.182196,11.539175,22.168548,1.326135,35.109629
45000,32.764504,62.528548,240.609250,0.686646,0.686646,31.192321,14.508604,23.869396,30.148802,14.475754,24.757662,1.376367,38.003704
60000,32.130436,69.952778,166.835750,0.457764,0.457764,33.303592,12.168902,25.092717,25.452967,12.070087,22.976488,1.234647,37.018050
100000,39.646803,66.725973,194.717917,0.762939,0.762939,50.776292,21.361312,66.877948,52.742960,18.304127,29.175094,1.312702,43.026667
150000,34.327682,71.076578,190.549084,0.572205,0.572205,81.999321,33.663913,54.514850,105.441804,35.144608,72.373512,1.306586,48.091480
200000,42.209860,73.562362,236.111583,0.762939,0.762939,100.370713,38.546944,90.194769,119.681544,31.934892,71.783596,1.227483,49.733332
300000,37.393379,73.987917,222.978417,0.572205,0.572205,103.164077,36.437977,91.790825,107.277006,33.216390,75.934410,1.228615,40.366527
400000,41.457743,69.269862,259.566458,0.762939,0.762939,128.751683,44.161133,92.320525,118.884473,47.036094,90.429146,1.239565,41.979792
600000,38.785394,82.358889,262.624098,0.572205,0.572205,142.032750,56.586340,97.736792,131.972602,45.384873,95.221812,1.361599,42.291874
800000,50.199687,82.929618,318.765755,0.762939,0.762939,149.712642,52.680165,105.380069,136.923039,50.108402,105.351756,1.324290,49.749740
1200000,48.373941,86.108402,291.453246,0.572205,0.572205,152.406194,54.790994,111.489260,150.434915,56.955748,113.288333,1.316307,52.060857
2200000,62.387083,103.422832,320.106998,0.524521,0.524521,157.025615,67.004627,118.554888,160.558648,71.019550,126.241502,1.223309,76.488207
3100000,68.755289,98.849597,394.014637,0.739098,0.739098,177.419021,80.217329,137.638613,175.638902,73.934667,133.817581,1.405538,89.041026
6000000,82.543899,128.986101,383.895816,0.715256,0.715256,170.711690,78.926215,129.555031,170.423860,76.917421,131.935073,1.399358,82.135653
10000000,81.666819,144.651925,406.816185,0.596046,0.596046,175.131031,81.362033,136.608235,173.779590,79.171113,131.118062,1.214915,87.180058
