element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,4.765625,13.666667,14.322542,0.500000,0.500000,2.020648,2.351012,2.163771,2.019594,2.352629,2.170431,0.733848,5.635417
110,4.546970,17.112121,12.209250,0.429688,0.859375,1.857375,2.712750,2.097350,2.477846,2.738494,2.637842,1.218311,11.493939
240,4.225000,15.132639,13.522750,0.468750,0.468750,1.623190,2.347710,1.778692,1.614140,2.363823,1.778750,1.251971,3.762500
500,4.305667,14.486000,14.175458,0.488281,0.488281,1.723152,2.033921,1.701956,1.707477,2.029000,1.698990,1.300748,3.611333
800,6.197500,12.109167,31.481500,0.781250,0.781250,2.273837,2.045456,2.227860,2.277262,2.046129,2.235873,1.309538,4.496667
1024,4.367188,12.166667,14.790542,0.500000,0.500000,1.666556,2.623417,1.656406,1.670590,2.598058,1.664427,1.371779,3.743490
1500,5.944556,12.083444,29.001334,0.732422,0.732422,2.261254,2.015556,2.099146,2.218446,2.021148,2.089313,1.366238,4.472444
2048,4.784424,12.925781,15.633958,0.500000,0.500000,1.703277,2.593902,1.660160,1.702662,2.571002,1.706771,1.375839,4.028158
3000,6.627389,12.451444,29.934375,0.732422,0.732422,2.291704,2.479556,2.224585,2.274773,2.403621,2.146640,1.377614,4.763778
6000,7.166667,14.612250,31.792959,0.732422,0.732422,2.571054,2.677425,2.430290,2.555688,2.480540,2.397373,1.375027,6.738444
8192,5.800008,17.761230,17.464917,0.500000,0.500000,2.387054,2.508198,2.354379,2.328848,2.468235,2.287796,1.371192,5.160848
12000,7.881944,21.278931,34.361500,0.732422,0.732422,2.996535,2.528698,2.771004,2.895715,3.318942,2.748931,1.380703,11.512722
16384,6.087423,21.363576,18.160875,0.500000,0.500000,2.481721,2.894454,2.565015,2.424779,2.869840,2.487131,1.378396,7.226746
25000,9.680273,26.212220,38.764417,0.762939,0.762939,9.005437,5.122196,5.942150,6.532502,5.173740,5.145181,1.384929,13.914440
32768,7.135610,28.613831,18.399667,0.500000,0.500000,3.331533,3.042788,2.964350,3.112685,3.039192,2.848233,1.389867,8.843750
45000,9.839970,28.763578,33.200916,0.686646,0.686646,6.556806,4.292852,6.960371,6.843006,4.261883,6.849912,1.391617,12.730874
60000,7.564933,33.327431,17.075625,0.457764,0.457764,3.094377,2.900021,4.556935,3.010363,2.904985,3.985198,1.379878,9.176156
100000,15.304720,30.354023,41.972584,0.762939,0.762939,11.837063,6.775356,9.716871,11.191933,6.821235,9.027452,1.367906,15.574723
150000,11.337596,33.057407,24.560459,0.572205,0.572205,7.589138,3.524646,7.907898,7.519833,3.524635,8.232452,1.384206,11.984169
200000,15.743055,32.077918,44.400500,0.762939,0.762939,14.979875,7.708081,11.347171,14.596173,7.684237,11.331681,1.347835,16.048960
300000,11.853703,33.511668,25.713875,0.572205,0.572205,9.182137,3.752465,8.787708,8.940821,3.756669,8.796852,1.378748,12.324860
400000,16.180347,32.809271,45.852417,0.762939,0.762939,14.703283,7.699240,11.768619,14.482050,7.711346,11.803840,1.222535,15.728402
600000,12.436852,33.840672,30.515764,0.572205,0.572205,9.415710,3.718240,9.196998,9.674410,3.728454,9.079937,1.199882,11.635532
800000,15.391545,31.820747,61.852500,0.762939,0.762939,15.836590,8.146700,12.375583,15.682698,7.993677,12.572631,1.331706,15.552500
1200000,13.312899,35.146580,45.591510,0.572205,0.572205,16.807954,4.294381,14.756375,16.254915,4.298494,14.515206,1.248442,13.741412
2200000,18.890161,41.439081,53.379119,0.524521,0.524521,19.423110,10.117065,19.576825,19.547535,10.176083,19.988321,1.270186,19.122538
3100000,24.679986,41.085020,116.530941,0.739098,0.739098,28.656123,12.811365,22.162504,28.457802,12.653929,22.122677,1.296087,24.925851
6000000,29.593299,54.553549,141.923677,0.715256,0.715256,29.323369,16.621450,23.897810,28.122979,15.297248,23.939754,1.334641,30.000611
10000000,26.559592,56.915165,74.704935,0.596046,0.596046,22.546223,13.977410,22.535992,22.619650,13.968250,22.171237,1.192506,26.011403
