element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,18.447917,34.505208,52.023000,0.500000,0.500000,9.826231,6.887185,8.758431,9.832948,6.872052,8.788077,0.688017,18.666667
110,18.434848,45.581818,49.664584,0.429688,0.859375,10.005598,7.132594,8.752571,11.155412,7.983498,9.611317,1.139268,45.330303
240,17.563889,36.950694,52.177583,0.468750,0.468750,9.897450,6.963044,8.558177,9.903077,6.978727,8.557821,1.170074,22.165278
500,19.305667,36.375333,52.994750,0.488281,0.488281,9.920250,6.993519,8.852213,10.297152,6.977044,8.734167,1.214631,45.334000
800,21.206458,35.677500,73.979333,0.781250,0.781250,11.343942,7.678058,10.208933,12.413608,7.414908,10.135790,1.221544,25.642500
1024,19.978678,40.832845,55.786375,0.500000,0.500000,12.397573,7.067546,10.418679,12.340937,7.219060,10.425485,1.220211,21.457031
1500,24.578667,48.009222,72.694625,0.732422,0.732422,14.234860,9.120554,12.039308,14.229098,9.117896,12.113721,1.263443,25.870222
2048,21.189453,49.699463,58.419209,0.500000,0.500000,14.997836,10.511796,12.958813,15.001175,10.412075,13.050287,1.230561,26.163737
3000,22.921278,46.634278,76.601875,0.732422,0.732422,16.650931,13.005333,15.136767,17.124542,13.127175,15.138623,1.228462,33.537111
6000,26.804417,53.733778,77.478084,0.732422,0.732422,18.151596,13.817010,16.043656,17.841854,13.844415,15.897569,0.523947,35.599556
8192,26.085754,63.129862,63.264000,0.500000,0.500000,17.856525,13.902252,16.113050,18.032687,13.966119,16.100698,0.306503,30.454875
12000,30.492472,58.592583,86.210000,0.732422,0.732422,18.685862,15.582017,16.376117,18.698162,15.599008,20.574712,1.227765,34.946778
16384,27.368754,68.683634,73.910875,0.500000,0.500000,21.497327,16.028615,20.935204,19.864019,16.059260,20.088710,0.425903,29.200216
25000,34.518060,63.709993,108.472333,0.762939,0.762939,31.038790,20.330958,28.572831,32.965406,20.332442,28.268563,0.344410,36.971107
32768,29.625366,72.775736,95.449667,0.500000,0.500000,21.663821,16.805792,25.338985,25.885683,16.887242,25.021860,0.556734,30.227661
45000,34.083800,68.507248,118.712334,0.686646,0.686646,33.755496,19.055025,28.659737,33.774035,18.984490,27.894042,0.389971,36.765430
60000,30.175583,79.707869,89.625959,0.457764,0.457764,26.311888,16.817221,23.850054,23.580085,16.811029,26.105777,1.148414,33.045600
100000,38.506950,70.282773,150.555708,0.762939,0.762939,36.298377,22.217127,31.497065,36.131188,22.301658,30.733498,1.232785,40.094303
150000,34.797127,78.836853,159.465125,0.572205,0.572205,33.073710,18.883381,30.959860,34.431633,18.597681,29.661371,1.234154,38.242129
200000,40.369025,72.082082,194.790333,0.762939,0.762939,49.183937,24.305415,40.107692,59.420650,26.934352,48.720652,1.242037,47.581178
300000,34.983331,82.855418,225.283500,0.572205,0.572205,65.174681,21.793994,51.697396,65.401092,20.756825,50.902081,1.202527,40.059028
400000,40.379306,73.715104,222.588500,0.762939,0.762939,86.937679,27.335915,58.997198,81.155987,32.918796,62.429060,1.236331,44.658021
600000,36.875348,82.010556,220.670243,0.572205,0.572205,95.148742,32.304967,70.659965,92.148115,28.576523,71.737017,1.208215,42.553263
800000,42.052083,76.961493,252.675807,0.762939,0.762939,103.427413,37.297444,78.593331,105.937958,37.243219,79.637560,1.204677,48.649097
1200000,40.246372,87.832517,259.794930,0.572205,0.572205,114.548529,39.733450,85.518454,115.854612,41.527710,85.113760,1.215053,45.701563
2200000,55.513778,104.012898,263.157368,0.524521,0.524521,124.961125,50.470987,94.591269,123.800381,50.606073,94.770788,1.146998,58.066724
3100000,61.586210,96.163098,296.108582,0.739098,0.739098,134.164625,55.582346,99.059181,137.914127,56.787425,98.886848,1.318015,63.860815
6000000,73.180646,114.350625,311.810035,0.715256,0.715256,136.198096,61.387246,102.974098,137.649696,59.752754,102.907979,1.329425,73.645764
10000000,73.013021,129.534913,285.924056,0.596046,0.596046,134.379000,59.302444,105.462406,134.147894,59.343162,103.359027,0.746540,71.291528
