element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,6.078125,22.135417,18.023167,0.507937,0.507937,8.671433,3.283673,5.459115,8.337915,3.292971,5.460027,3.125329,7.385417
110,5.934848,24.240909,17.745750,0.866142,0.866142,8.538056,3.827496,5.880465,8.471481,3.818715,5.884944,2.275488,6.312121
240,11.255556,24.277083,18.705500,0.469667,0.469667,8.047175,3.545223,5.872444,7.956712,3.543544,5.910933,3.335928,5.787500
500,6.028000,19.208333,18.722208,0.488759,0.488759,7.737252,3.524688,6.503558,7.738852,3.524575,6.510815,3.378717,5.444667
800,5.651042,14.774167,17.460708,0.782014,0.782014,8.650631,3.401648,6.007465,8.637604,3.417560,6.025546,2.508573,6.024583
1024,7.534505,19.721191,17.692041,0.500244,0.500244,8.020027,3.392840,6.877008,8.041196,3.390662,7.003027,3.389218,5.723633
1500,5.481444,15.995444,25.767084,0.732780,0.732780,8.590612,3.288083,6.211737,8.606279,3.395694,6.271804,2.634983,5.944444
2048,6.249349,18.283366,18.938459,0.500122,0.500122,8.932383,3.301625,7.714935,8.810381,3.292769,7.787640,3.395649,5.757650
3000,5.726833,15.085611,26.055125,0.732601,0.732601,9.713890,3.594563,7.362694,9.719337,3.570352,7.272731,2.652936,6.111111
6000,5.768500,22.638889,26.181125,0.732511,0.732511,9.885169,4.007363,8.885550,9.882940,3.935479,8.066833,2.738313,6.421333
8192,5.677083,25.210876,18.150042,0.500031,0.500031,9.266727,3.748285,9.532463,9.271558,3.741844,9.556979,3.394385,5.755941
12000,5.993625,22.578694,26.318250,0.732467,0.732467,10.065227,4.650950,11.294213,10.075740,4.523673,11.064746,2.733557,6.528917
16384,5.645335,25.970032,18.219834,0.500015,0.500015,9.603210,3.609373,10.612440,9.596173,3.585981,10.504915,3.654151,6.038228
25000,6.643053,18.022220,29.522584,0.762963,0.762963,10.468487,6.640235,11.738350,10.486194,6.506731,11.660944,2.793546,6.812773
32768,7.738749,24.962952,18.924333,0.500008,0.500008,10.433242,3.751371,12.163844,10.409633,3.757848,12.051733,4.357720,7.854034
45000,8.582252,21.341348,24.268584,0.686656,0.686656,10.900729,5.997562,13.167646,10.932287,6.098183,13.055560,3.329087,8.544756
60000,8.982758,27.800461,19.300375,0.457767,0.457767,11.453683,3.953610,13.782821,11.486590,3.950719,13.768931,4.924526,8.270133
100000,9.775000,21.993057,32.189625,0.762945,0.762945,12.495006,10.340713,17.140837,12.494765,10.350796,16.846627,3.068844,8.872640
150000,7.538240,23.815740,22.631334,0.572207,0.572207,12.783615,5.371165,15.325096,12.296260,5.371346,15.309337,4.546837,8.643338
200000,10.070068,21.976042,33.424417,0.762942,0.762942,13.142533,11.394981,18.727546,13.257652,11.264323,18.262625,3.269825,8.660277
300000,10.259028,25.813241,29.475083,0.572206,0.572206,13.379565,5.551875,16.153144,12.974998,5.549406,16.111990,4.726217,8.254629
400000,9.700798,22.440694,46.984167,0.762941,0.762941,14.607510,11.962183,19.156527,14.157281,11.936875,19.166235,3.392604,9.402014
600000,15.407061,27.506713,46.369479,0.572205,0.572205,29.353723,5.713960,21.325954,27.053917,5.702360,21.527015,5.136550,14.832477
800000,15.825642,24.537344,58.403281,0.762940,0.762940,30.484240,12.576823,26.126879,30.567463,12.703419,26.110019,3.602252,15.379340
1200000,19.715225,31.378629,56.395070,0.572205,0.572205,39.454508,5.953573,28.214752,39.374035,6.421554,28.576458,5.249636,19.647500
2200000,21.669953,36.923589,60.761231,0.524521,0.524521,44.047637,5.966115,29.751350,43.909881,5.946183,29.813348,5.666049,20.822494
3100000,20.779012,31.271082,67.211169,0.739098,0.739098,44.560027,13.952471,33.630871,44.536658,13.873646,33.857138,3.783823,21.164969
6000000,22.353524,33.285566,68.444649,0.715256,0.715256,48.380963,13.074704,34.899208,48.966215,13.017098,33.715690,3.905941,22.267067
10000000,24.688400,37.657304,70.857694,0.596047,0.596047,60.155619,9.932796,36.047800,61.201625,9.876667,37.471808,4.979944,24.849049
