element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,8.687500,28.213542,29.535083,0.507937,0.507937,10.740502,3.237198,6.791565,10.727623,3.241815,6.765748,3.026754,10.416667
110,11.301515,19.950000,29.273833,0.866142,0.866142,10.342656,5.021775,7.462162,10.298146,5.036444,7.417452,2.106416,9.851515
240,8.852778,23.090278,29.734167,0.469667,0.469667,9.494950,3.407806,6.305127,9.518037,3.424908,6.187167,3.506209,8.041667
500,10.027667,21.277667,29.961834,0.488759,0.488759,9.641327,3.421567,6.224769,9.635023,3.445140,6.254087,3.411052,8.278667
800,9.800208,16.032500,29.599375,0.782014,0.782014,9.583450,4.363300,6.714596,9.563194,4.409627,6.673775,2.473756,9.236667
1024,9.385579,19.476888,31.159042,0.500244,0.500244,9.992990,3.466590,6.586412,9.994683,3.442629,6.629135,3.467598,11.650716
1500,11.231556,17.689889,42.111250,0.732780,0.732780,9.914531,3.817896,6.644165,9.926179,3.849850,6.813102,2.815343,12.074000
2048,10.860677,21.647135,32.540375,0.500122,0.500122,11.419590,3.473083,7.371650,11.529713,3.407604,7.368185,3.678353,12.274902
3000,11.344889,19.472222,43.317500,0.732601,0.732601,11.851619,3.877160,7.806208,11.875348,3.878217,7.751635,2.706894,13.189889
6000,11.759250,23.605333,43.913750,0.732511,0.732511,13.613033,4.155612,8.292227,12.849483,4.116094,8.197783,2.723132,16.199111
8192,11.765381,29.018840,34.217833,0.500031,0.500031,14.643771,4.134898,8.191313,14.091419,4.141533,8.394696,3.713449,14.853597
12000,13.201972,25.998847,45.975500,0.732467,0.732467,15.084790,4.177806,9.072363,15.895169,4.129196,8.737973,3.032341,15.380806
16384,13.092458,32.348643,35.117666,0.500015,0.500015,18.656733,5.020419,10.015285,19.185767,5.761696,15.633679,3.845885,13.908386
25000,14.015840,27.268887,51.539041,0.762963,0.762963,22.798965,4.979617,21.707067,22.781542,6.271006,19.004088,3.028481,18.104987
32768,16.431391,34.324432,38.837000,0.500008,0.500008,27.303996,6.481794,18.931494,25.691060,6.785154,20.618585,5.462259,17.194956
45000,16.200470,31.200304,44.225416,0.686656,0.686656,28.977814,8.121021,22.763942,26.888871,6.307348,23.069377,3.815320,15.309570
60000,17.218403,41.164467,42.007291,0.457767,0.457767,33.485594,6.921148,22.561133,31.896585,7.187285,21.842054,6.661469,17.227544
100000,17.378193,30.415277,62.804084,0.762945,0.762945,34.290813,13.635535,29.855381,33.627985,14.232104,30.534254,4.676944,17.027083
150000,14.196667,31.615831,48.211791,0.572207,0.572207,35.289600,9.088635,29.176000,38.318856,9.108129,34.378673,7.710170,17.190371
200000,16.042572,28.507985,79.362041,0.762942,0.762942,41.607390,15.721067,33.403115,41.359563,15.552002,33.612402,5.665531,16.156667
300000,19.592871,36.117684,89.703167,0.572206,0.572206,64.424704,9.401677,46.791804,69.217260,10.024965,48.078390,7.468350,19.711481
400000,20.575417,30.725903,119.267333,0.762941,0.762941,71.425398,16.643821,51.169385,76.012754,16.624146,52.196100,6.613971,21.783923
600000,25.940000,38.668079,102.495452,0.572205,0.572205,87.758646,10.634987,61.542702,88.635592,11.058408,57.371617,7.693056,27.227268
800000,27.251545,35.454514,126.914062,0.762940,0.762940,91.298400,18.460463,61.839725,92.532519,18.226579,61.664431,8.234627,28.531233
1200000,32.313490,46.232413,115.544027,0.572205,0.572205,101.931188,12.615604,63.130606,98.513600,11.812354,60.172944,7.703775,28.354224
2200000,33.790019,46.032566,122.093475,0.524521,0.524521,103.048290,12.461521,60.978140,97.854277,11.991206,59.504881,7.658693,35.374287
3100000,27.583380,35.710712,120.042688,0.739098,0.739098,96.947927,17.914008,62.594062,98.087827,18.485475,62.456704,6.857963,28.598925
6000000,31.710694,37.180833,124.190719,0.715256,0.715256,105.271862,18.572227,66.382608,105.059465,18.544525,69.970710,7.074208,29.950970
10000000,32.452219,45.611115,122.154237,0.596047,0.596047,126.003098,15.534310,70.801394,123.242656,16.229850,68.097898,7.283783,32.280853
