element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,7.812500,21.921875,17.297542,0.507937,0.507937,8.527462,3.130560,5.346540,8.612452,3.132702,5.346002,3.382981,9.989583
110,7.069697,17.359091,17.263167,0.866142,0.866142,8.722089,3.796040,5.801165,8.688694,3.787415,5.749779,2.195913,8.336364
240,6.337500,24.566667,17.857833,0.469667,0.469667,7.576044,3.311665,5.633104,7.592025,3.294421,5.619762,3.554584,6.655556
500,7.250000,19.208667,17.972792,0.488759,0.488759,7.512027,3.401996,6.133913,7.508665,3.398838,6.423042,3.691298,6.555333
800,7.569583,14.244375,17.266792,0.782014,0.782014,8.720719,3.493331,5.626902,8.727446,3.496031,5.640031,2.632492,7.135000
1024,8.571940,18.229329,18.267500,0.500244,0.500244,7.510602,3.478460,6.673002,7.494602,3.493933,6.743908,3.519788,6.822591
1500,7.074111,16.157333,26.063750,0.732780,0.732780,8.093727,3.172110,5.818842,8.117110,3.162125,5.869858,2.791558,6.953778
2048,7.086833,19.121012,18.737875,0.500122,0.500122,8.192704,3.394192,7.004510,8.191690,3.390883,7.045858,3.585498,6.578125
3000,7.236111,15.546278,26.492583,0.732601,0.732601,9.268317,3.390650,6.880773,9.264131,3.406858,6.857929,2.907473,8.777667
6000,7.402778,19.350694,26.884541,0.732511,0.732511,9.437871,4.025871,7.662504,9.381150,4.048313,7.352100,2.719075,8.400556
8192,7.687907,22.672017,19.092417,0.500031,0.500031,8.598129,3.485071,9.041869,8.749631,3.532517,9.456962,3.713066,7.368286
12000,7.864000,17.054986,27.044167,0.732467,0.732467,9.337533,5.193681,8.843827,9.363646,5.070429,9.876200,4.077295,8.811306
16384,7.875661,21.406799,22.213167,0.500015,0.500015,10.461585,4.204781,11.661117,10.418754,4.240360,11.722669,3.623044,9.394328
25000,7.975847,17.500820,30.784667,0.762963,0.762963,9.485838,7.566929,11.267350,9.500740,7.489265,11.165285,2.831827,7.991680
32768,9.490122,22.683675,19.733459,0.500008,0.500008,9.340333,3.593754,11.974058,9.349892,3.613096,11.934475,5.034027,9.234111
45000,9.195063,19.117748,24.987625,0.686656,0.686656,9.921627,5.674012,12.457702,9.842898,5.617227,12.283796,5.237655,9.834874
60000,9.921067,25.832753,20.304792,0.457767,0.457767,10.780210,3.734852,13.231027,10.775119,3.718708,13.792056,6.346713,9.988422
100000,11.256110,20.333333,32.609292,0.762945,0.762945,11.691210,9.779502,15.958300,11.753677,9.757354,15.963090,4.075783,10.892223
150000,8.772500,22.161853,23.615041,0.572207,0.572207,11.904933,5.158567,14.797738,11.783456,5.170538,14.606327,7.335661,10.239073
200000,10.890697,20.393195,35.235250,0.762942,0.762942,12.546885,10.905704,18.069769,12.494181,10.877231,17.815362,7.857021,9.699445
300000,15.460971,29.019260,33.926125,0.572206,0.572206,13.190587,5.344544,15.606779,14.328404,5.310506,15.465683,7.382716,9.899676
400000,11.151805,20.856877,50.482792,0.762941,0.762941,14.633829,11.440744,18.491590,14.087044,11.387769,19.331558,6.313240,10.942708
600000,18.423843,25.940625,48.763160,0.572205,0.572205,31.891248,6.439690,25.448473,34.577410,5.515631,22.225129,7.391464,19.378287
800000,18.435539,23.027153,61.122604,0.762940,0.762940,34.340698,14.160365,28.863256,31.871519,12.617685,25.965521,6.483521,19.033611
1200000,24.651615,29.399497,58.465295,0.572205,0.572205,39.656248,5.833415,28.319615,39.242162,5.730540,28.031279,7.506452,23.253750
2200000,26.183930,31.192244,67.624148,0.524521,0.524521,43.685992,5.912435,30.645221,43.316533,5.876373,31.008404,7.670705,27.124236
3100000,29.621586,32.689402,69.423690,0.739098,0.739098,47.819429,13.839927,33.707323,46.186477,13.574237,34.091673,6.973464,25.858011
6000000,28.269049,28.782802,78.002191,0.715256,0.715256,52.236185,12.911054,35.144465,50.092692,12.840002,33.407990,6.827977,26.723745
10000000,29.561883,33.384231,79.299390,0.596047,0.596047,61.911381,9.892935,39.544481,65.998113,9.950646,41.757683,7.353550,30.464468
