element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,14.104167,26.906250,13.676667,0.507937,0.507937,2.325771,1.361185,2.126715,2.326458,1.360613,2.113212,2.340273,11.718750
110,17.677273,29.924242,13.596917,0.866142,0.866142,5.117427,3.741177,4.355931,5.068279,3.712819,4.359202,2.010293,15.530303
240,26.475694,45.340972,13.982625,0.469667,0.469667,9.960552,1.656204,5.925669,9.551246,1.660644,5.854294,2.490505,22.684722
500,42.055667,68.347000,14.280625,0.488759,0.488759,19.911117,1.939181,10.370467,19.463777,1.957371,10.228229,2.486885,36.362000
800,59.218958,80.486042,13.423875,0.782014,0.782014,33.732919,3.455990,14.138719,31.397938,3.627525,13.793658,2.254542,68.905833
1024,67.538574,116.007324,15.428417,0.500244,0.500244,38.710783,1.790877,18.996042,38.167640,1.796606,18.747098,2.522974,63.828776
1500,79.592778,105.527667,23.733334,0.732780,0.732780,41.412250,3.502429,20.902517,45.065723,3.492527,20.570904,2.232063,74.166444
2048,94.272298,153.656006,17.427666,0.500122,0.500122,53.929521,2.584254,26.535121,55.882575,2.577450,26.599169,2.667952,92.380046
3000,100.668889,135.687500,25.750083,0.732601,0.732601,60.388981,3.991879,29.415523,56.423683,3.927642,29.719404,2.167510,101.564778
6000,109.903889,148.113417,27.805250,0.732511,0.732511,72.969329,4.807148,38.249100,72.707775,4.917773,38.720450,2.116429,112.643500
8192,124.143819,218.265076,18.239791,0.500031,0.500031,83.250396,3.689217,43.473521,82.390306,3.715848,44.004800,2.418318,125.834188
12000,111.965847,147.897556,33.008917,0.732467,0.732467,79.653281,8.853654,42.718729,79.194146,6.604135,42.534167,2.070211,113.571750
16384,133.363942,227.599253,21.923667,0.500015,0.500015,95.138602,7.593246,50.077256,95.152598,7.652735,49.994106,2.391035,134.728312
25000,126.675560,163.319447,43.783583,0.762963,0.762963,90.988344,16.279123,53.101379,92.091015,16.304652,53.005300,1.976721,128.943893
32768,144.017537,234.287262,33.028250,0.500008,0.500008,103.699806,11.070675,56.872300,104.119535,11.021783,57.317525,2.340272,144.842356
45000,137.653244,182.565126,75.148959,0.686656,0.686656,100.603283,26.102385,64.640615,101.221356,26.673800,64.667200,2.225512,140.011422
60000,162.850692,265.899994,70.774417,0.457767,0.457767,120.622842,17.915217,73.215454,121.006236,18.458765,73.132996,2.566498,167.641200
100000,204.917223,262.995693,136.507292,0.762945,0.762945,146.779627,73.681271,110.816038,150.345998,73.275702,109.938971,2.216144,202.663883
150000,247.454442,341.457038,102.525875,0.572207,0.572207,182.337940,80.609863,133.751471,182.494865,80.533856,134.804452,2.430106,241.578240
200000,281.308680,352.716528,152.281542,0.762942,0.762942,218.376500,120.440181,172.289702,218.810275,118.944440,167.551744,2.151773,281.461043
300000,333.922500,456.917223,171.589666,0.572206,0.572206,253.844192,131.412602,192.384887,239.606058,132.906375,191.340385,2.190860,332.602546
400000,393.266667,480.495730,256.227833,0.762941,0.762941,293.324496,197.787879,250.857977,291.501331,195.661269,266.185194,2.225375,399.755243
600000,494.442246,643.168264,308.415104,0.572205,0.572205,369.321087,208.055558,292.474719,362.934648,205.287540,295.677410,2.089473,476.221018
800000,564.716892,694.124688,447.519896,0.762940,0.762940,444.187067,346.917975,414.050960,472.415454,323.266963,411.526592,2.121740,594.498107
1200000,1544.580330,1401.781111,977.844670,0.572205,0.572205,729.436052,788.147008,720.886794,649.466092,857.819321,1022.165475,2.274849,866.895660
2200000,1341.036401,1791.961610,1787.832633,0.524521,0.524521,0.000000,0.000000,0.000000,1191.663104,0.000000,0.000000,1.974034,459.899817
3100000,2019.231243,2152.526149,2738.895578,0.000000,0.739098,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.831928,0.000000
6000000,3286.779757,3716.571767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.924375,0.000000
10000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
