element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,16.921875,34.510417,46.332125,0.507937,0.507937,6.370762,12.716025,9.290623,6.359275,12.708081,9.360292,2.348917,23.875000
110,22.853030,38.571212,75.008458,0.866142,0.866142,10.087183,19.571192,13.968673,10.024806,19.465235,13.822525,1.933902,29.293939
240,47.540278,68.518056,91.352625,0.469667,0.469667,28.282017,18.153542,23.140129,28.859167,18.790031,23.367069,2.635666,61.515278
500,73.694000,98.250000,148.309250,0.488759,0.488759,46.803875,32.435037,40.493969,46.664542,30.620617,39.414710,2.320640,88.806000
800,104.288333,132.525833,123.299250,0.782014,0.782014,75.531254,60.777800,68.229681,80.055856,62.977302,67.561210,2.097185,143.090000
1024,122.850098,178.568359,157.557792,0.500244,0.500244,89.395131,27.041308,58.762665,91.188287,26.850854,57.429615,2.346006,151.380534
1500,159.916889,194.416778,235.078666,0.732780,0.732780,113.870429,68.637881,96.668027,115.635098,67.998690,93.602739,2.322876,186.907556
2048,204.396647,279.486735,263.110833,0.500122,0.500122,162.539558,103.845300,134.468610,159.733717,105.101919,133.482569,2.491194,212.931315
3000,269.432944,346.659722,382.811500,0.732601,0.732601,206.592517,117.496400,171.021504,211.368700,118.795590,173.743677,2.414725,260.546222
6000,443.706000,528.313694,417.013417,0.732511,0.732511,398.974996,109.960810,245.257877,386.699485,112.715910,247.422279,2.187296,437.000000
8192,537.043254,730.027954,463.087334,0.500031,0.500031,477.701196,131.913229,304.791748,482.249752,131.016069,313.395846,2.694503,539.869548
12000,1009.917236,1202.887736,805.171667,0.732467,0.732467,891.254269,510.504504,682.877267,891.193350,505.803621,817.800229,2.417171,1029.431722
16384,1365.303467,1811.403910,675.909166,0.500015,0.500015,1246.122427,320.212135,747.153727,1156.148581,324.324160,759.964933,2.730255,1499.118368
25000,1195.095847,1343.918333,937.835417,0.762963,0.762963,1092.241669,322.398952,721.424069,1097.918723,340.703089,715.568446,2.413858,1231.571107
32768,1444.496796,2035.188253,1076.481166,0.500008,0.500008,1289.395442,369.578933,796.757783,1296.186454,364.486979,796.262485,2.824231,1419.523875
45000,2078.579011,2434.589352,1628.098750,0.686656,0.686656,0.000000,563.757381,1193.443748,0.000000,581.351796,1228.744140,2.546259,1407.306481
60000,1383.690392,3733.547342,1249.297875,0.000000,0.000000,0.000000,343.883723,804.097083,0.000000,321.708081,798.746335,2.940633,902.738883
100000,10259.817503,11636.824027,0.000000,0.000000,0.000000,0.000000,733.598929,0.000000,0.000000,775.779677,0.000000,2.369271,3380.635970
150000,4160.013611,8707.028887,0.000000,0.000000,0.000000,0.000000,501.805248,0.000000,0.000000,499.565681,0.000000,2.756389,1452.410833
200000,7322.370140,10726.577013,0.000000,0.000000,0.000000,0.000000,926.416479,0.000000,0.000000,947.149277,0.000000,2.353723,2593.686875
300000,7805.725510,9677.025880,0.000000,0.000000,0.000000,0.000000,293.729894,0.000000,0.000000,298.165788,0.000000,2.724505,2324.024814
400000,14817.537778,18875.341840,0.000000,0.000000,0.000000,0.000000,552.208869,0.000000,0.000000,595.098156,0.000000,2.386806,4454.220590
600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
