element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,4.776042,14.104167,14.229000,0.500000,0.500000,1.921579,2.670387,2.071481,1.917560,2.673085,2.074835,0.689617,4.770833
110,4.800000,16.665152,12.088125,0.429688,0.859375,1.847694,2.411463,2.105467,2.391835,2.575496,2.512179,1.139555,12.627273
240,4.340972,18.113889,13.396042,0.468750,0.468750,1.730129,2.181219,1.814754,1.722948,2.198902,1.811660,1.178634,3.530556
500,4.236000,13.791667,14.478208,0.488281,0.488281,1.680025,2.558815,1.683467,1.683263,2.545554,1.682806,1.219773,3.666667
800,5.494583,11.362500,31.695958,0.781250,0.781250,2.205373,1.925667,2.001623,2.203965,1.926421,1.998560,1.234302,4.271250
1024,4.285807,13.082031,14.885750,0.500000,0.500000,1.689544,2.681225,1.697706,1.688658,2.688675,1.696438,1.226009,3.648438
1500,5.708333,12.467778,27.836209,0.732422,0.732422,2.275327,2.425137,2.119308,2.272156,2.264379,2.116006,1.236271,4.453556
2048,4.343587,13.007406,15.113834,0.500000,0.500000,1.760125,2.529006,1.630035,1.748821,2.544621,1.643194,1.237190,3.750163
3000,5.900556,11.979222,28.695292,0.732422,0.732422,2.291019,2.193421,2.158517,2.252252,2.169467,2.122604,1.242005,4.870222
6000,6.384222,14.142389,30.585084,0.732422,0.732422,2.680758,2.628196,2.467163,2.670458,2.353990,2.374648,1.237659,6.678222
8192,5.495687,15.777629,16.795125,0.500000,0.500000,2.285015,2.514427,2.250277,2.256127,2.500031,2.278885,1.237057,5.601685
12000,7.432306,24.423611,32.859125,0.732422,0.732422,2.838523,2.748242,2.939125,3.059802,2.955713,2.912223,1.417606,13.571750
16384,6.599874,21.915009,18.040125,0.500000,0.500000,2.369012,2.816881,2.552954,2.312975,2.787338,2.431098,1.236589,7.762472
25000,9.539440,24.685000,36.682875,0.762939,0.762939,5.346927,4.843267,5.513433,4.735021,3.691196,5.488948,1.233956,15.881667
32768,7.004634,26.575521,17.512417,0.500000,0.500000,3.160171,2.860381,2.885152,2.976717,2.864358,2.672692,1.236028,8.732686
45000,9.582256,27.884107,31.452208,0.686646,0.686646,6.213569,4.060733,6.585977,6.411025,4.060215,6.497573,1.246090,12.248770
60000,7.083217,32.768519,16.243917,0.457764,0.457764,3.072519,2.783548,4.391523,2.927054,2.791644,3.789660,1.236028,8.349544
100000,14.408750,29.072367,40.139542,0.762939,0.762939,11.610177,6.567265,9.357885,10.984665,6.628306,8.816377,1.226590,14.741110
150000,10.742593,30.136204,23.116541,0.572205,0.572205,7.021483,3.362540,6.604485,7.000302,3.361190,7.205004,1.237007,11.431109
200000,14.898540,29.871945,42.124500,0.762939,0.762939,13.631750,7.302729,10.807881,13.336708,7.298519,10.821577,1.237038,15.055137
300000,11.266063,31.573241,24.068917,0.572205,0.572205,8.805392,3.607596,8.452229,8.611579,3.607908,8.692381,1.226793,11.488101
400000,15.352048,31.015695,45.448000,0.762939,0.762939,14.366369,7.730785,11.817808,14.522140,7.737144,11.833683,1.200565,15.648715
600000,11.345301,32.741504,31.203508,0.572205,0.572205,9.210398,3.787829,9.193631,9.323763,3.723498,9.039629,1.225006,11.805023
800000,15.919583,31.302413,61.680443,0.762939,0.762939,16.144221,8.030146,12.432875,15.503410,8.079244,12.383433,1.228250,15.568593
1200000,13.177309,34.990868,44.078142,0.572205,0.572205,17.107948,4.358902,14.479433,15.990210,4.302219,14.330135,1.188564,13.497546
2200000,18.559337,41.831070,54.861780,0.524521,0.524521,19.066004,10.091712,19.095106,19.108196,10.084323,18.763258,1.193366,18.971219
3100000,24.275665,41.608898,116.671552,0.739098,0.739098,27.691513,12.355487,21.530560,27.748425,12.323490,21.566298,1.009038,25.569969
6000000,30.040656,49.834500,130.555281,0.715256,0.715256,28.301944,15.175525,23.919085,28.373292,15.129556,23.868600,1.229259,29.846208
10000000,26.602119,56.944700,74.692813,0.596046,0.596046,22.908798,13.776523,22.168248,22.952452,13.956627,22.216894,0.889315,26.134817
