element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,9.984375,27.765625,34.821375,0.500000,0.500000,9.821594,6.030602,7.996883,9.926038,6.034119,7.939494,0.901088,91.135417
110,11.363636,37.690909,32.313333,0.429688,0.859375,9.760117,5.760469,7.583362,11.248960,7.092154,8.764042,1.076918,27.651515
240,9.200694,32.869444,33.705250,0.468750,0.468750,9.504625,5.645344,7.631685,9.517396,5.660535,7.639394,1.295723,13.309722
500,10.083333,26.750000,34.545791,0.488281,0.488281,9.527117,5.683198,7.621479,9.583033,5.775871,7.635777,1.299417,7.778000
800,13.107292,24.227500,53.616208,0.781250,0.781250,10.918804,6.696881,8.688994,10.914358,6.666779,8.689302,1.331715,10.295417
1024,10.029948,30.626139,34.620625,0.500000,0.500000,10.109212,5.924725,8.138469,10.054535,5.909933,8.119515,1.339053,15.557292
1500,12.129889,24.393556,50.749666,0.732422,0.732422,10.331652,6.340192,8.293946,0.000000,7.378804,8.344115,1.368980,20.203778
2048,10.565837,28.686523,36.862292,0.500000,0.000000,11.700094,5.966163,9.174160,0.000000,5.980421,9.034077,1.408494,12.423991
3000,13.999944,34.817000,53.942792,0.732422,0.000000,12.631871,6.322473,9.631804,0.000000,6.288660,9.224058,1.340206,13.791667
6000,13.170111,37.063639,55.392667,0.732422,0.000000,17.656179,8.404833,10.254310,0.000000,7.869575,10.454413,1.336824,15.599500
8192,12.329956,41.817566,60.660875,0.500000,0.000000,17.589200,8.970910,11.044042,0.000000,6.962400,0.000000,2.375816,5.861084
12000,24.332194,50.848403,58.393000,0.732422,0.000000,21.427575,13.242719,14.052892,0.000000,11.342283,0.000000,1.378872,8.120361
16384,14.728953,52.109619,40.595875,0.500000,0.000000,21.856975,10.116510,18.560010,0.000000,10.517013,0.000000,1.377211,7.398804
25000,20.689167,49.603327,63.301792,0.762939,0.000000,31.105931,13.923985,19.444508,0.000000,13.707667,0.000000,1.362781,8.234453
32768,16.977946,55.040995,45.303542,0.500000,0.000000,23.999946,10.455325,21.889210,0.000000,10.935840,0.000000,1.398768,7.781138
45000,21.185493,53.647374,57.619666,0.686646,0.000000,31.756727,13.902331,21.369581,0.000000,12.684606,0.000000,1.232946,7.638578
60000,16.858797,53.757411,38.026167,0.457764,0.000000,25.667135,10.867071,21.681210,0.000000,10.297798,0.000000,1.233988,6.442589
100000,23.520273,47.981803,62.461667,0.762939,0.000000,37.512767,16.319392,28.771142,0.000000,18.680617,0.000000,1.494658,8.167917
150000,23.331109,66.401482,79.850667,0.572205,0.000000,30.381450,11.415396,26.085562,0.000000,11.412888,0.000000,1.460603,6.910924
200000,24.588125,50.953263,90.209917,0.762939,0.000000,38.352581,16.501910,27.682687,0.000000,17.404875,0.000000,1.237721,8.213890
300000,20.133519,56.157823,66.053083,0.572205,0.000000,33.932771,13.520731,28.570731,0.000000,12.712112,0.000000,1.397170,6.798981
400000,25.068368,52.949340,104.571875,0.762939,0.000000,55.317681,18.826454,34.861658,0.000000,18.381204,0.000000,1.354942,8.997153
600000,24.116806,65.136273,106.214340,0.572205,0.000000,61.891594,13.781765,44.020185,0.000000,13.910498,0.000000,1.322094,10.214121
800000,28.448333,59.200156,140.534375,0.762939,0.000000,68.070833,19.491292,47.362002,0.000000,19.986598,0.000000,1.318075,10.073837
1200000,37.880156,70.693212,135.708524,0.572205,0.000000,104.090252,22.446879,59.991731,0.000000,22.331360,0.000000,1.249422,12.082766
2200000,38.144337,84.381042,137.638438,0.524521,0.000000,102.656304,32.016694,65.069275,0.000000,33.307277,0.000000,1.352960,13.555360
3100000,48.748347,84.771310,214.982211,0.739098,0.000000,108.739356,39.092165,72.015427,0.000000,39.204163,0.000000,1.177784,17.380775
6000000,54.086983,95.879063,214.292326,0.715256,0.000000,110.535500,41.372400,71.542898,0.000000,44.337712,0.000000,1.080962,17.451630
10000000,48.518988,111.624350,174.413410,0.596046,0.000000,111.254113,41.866342,75.592167,0.000000,41.127433,0.000000,1.316223,16.524072
