element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,4.338542,16.494792,13.041709,0.500000,0.500000,1.364867,1.941898,1.665204,1.365138,1.938921,1.752656,0.795258,5.197917
110,2.904545,12.753030,11.309167,0.429688,0.859375,1.414208,2.037173,1.711804,1.506931,1.955592,1.726733,1.240315,7.954545
240,2.515972,16.493750,12.327459,0.468750,0.468750,1.356696,1.620727,1.528088,1.378392,1.622337,1.523023,1.290381,3.241667
500,2.444667,10.597667,13.334041,0.488281,0.488281,1.157465,1.553804,1.492890,1.116608,1.527344,1.490469,1.307475,2.638667
800,3.385625,9.453333,66.108417,0.781250,0.781250,1.254417,1.498298,1.453835,1.131417,1.474802,1.454246,1.312737,3.211250
1024,2.509440,9.636882,13.368375,0.500000,0.500000,1.358417,1.484710,1.519233,1.386179,1.488198,1.484100,1.310254,3.024414
1500,3.453556,8.351889,25.340250,0.732422,0.732422,1.244171,1.758304,1.431565,1.262471,1.814323,1.449365,1.339816,4.416444
2048,2.502441,8.663574,13.600833,0.500000,0.500000,1.071465,1.438458,1.542131,1.049154,1.416904,1.533556,1.320003,2.638184
3000,3.416667,8.462944,25.925375,0.732422,0.732422,1.353275,1.710746,1.475221,1.158983,1.691546,1.486787,1.321034,3.319444
6000,3.682917,8.872639,28.100750,0.732422,0.732422,1.651215,1.666275,1.710619,1.684444,1.726204,1.638167,1.323023,3.659722
8192,2.940694,8.922139,15.452125,0.500000,0.500000,1.801371,1.725548,1.884183,1.739581,1.712927,1.847758,1.326382,2.927938
12000,3.961792,13.403917,30.565792,0.732422,0.732422,1.774769,1.673435,1.897144,1.790235,1.675767,1.913269,1.324304,4.055556
16384,3.026326,9.833455,16.066750,0.500000,0.500000,1.789556,2.013585,1.987873,1.755494,2.034019,1.978123,1.323493,3.020386
25000,4.643893,12.655007,35.094333,0.762939,0.762939,1.887896,2.170250,2.114373,1.970335,1.987435,2.014496,1.323396,5.284987
32768,3.009364,11.305486,16.675875,0.500000,0.500000,1.823027,2.094475,2.361398,1.821210,2.097110,2.332610,1.324264,3.118744
45000,4.423004,15.030400,29.919459,0.686646,0.686646,1.942629,2.081669,4.510008,1.922862,2.080990,4.267210,1.323789,4.854630
60000,3.158911,14.204167,15.079750,0.457764,0.457764,1.989498,2.210535,3.853777,1.893175,2.111175,4.137869,1.326676,4.013428
100000,6.087777,17.916943,40.688459,0.762939,0.762939,2.955919,2.229940,4.841219,2.625042,2.251271,5.609510,1.380404,7.157913
150000,5.703151,24.861667,22.209917,0.572205,0.572205,2.730573,2.270106,5.941652,3.771227,2.321346,6.855988,1.367691,7.772316
200000,7.148473,19.211667,44.506500,0.762939,0.762939,3.502008,2.261450,6.145425,3.572364,2.233098,6.277160,1.383071,6.680903
300000,5.662592,23.378333,21.291166,0.572205,0.572205,2.906631,2.300760,6.924848,2.916871,2.297727,7.570523,1.364299,5.777962
400000,6.437256,19.006632,43.602917,0.762939,0.762939,3.554788,2.310348,7.248798,3.579960,2.431408,7.431177,1.351852,6.630867
600000,5.984722,25.757453,31.335591,0.572205,0.572205,4.471417,2.419071,7.799367,4.331213,3.170429,9.889594,1.359912,8.109398
800000,7.624982,21.671962,66.311875,0.762939,0.762939,8.654996,2.574929,8.947610,7.140085,2.300335,8.596660,1.296687,6.814670
1200000,7.679270,26.064930,55.593333,0.572205,0.572205,18.188975,8.034798,15.511919,13.565194,3.607100,15.436852,1.316418,12.168229
2200000,17.870256,37.472216,50.084129,0.524521,0.524521,16.789729,10.107489,18.782073,16.900008,10.151671,20.207121,1.343333,16.618655
3100000,20.528078,30.717796,104.266996,0.739098,0.739098,17.138917,9.942169,19.809104,17.586752,10.356337,18.913888,1.363637,20.280901
6000000,19.044073,35.392833,101.110337,0.715256,0.715256,18.781971,11.985854,19.317698,17.323256,11.626725,21.144569,1.340629,19.120264
10000000,19.324960,42.793292,58.355833,0.596046,0.596046,17.677558,13.851464,19.491223,17.276040,12.037973,19.430942,1.243113,18.850879
