element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,6.088542,19.312500,21.630000,0.500000,0.500000,9.865831,4.075246,6.276456,9.848390,4.073273,6.414023,0.573308,9.114583
110,7.322727,31.375758,19.320709,0.429688,0.859375,10.596617,4.154519,6.853490,8.941704,7.253690,6.768419,1.241892,17.803030
240,7.724306,22.540972,20.775791,0.468750,0.468750,10.910121,5.414060,6.401815,10.812258,5.774854,6.465810,1.274617,6.134722
500,7.541667,20.249667,21.721583,0.488281,0.488281,12.344146,5.369063,7.074788,12.309515,5.650021,7.156231,1.325523,5.944000
800,9.366667,18.680625,41.910500,0.781250,0.781250,9.752319,7.488567,6.836075,9.525825,7.570792,6.837596,1.334602,6.718750
1024,7.568034,20.860352,22.312291,0.500000,0.500000,12.389679,6.332192,7.076500,12.380487,6.332742,7.156244,1.332355,6.456380
1500,8.986111,19.629444,38.052541,0.732422,0.732422,11.082531,7.729221,6.903235,10.890923,7.755508,6.863465,1.338198,7.352000
2048,8.036377,21.165771,23.372542,0.500000,0.500000,13.657750,5.819844,8.868444,13.446952,5.660062,8.570340,1.352886,10.552246
3000,9.909722,21.942111,39.589208,0.732422,0.732422,13.544475,7.771575,8.039892,12.841463,7.766802,8.086629,1.343589,8.236111
6000,10.849556,27.902778,41.708667,0.732422,0.732422,14.967758,8.309588,10.292542,16.138012,8.280573,10.279177,1.409274,12.932889
8192,10.866821,37.869751,25.716625,0.500000,0.500000,16.298552,5.951013,11.797215,16.352563,5.959179,11.748154,1.348045,9.329915
12000,13.239597,35.391208,44.151833,0.732422,0.732422,18.031658,9.012244,14.252394,19.256288,8.993202,14.145696,1.347256,13.034722
16384,10.488281,39.627909,27.253000,0.500000,0.500000,17.163306,5.977498,13.834835,17.001727,5.987352,13.734460,1.347508,10.825277
25000,14.629720,41.170553,49.352750,0.762939,0.762939,21.583360,10.288173,17.731406,23.269277,10.587494,17.952012,1.347323,17.488893
32768,11.533946,44.359416,28.558500,0.500000,0.500000,17.379648,5.988002,14.674583,17.328690,5.951762,15.714669,1.394444,11.650920
45000,16.421144,44.948763,45.941583,0.686646,0.686646,25.133633,9.011871,17.093652,22.863821,8.860002,16.505646,1.347561,17.609252
60000,13.342597,49.223842,28.311291,0.457764,0.457764,17.054071,5.758998,15.649435,17.047183,5.771760,15.746369,1.346380,12.563433
100000,20.916943,44.453610,56.783125,0.762939,0.762939,26.800704,11.727394,19.904873,27.120456,11.775902,20.381260,1.333412,19.998607
150000,16.169813,46.184720,36.641250,0.572205,0.572205,22.217592,6.781356,18.075596,21.828179,7.074167,17.810088,1.395759,16.610740
200000,22.345207,46.135487,70.112166,0.762939,0.762939,29.768881,11.595952,20.611358,28.391006,11.461460,20.550498,1.311862,19.662847
300000,17.020324,45.422361,42.212833,0.572205,0.572205,22.220175,7.134867,17.647983,21.772360,7.111587,17.638902,1.323136,15.221203
400000,20.748333,41.969410,74.064042,0.762939,0.762939,29.531154,12.251323,21.716150,30.057162,13.033810,24.071423,1.357479,20.510313
600000,19.910278,52.810741,70.505556,0.572205,0.572205,43.748779,7.839075,30.012873,44.611010,8.011402,30.236773,1.399540,18.858612
800000,24.328264,48.947587,113.163333,0.762939,0.762939,45.211225,12.417033,31.453442,44.327877,12.466635,30.489894,1.281846,21.893993
1200000,21.085712,53.142135,78.414792,0.572205,0.572205,56.851312,8.456804,37.095637,57.996556,8.320044,36.943067,1.251242,20.457106
2200000,30.430294,61.432945,88.063059,0.524521,0.524521,70.225744,18.729877,45.951104,70.474098,18.603958,46.196675,1.324564,28.263308
3100000,35.820524,58.659738,146.397446,0.739098,0.739098,77.927113,22.314965,49.290073,76.628769,22.235431,49.381958,1.328952,33.709973
6000000,44.740042,72.231726,164.268496,0.715256,0.715256,82.208210,27.163602,52.935212,83.193442,28.887967,55.370587,1.377194,42.434134
10000000,43.932056,91.583021,120.075698,0.596046,0.596046,86.227069,28.646481,55.757127,85.800038,28.680310,56.473792,1.421773,39.848840
