element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,9.328125,26.703125,24.478042,0.500000,0.500000,8.146752,3.154381,5.602140,8.142167,3.146042,5.599360,0.643369,8.250000
110,11.363636,29.860606,23.118125,0.429688,0.859375,7.563756,3.201279,5.314381,7.847821,3.843860,5.908602,0.585162,29.039394
240,9.491667,25.028472,24.025875,0.468750,0.468750,7.287746,3.218790,5.326869,7.288631,3.210656,5.317825,0.585464,7.522222
500,12.694000,25.971667,24.370000,0.488281,0.488281,7.254940,3.251231,5.220471,7.267762,3.307504,5.239662,0.597569,7.860667
800,10.781458,19.132292,28.176000,0.781250,0.781250,7.617242,3.483206,5.498946,7.538302,3.513481,5.529144,0.706192,8.819583
1024,12.329102,24.142741,25.407792,0.500000,0.500000,7.466285,3.245144,5.468542,7.444038,3.297415,5.529913,0.654550,8.368490
1500,11.837889,22.083333,29.387541,0.732422,0.732422,8.015833,3.561200,5.917583,8.046048,3.591179,5.839292,0.730953,10.481556
2048,11.315104,27.452311,27.242000,0.500000,0.500000,8.771679,3.693148,6.188498,9.293879,3.747413,6.205169,0.684411,10.986491
3000,12.617944,53.185278,30.928542,0.732422,0.732422,9.130225,4.383573,6.754000,9.231646,4.354898,6.700221,0.732820,15.074111
6000,14.297417,39.957167,31.859417,0.732422,0.732422,10.287729,4.618325,7.137815,10.262717,4.601223,7.645254,0.751400,19.261556
8192,12.477458,47.565898,28.336417,0.500000,0.500000,10.723358,4.217129,9.798419,12.986225,4.024448,9.320819,0.730587,16.759237
12000,16.173597,42.753472,32.433417,0.732422,0.732422,12.249360,4.785602,7.958067,15.700202,5.951677,7.900669,0.769313,21.699111
16384,14.374207,56.458791,28.703333,0.500000,0.500000,13.545233,4.275062,9.457715,16.353896,7.016056,9.345548,0.760555,18.151164
25000,19.979160,44.196107,33.414500,0.762939,0.762939,18.191348,10.227158,20.854504,18.353915,10.050850,20.611317,0.767665,22.516653
32768,18.562953,55.709844,29.989959,0.500000,0.500000,16.173350,8.967735,18.495946,17.270867,11.856856,17.681379,0.793338,19.971222
45000,21.667285,48.050156,34.427334,0.686646,0.686646,19.293469,11.029952,17.697808,18.914650,10.939408,21.094298,0.777576,22.124696
60000,19.377086,58.263308,31.491125,0.457764,0.457764,18.772552,12.105162,18.005892,18.887219,12.042133,19.945113,0.822630,19.964350
100000,25.148613,48.567080,39.259625,0.762939,0.762939,22.089208,14.220596,24.457133,21.648338,14.187738,25.499798,0.770148,24.837223
150000,20.722409,51.474722,39.826500,0.572205,0.572205,21.385598,13.904250,24.630996,21.583631,15.108794,26.571033,0.862629,22.697778
200000,27.078055,51.599237,52.531459,0.762939,0.762939,25.403158,16.530387,29.667171,25.412013,16.318800,29.410235,0.813177,25.334862
300000,27.274120,60.318193,69.986208,0.572205,0.572205,27.207538,16.429698,29.378440,24.460350,17.392754,32.684671,0.856401,26.004213
400000,30.204965,55.534445,81.137750,0.762939,0.762939,35.241856,18.104415,31.008117,28.647613,17.793573,31.350590,0.773544,27.270730
600000,30.631412,64.118773,80.258923,0.572205,0.572205,39.583531,21.739065,39.073348,38.861858,21.443550,37.442487,0.817978,32.980324
800000,35.847309,59.361145,96.476458,0.762939,0.762939,45.647615,25.727785,43.675806,44.707665,25.273560,42.245340,0.802831,37.755538
1200000,42.318716,74.216719,95.129323,0.572205,0.572205,55.837244,28.808867,49.730048,54.839869,28.738733,49.617835,0.867514,42.032465
2200000,44.004451,82.456060,114.504394,0.524521,0.524521,58.395419,28.586719,50.453881,55.915660,28.112671,50.088419,0.839752,41.533857
3100000,47.833333,71.842077,106.470047,0.739098,0.739098,59.294790,32.065275,52.347281,61.168756,32.085844,51.484419,0.798594,49.229758
6000000,49.509361,77.000017,108.970128,0.715256,0.715256,62.473092,32.614835,53.270713,62.474925,32.678375,52.820908,0.791536,49.798296
10000000,48.857744,84.855723,102.536467,0.596046,0.596046,60.062229,31.220873,52.997246,60.133165,31.424433,52.517227,0.821377,48.516811
