element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,70.963542,299.697917,108.802875,0.500000,0.500000,9.414240,4.879888,7.180256,9.427094,4.943837,6.922892,5.698773,203.989583
110,75.756061,365.277273,118.209208,0.429688,0.859375,9.067956,5.150148,7.146290,9.061408,5.169317,7.149427,7.508635,304.796970
240,83.593750,343.575694,127.170166,0.468750,0.468750,8.942758,4.958667,7.115825,8.952775,5.073971,7.073521,6.618962,114.351389
500,171.889667,363.486000,133.923000,0.488281,0.488281,8.744977,4.985085,6.999002,8.910050,5.142204,7.257115,6.404712,174.805333
800,55.851042,522.856250,117.568750,0.390625,0.781250,10.317144,5.400163,8.416967,10.198517,5.052090,7.346921,8.736550,358.628333
1024,90.257324,409.674642,148.982583,0.500000,0.500000,10.375908,5.544765,8.162760,10.327300,5.742785,8.170285,5.951711,130.954102
1500,75.925889,489.583444,116.974375,0.366211,0.732422,11.936546,6.485288,9.069200,11.520106,6.511727,8.618748,9.833900,339.620444
2048,55.090902,405.408936,154.157792,0.500000,0.500000,12.153856,6.533548,9.346415,11.680837,6.660823,9.321992,6.049757,148.383301
3000,52.363444,506.018444,122.301750,0.366211,0.732422,12.591260,7.045856,9.646883,12.521617,6.866290,9.336990,11.190697,337.375000
6000,55.920083,616.160889,133.513708,0.366211,0.732422,13.373092,7.921931,10.115010,13.802496,7.471610,9.805485,12.345254,333.168944
8192,62.077840,462.101400,175.781667,0.500000,0.500000,14.555475,7.879087,10.409271,13.649873,7.621358,10.248513,7.705026,116.867065
12000,63.873833,600.957736,180.636500,0.366211,0.732422,15.144661,8.568833,10.617398,13.868337,8.922267,12.213356,12.790165,371.062528
16384,126.486460,487.092753,372.105667,0.500000,0.500000,15.314490,8.498940,11.838212,14.762477,11.070631,11.459298,10.111797,124.781291
25000,63.096680,1728.536947,201.283667,0.381470,0.762939,17.265262,11.858442,13.589860,18.897963,11.343369,15.292460,13.628104,442.481120
32768,73.465561,800.267329,390.319792,0.500000,0.500000,18.186204,12.230500,15.222202,20.966810,12.311273,22.928287,11.470564,78.983307
45000,174.100463,1635.816667,260.530500,0.343323,0.686646,21.442308,12.455240,20.408079,22.321494,12.539394,18.242944,15.114740,422.788267
60000,117.651733,1196.762617,349.869291,0.457764,0.457764,21.985960,13.642110,28.698704,29.740944,14.059215,27.574365,12.263538,145.655550
100000,189.876670,1793.231667,303.390458,0.381470,0.762939,26.170502,12.985706,26.023975,23.338879,13.067219,25.793308,14.545031,490.668330
150000,394.482040,1415.710833,2839.191208,0.572205,0.572205,32.223523,13.702706,28.576729,29.910735,13.368275,28.721673,10.163236,113.694351
200000,287.632085,1386.845348,443.122208,0.381470,0.762939,48.143838,18.704627,42.029402,37.723021,13.784171,32.919746,14.954865,631.870765
300000,210.921574,1343.913194,3105.999916,0.572205,0.572205,61.960398,25.792719,48.877373,60.385613,25.701261,52.690854,10.434764,361.566667
400000,401.361320,1505.472327,513.421750,0.381470,0.762939,71.446071,35.076115,61.371752,70.170719,28.276454,54.054394,15.054092,650.712083
600000,285.470555,1665.101434,4952.729723,0.572205,0.572205,79.459050,38.071829,65.936175,79.470206,37.758565,65.478542,10.628650,186.902222
800000,277.212916,1821.235417,552.959219,0.381470,0.762939,88.449340,43.015685,72.174485,81.638787,37.600912,65.597571,15.082954,942.749462
1200000,386.658229,2198.410781,3666.259896,0.572205,0.572205,87.543808,41.631765,72.988471,87.925027,41.990204,73.606894,10.776448,206.548889
2200000,505.768087,1826.089773,1043.597718,0.524521,0.524521,93.057948,44.625052,74.725725,93.438233,44.663429,75.969554,12.012187,322.850978
3100000,382.292225,2348.277547,631.411788,0.369549,0.739098,95.041729,46.287956,78.782617,94.969098,45.088308,79.608106,15.409065,1011.702236
6000000,322.788382,2748.956191,644.717878,0.357628,0.715256,103.926604,48.166021,82.794306,95.824719,46.667296,78.303090,15.707786,1232.596373
10000000,1574.936671,3208.496919,0.000000,0.596046,0.596046,108.053683,50.027942,84.212125,108.260223,51.177746,84.261119,10.106921,1240.095679
