element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,9.333333,147.135417,45.214208,0.500000,0.500000,1.051179,1.045040,1.055106,1.074998,1.043185,1.045752,2.166360,49.489583
110,15.530303,166.100000,49.373709,0.429688,0.859375,1.062648,1.021856,1.051202,1.276833,1.352419,1.288740,3.317831,214.393939
240,14.525694,137.962500,54.572584,0.468750,0.468750,1.097890,1.045633,1.051231,1.059375,1.030360,1.043548,2.538457,31.712500
500,16.500333,126.485667,59.049709,0.488281,0.488281,1.223977,1.269919,1.257946,1.254273,1.243006,1.283642,2.352619,32.554667
800,18.072917,183.975625,41.846500,0.390625,0.781250,1.234375,1.220369,1.215444,1.207612,1.269967,1.251948,3.810948,89.444167
1024,15.672689,124.505046,61.336333,0.500000,0.500000,1.234152,1.236631,1.234169,1.193129,1.200392,1.269131,2.272581,35.332682
1500,16.226778,155.754444,42.553042,0.366211,0.732422,1.260423,1.282004,1.314027,1.274479,1.254767,1.284933,3.932043,104.194667
2048,21.881185,130.350586,65.312958,0.500000,0.500000,1.274858,1.200665,1.238987,1.252810,1.235406,1.238300,2.277854,47.417643
3000,19.145833,180.624944,46.955792,0.366211,0.732422,1.302152,1.531317,1.558756,1.257746,1.281342,1.303073,3.959627,101.199111
6000,22.718722,190.515056,50.797625,0.366211,0.732422,1.441256,1.456390,1.501519,1.365333,1.388012,1.382000,4.024505,125.803222
8192,24.152954,181.144674,73.157458,0.500000,0.500000,1.440577,1.404862,1.387731,1.417488,1.460592,1.517802,2.310621,38.976034
12000,28.525472,205.525472,67.533750,0.366211,0.732422,1.452706,1.418408,1.430633,1.436667,1.384608,1.442942,2.663126,131.127306
16384,26.703298,154.164205,212.678208,0.500000,0.500000,1.431927,1.440937,1.485300,1.450773,1.441354,1.528890,2.364635,41.509847
25000,30.826380,217.086400,73.777916,0.381470,0.762939,1.465390,1.579246,1.593094,1.432702,1.460560,1.541431,3.620194,141.728333
32768,26.509822,169.136042,226.525375,0.500000,0.500000,1.534644,1.550817,5.299254,1.535417,1.537892,4.992123,4.659893,42.867869
45000,35.187337,258.104778,67.161166,0.343323,0.686646,1.774237,1.766669,5.978894,1.543108,1.491427,1.828085,7.108562,138.960489
60000,35.308678,198.737153,126.263792,0.457764,0.457764,1.742523,1.741267,6.139606,1.749125,1.747471,5.404944,7.438997,62.473844
100000,35.432777,264.070557,85.330875,0.381470,0.762939,2.053460,2.000081,6.403527,2.007398,1.819067,6.064665,8.329765,172.715833
150000,58.190556,266.152038,1333.188042,0.572205,0.572205,1.985500,1.990604,7.492750,1.986227,1.987515,7.466294,6.042241,74.691020
200000,51.392568,293.825208,92.170000,0.381470,0.762939,2.125138,2.116244,7.583267,1.960631,2.052144,7.314452,8.046508,186.910417
300000,56.697223,335.440231,940.783083,0.572205,0.572205,2.112371,2.118392,8.004715,2.139592,2.125575,7.975560,6.580858,61.894304
400000,94.779132,369.973854,180.429375,0.381470,0.762939,3.048115,4.898863,8.549390,2.176075,2.185677,11.523927,9.259056,272.226979
600000,187.623518,424.817685,878.310764,0.572205,0.572205,3.006794,3.133013,8.471381,2.990154,2.954252,8.315792,6.703102,125.992106
800000,124.727483,427.697100,284.752474,0.381470,0.762939,8.609198,7.922644,13.053612,3.046204,3.047173,11.251196,8.753390,299.906510
1200000,205.893177,468.708993,1069.832795,0.572205,0.572205,8.043898,7.943071,12.962385,8.136490,7.598636,12.230619,6.820357,135.974213
2200000,261.909517,596.390919,562.616335,0.524521,0.524521,10.022887,9.815208,14.169833,9.648923,9.543442,14.189067,7.838907,173.927626
3100000,170.055638,695.677614,310.672513,0.369549,0.739098,10.395083,13.459802,16.043185,9.970012,9.634456,14.715487,8.988038,393.665461
6000000,175.997458,823.932830,325.857382,0.357628,0.715256,14.483619,15.430450,16.867377,10.565223,10.665533,15.389500,9.624115,463.257479
10000000,306.437054,724.921713,6605.025723,0.596046,0.596046,12.487365,12.510513,17.031185,11.776817,12.110081,16.738950,6.524875,175.838328
