element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,56.640625,280.161458,65.676917,0.500000,0.500000,7.495787,6.169960,5.976715,7.538087,6.047513,5.967137,5.715925,95.916667
110,57.701515,253.157576,69.153375,0.429688,0.859375,7.427015,4.671315,6.396500,7.421194,4.977385,6.157444,7.283467,254.927273
240,49.245833,219.271528,73.860625,0.468750,0.468750,7.099565,5.769679,6.299327,7.094658,5.746810,6.412573,7.057902,86.343056
500,30.624667,211.597000,96.381542,0.488281,0.488281,6.947277,5.189173,6.789052,6.878610,5.039169,6.760985,6.207490,43.888667
800,28.246458,251.310833,63.053458,0.390625,0.781250,6.800410,5.533702,6.785917,6.796242,4.000544,6.685142,8.999294,148.072917
1024,30.788900,204.277995,82.411083,0.500000,0.500000,6.759827,4.922179,6.694917,6.821502,5.040737,6.715110,5.963823,42.588867
1500,31.629778,254.217778,63.820000,0.366211,0.732422,7.316973,7.243908,8.112321,6.776777,5.230242,7.295477,10.494352,155.824222
2048,36.956787,265.604655,92.577833,0.500000,0.500000,8.914127,6.451100,9.874931,8.601931,6.789760,8.016171,6.493738,60.662109
3000,30.791667,275.527778,68.138458,0.366211,0.732422,8.140746,9.054356,9.818096,8.245463,7.404140,9.230642,11.731549,175.750000
6000,33.630806,289.107694,73.099916,0.366211,0.732422,8.167902,8.539535,10.486152,8.139690,6.165179,9.777931,12.624681,173.384333
8192,36.799967,309.309204,97.899625,0.500000,0.500000,8.168298,8.995117,10.716294,8.561427,9.100075,11.090087,9.119228,83.599447
12000,38.762167,343.196181,98.867333,0.366211,0.732422,8.551665,9.454227,11.965871,8.104231,7.222071,10.909481,13.167271,190.346056
16384,43.277303,271.578033,249.742875,0.500000,0.500000,8.119517,9.795394,12.014560,8.146581,9.708435,11.707746,9.955456,55.313110
25000,65.331953,527.975000,105.202209,0.381470,0.762939,8.275775,10.698600,13.987890,8.144633,8.210106,13.057533,13.587129,215.618320
32768,74.136307,513.080592,255.551916,0.500000,0.500000,8.281154,11.857192,14.034958,8.644367,11.796954,13.958440,10.162797,140.075256
45000,40.395685,929.748919,106.778291,0.343323,0.686646,9.440615,10.611781,16.049767,8.295690,9.709777,14.427435,15.615926,201.615733
60000,42.704975,744.149881,159.516833,0.457764,0.457764,9.421794,12.709556,16.425463,9.438879,12.722515,16.571723,13.892282,63.171761
100000,80.923057,945.469727,134.745291,0.381470,0.762939,12.066015,11.965931,18.307600,9.436827,9.288469,16.529788,15.014925,232.604580
150000,225.733242,952.103424,1905.484958,0.572205,0.572205,10.511002,13.370677,18.715631,10.556996,13.373396,18.673473,9.934001,63.109536
200000,183.134723,1051.146388,225.867292,0.381470,0.762939,11.350279,12.511763,19.573935,10.465892,9.995894,18.480171,15.100810,287.983403
300000,417.579630,960.046759,2071.361333,0.572205,0.572205,12.368942,14.091540,22.469077,11.695252,14.045894,20.006852,9.714082,238.817963
400000,131.117083,1296.494236,290.695042,0.381470,0.762939,25.323735,17.940250,31.096133,12.013692,10.729821,19.956873,15.206348,376.076633
600000,368.519005,1164.974258,1894.372014,0.572205,0.572205,28.727152,20.820992,33.632362,27.852044,22.229015,33.200254,9.865989,227.022477
800000,220.710017,1579.774149,351.506901,0.381470,0.762939,36.994363,23.569546,48.675790,28.676088,17.998029,32.918356,15.102169,486.954270
1200000,301.794219,1165.010955,2046.859027,0.572205,0.572205,36.575225,25.170714,48.992369,36.853356,25.225502,47.925452,9.875525,395.847500
2200000,406.468153,1196.696667,862.612898,0.524521,0.524521,40.723419,30.255710,60.517558,42.052525,28.098465,58.688900,11.304422,368.677039
3100000,309.260323,1584.761767,490.112339,0.369549,0.739098,49.048063,29.305302,66.287456,42.124415,25.901887,59.995054,15.280926,702.511501
6000000,327.213121,2265.762882,497.154615,0.357628,0.715256,47.653498,28.014123,69.272331,42.762419,26.591358,62.713923,15.573285,689.490810
10000000,1088.539150,2463.505652,0.000000,0.596046,0.596046,54.165583,39.840040,70.167765,50.198475,30.877148,79.781742,9.598735,1520.284106
