element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,70.968750,291.020833,89.667500,0.500000,0.500000,9.234165,14.228050,7.959256,9.162467,14.500627,7.893044,2.022510,112.416667
110,65.218182,342.424242,93.445209,0.429688,0.859375,9.134806,13.048579,8.731179,9.028235,8.285611,8.954619,3.378458,266.793939
240,68.662500,281.945139,103.122166,0.468750,0.468750,8.979475,15.493735,9.391773,8.812556,15.460383,9.199563,1.997555,112.615278
500,53.556000,365.111333,110.772666,0.488281,0.488281,9.247146,14.935667,11.795823,9.583373,14.763285,11.723308,2.013317,75.528000
800,51.519167,428.932500,93.860833,0.390625,0.781250,11.349790,12.785567,13.361521,10.935452,9.886558,12.940350,3.789606,262.586667
1024,51.283366,370.096842,119.056166,0.500000,0.500000,12.339960,14.437015,14.457550,12.251410,14.332840,14.576556,2.112650,61.048503
1500,53.685111,376.018333,97.610416,0.366211,0.732422,12.791837,13.335629,15.617427,12.790513,11.960954,15.687511,2.792269,282.935333
2048,109.463135,434.821208,127.406500,0.500000,0.500000,13.349815,15.445158,16.124531,13.391471,15.829129,16.063648,2.057488,113.790039
3000,50.893500,387.266056,114.960834,0.366211,0.732422,13.764683,13.444329,17.042208,13.341033,11.740317,18.882637,2.814063,278.689778
6000,68.770833,530.700250,158.057125,0.366211,0.732422,16.113112,14.452267,18.878596,13.408858,12.033052,17.643650,2.406035,277.622667
8192,61.857442,336.849630,158.725417,0.500000,0.500000,14.459602,16.515494,19.667917,14.459902,16.327500,19.322667,2.142100,107.523600
12000,78.135417,451.550903,192.775166,0.366211,0.732422,14.633644,15.091104,20.263015,14.012854,12.584498,19.215921,2.497542,302.891194
16384,71.560323,434.112549,382.078250,0.500000,0.500000,14.803979,17.173352,21.923996,15.808863,17.729081,20.993831,2.189574,242.636800
25000,63.867507,1297.476120,272.293250,0.381470,0.762939,16.308015,16.738844,24.168758,15.395210,12.881738,21.543846,4.352069,352.425000
32768,68.258072,733.066345,437.480125,0.500000,0.500000,23.873569,18.475817,23.952460,23.023617,19.158465,28.071248,5.669121,315.003713
45000,81.727159,1905.731330,316.779042,0.343323,0.686646,20.421023,17.169144,27.124785,17.906810,15.774415,34.714987,7.217374,365.179007
60000,89.296758,1267.569442,439.872916,0.457764,0.457764,39.790879,20.848669,36.539833,36.411646,19.802167,37.974258,7.425886,268.040511
100000,99.412220,1893.595000,470.198167,0.381470,0.762939,62.447488,18.713808,44.320504,45.237121,18.193954,35.355852,8.459081,470.705277
150000,155.395924,1089.541669,3284.717333,0.572205,0.572205,77.481458,24.177792,63.563825,72.257469,20.220235,56.895400,5.705139,197.543611
200000,142.595278,2020.451040,441.567875,0.381470,0.762939,83.760310,27.124088,70.435567,78.200158,17.821348,61.801396,9.340704,674.535208
300000,186.833242,1422.523794,3931.942542,0.572205,0.572205,90.991615,31.689348,76.023671,87.992102,30.942042,77.508754,6.409413,816.184908
400000,198.356111,2568.573819,714.447417,0.381470,0.762939,93.823323,35.770052,79.719256,87.593925,34.219112,79.075196,9.124606,777.799583
600000,736.605208,1997.976991,2621.280625,0.572205,0.572205,98.940581,40.306171,81.420283,94.128887,38.809152,81.853981,6.270564,623.387176
800000,328.776111,2258.037674,829.948359,0.381470,0.762939,100.327542,37.247602,82.257958,95.002392,36.866002,80.770571,9.136306,864.830955
1200000,579.126667,1735.050885,2778.972465,0.572205,0.572205,100.002408,38.950987,84.213769,97.786304,40.757317,83.689342,6.400997,490.859132
2200000,693.382775,2267.561591,1255.985445,0.524521,0.524521,103.126356,40.841223,90.716106,103.425485,39.701221,87.644521,7.717511,549.552311
3100000,401.130793,2220.921378,691.104550,0.369549,0.739098,113.519475,48.795171,95.759169,105.720752,39.877163,88.930477,9.458226,1164.933683
6000000,416.299191,2913.132247,728.429115,0.357628,0.715256,130.809790,73.442433,123.477192,119.191477,52.438673,97.247404,9.633734,1134.076069
10000000,1681.410590,3015.842727,0.000000,0.596046,0.596046,125.692185,61.445144,110.386319,135.300898,63.854417,133.643927,6.049904,1358.339011
