element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,62.057292,280.812500,97.376959,0.500000,0.500000,9.923360,4.441567,6.987533,9.905235,4.444375,6.968360,2.667623,99.385417
110,55.051515,290.213636,106.356083,0.429688,0.859375,9.498425,4.706340,7.219544,9.513421,4.783977,7.254265,3.383110,235.103030
240,63.049306,353.443750,114.420417,0.468750,0.468750,9.371392,5.219354,8.509504,10.045802,4.532935,7.272817,1.998667,151.388889
500,54.361667,274.097667,121.424875,0.488281,0.488281,8.869290,4.530850,7.201315,8.934004,4.573437,7.177760,2.013994,81.500000
800,47.951250,367.908125,100.591375,0.390625,0.781250,10.636840,4.734144,10.062862,10.894577,4.580385,7.418138,3.737425,331.197917
1024,88.867025,370.931152,137.115958,0.500000,0.500000,10.851385,4.593679,8.391958,11.146636,4.602333,9.228292,2.526032,59.895833
1500,144.189778,464.986111,105.155083,0.366211,0.732422,12.823998,5.319542,9.380150,12.370875,5.272771,9.363075,2.336046,337.926000
2048,61.920166,412.594157,144.992000,0.500000,0.500000,12.348377,5.244817,9.246662,12.118371,5.751354,11.004102,2.427807,203.735189
3000,62.618056,583.807833,123.946209,0.366211,0.732422,15.244737,5.752673,9.763635,12.617473,5.749875,9.794265,3.915923,341.078778
6000,56.473361,625.615722,119.693042,0.366211,0.732422,14.364298,6.786075,10.086844,13.761983,6.506025,9.830538,3.921693,347.847222
8192,59.563517,421.034078,164.571292,0.500000,0.500000,14.907658,6.021506,11.434062,15.332100,6.015663,12.927779,3.351377,73.009888
12000,62.188056,495.847236,153.099125,0.366211,0.732422,16.988423,7.650175,10.977121,16.442819,10.929050,16.041317,4.002418,318.719889
16384,71.775635,431.634674,345.272125,0.500000,0.500000,15.373352,16.694071,13.029648,17.800669,16.296612,17.355381,2.524432,78.099569
25000,100.697773,1012.789707,238.890542,0.381470,0.762939,22.149486,15.417767,21.942894,19.258342,12.960021,19.003248,5.469560,371.401667
32768,155.211558,997.295385,406.433750,0.500000,0.500000,20.263585,16.303452,20.237513,19.661617,18.147461,24.797600,5.552647,155.381093
45000,89.702467,1413.175930,243.150375,0.343323,0.686646,21.207608,16.990927,24.904544,20.252183,15.143325,21.332267,7.283801,465.684874
60000,110.609256,1214.289933,319.532625,0.457764,0.457764,22.935996,20.078992,26.167048,26.036100,19.461175,27.067031,7.668045,152.487494
100000,105.253750,1595.275557,336.659167,0.381470,0.762939,34.328623,21.859371,53.666640,32.142256,17.801800,30.255533,8.878777,567.022500
150000,146.672036,1533.514816,3246.627792,0.572205,0.572205,31.384100,21.273315,29.342660,31.109717,21.542090,30.592287,6.199277,270.378611
200000,102.435763,1817.209860,379.570542,0.381470,0.762939,58.978381,21.366181,50.170581,55.705571,18.050692,35.786765,9.514269,590.132502
300000,347.465788,1554.562961,3621.009916,0.572205,0.572205,68.855502,22.619071,52.437848,64.559983,23.254700,51.542210,6.266584,304.169538
400000,245.569374,1906.388124,499.786250,0.381470,0.762939,79.433275,22.784512,61.294646,68.238819,18.906723,52.621590,9.062694,598.355728
600000,410.565278,1353.386759,0.000000,0.572205,0.572205,84.414996,28.222560,65.211921,82.552125,30.161163,67.625188,6.267580,143.567593
800000,312.119705,1981.297830,0.000000,0.381470,0.762939,90.574112,31.357458,70.642306,85.489088,28.125638,72.453967,9.496296,932.851980
1200000,959.847917,1466.438090,0.000000,0.572205,0.572205,96.161721,36.498804,72.918360,91.527919,35.100748,71.643446,6.415997,169.080197
2200000,494.137065,1960.042813,0.000000,0.524521,0.524521,95.906098,37.507665,75.804038,96.352567,37.818002,77.621292,7.713400,408.368838
3100000,371.359442,2180.616633,0.000000,0.369549,0.739098,105.929765,47.112194,94.683300,105.439258,36.979727,86.144763,9.828013,1053.215910
6000000,416.250785,2981.283188,0.000000,0.357628,0.715256,126.447921,49.190204,109.197442,114.911517,41.206660,89.489364,9.560233,1174.058468
10000000,1981.926271,3095.191729,0.000000,0.596046,0.596046,137.040337,50.658048,110.501215,128.172350,51.221981,103.167481,6.011156,1302.410374
