element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,18.229167,38.630208,38.552167,0.500000,0.500000,11.733671,7.464892,9.651544,11.741473,7.514352,9.665129,3.088110,20.406250
110,23.169697,60.163636,36.426083,0.429688,0.429688,11.876242,9.031767,10.207015,11.844133,8.896831,10.182654,4.006305,36.866667
240,25.405556,56.741667,41.712416,0.468750,0.468750,13.778575,8.319592,11.511906,13.683710,8.284383,11.611817,4.032178,22.918056
500,25.639000,58.791333,44.401875,0.488281,0.488281,13.901246,8.278185,12.849000,14.190177,8.386990,12.887058,4.072237,24.471333
800,29.340208,47.482917,72.493375,0.781250,0.781250,14.747465,12.466950,12.337469,14.798442,12.460038,12.299394,4.004408,29.080000
1024,25.458333,57.881510,45.507042,0.500000,0.500000,17.215917,9.026912,15.103342,17.539815,9.059531,15.273392,4.275532,25.119141
1500,32.222222,53.981444,61.461875,0.732422,0.732422,17.815531,13.245150,13.962140,17.756025,12.937823,13.963540,3.999235,28.083333
2048,26.384115,62.581299,49.930250,0.500000,0.500000,18.715946,9.856169,16.581925,18.844556,9.876194,16.678740,4.037539,23.878418
3000,29.629667,53.273056,93.112750,0.732422,0.732422,19.851773,13.157633,16.044958,19.824477,13.239567,16.016583,3.991900,28.745333
6000,31.387694,56.754611,136.314291,0.732422,0.732422,21.439187,13.429160,18.211565,21.610390,13.424858,18.102106,3.987392,30.544000
8192,29.216329,69.875895,71.390750,0.500000,0.500000,19.766952,11.075031,18.506877,19.837046,11.080279,18.467869,4.051940,25.587280
12000,32.213542,58.548056,107.023958,0.732422,0.732422,23.222835,14.079002,20.785229,23.065517,14.062156,20.779363,3.995180,32.987278
16384,28.867930,68.393717,146.237125,0.500000,0.500000,21.318062,11.496777,20.006308,21.333283,11.482017,19.973946,3.793927,31.627218
25000,34.967767,59.663607,230.751708,0.762939,0.762939,27.031283,15.080192,24.244544,26.656417,15.069762,23.881619,3.988767,35.624427
32768,30.342529,68.503693,156.716375,0.500000,0.500000,22.816469,11.902040,21.668838,22.701825,11.891019,21.687848,4.050078,33.873657
45000,34.982719,62.463422,223.058750,0.686646,0.686646,28.122519,14.504429,23.355244,28.201833,14.531473,23.425504,3.999222,36.809867
60000,30.943750,75.386344,230.598833,0.457764,0.457764,22.827665,12.151335,22.525337,22.855633,12.218998,22.737581,4.125152,31.960644
100000,39.919720,66.333050,174.416167,0.762939,0.762939,35.461021,17.946131,30.338890,38.858790,20.855100,63.420048,4.191860,47.130280
150000,35.187684,79.588889,182.401625,0.572205,0.572205,72.347354,17.266738,56.087223,74.852877,17.429027,56.325567,4.337268,38.567313
200000,43.527778,74.840210,220.750750,0.762939,0.762939,95.395285,31.468592,78.309504,97.189010,32.938256,78.894087,4.285083,43.021042
300000,41.005001,93.686389,217.066750,0.572205,0.572205,108.265575,36.696269,89.684050,107.597002,34.565575,81.183277,4.141233,38.340370
400000,46.568057,81.991423,232.366750,0.762939,0.762939,110.201100,48.738854,94.682712,108.320535,48.474862,92.314875,3.861167,47.179132
600000,42.865764,103.711112,224.197014,0.572205,0.572205,117.161923,47.037692,91.869077,115.121231,50.732385,91.863252,3.800907,43.936088
800000,51.753421,98.589427,271.839063,0.762939,0.762939,123.307179,59.164913,101.277708,121.118358,58.427396,101.981998,3.789544,53.923837
1200000,49.797309,120.881163,250.268264,0.572205,0.572205,120.453115,51.562333,97.091446,120.948452,50.779444,97.696417,3.779034,49.128982
2200000,49.930606,139.085871,261.129640,0.524521,0.524521,124.983660,53.586352,102.841813,125.114877,54.041065,101.934369,3.785587,50.083946
3100000,61.260699,127.307648,299.132514,0.739098,0.739098,133.965667,65.061429,112.220398,135.153198,65.291579,112.752444,4.046048,61.584104
6000000,62.694875,136.735069,317.761344,0.715256,0.715256,143.049962,65.236563,115.150098,138.928060,64.793325,114.593085,4.011564,67.225637
10000000,61.110106,154.608656,293.232150,0.596046,0.596046,134.317233,68.161885,121.186633,135.850367,68.255590,122.746946,4.019521,63.424676
