element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,18.458333,39.057292,34.665584,0.500000,0.500000,8.081794,7.243860,8.105183,7.935510,7.218652,8.189712,3.082065,29.500000
110,18.622727,45.833333,31.430833,0.429688,0.429688,9.762050,6.271965,7.989365,10.096735,6.298588,8.021625,3.995407,23.106061
240,20.341667,48.929861,32.461750,0.468750,0.468750,10.710094,6.769883,8.783454,10.645067,6.761050,8.752800,4.118923,19.097222
500,20.472000,47.958667,34.394750,0.488281,0.488281,11.320448,6.892542,9.533390,11.346892,7.039998,9.651925,4.139648,26.944000
800,25.095208,41.944375,58.604500,0.781250,0.781250,9.064429,10.132637,8.011183,9.344956,10.497127,8.078619,4.004592,27.812500
1024,21.559082,51.032227,39.285042,0.500000,0.500000,12.529535,6.639029,11.167010,12.394377,6.766796,11.241540,4.057113,20.670247
1500,23.972222,44.916667,53.668958,0.732422,0.732422,12.711804,9.354035,10.220681,12.787221,9.546631,10.307385,4.007612,24.046444
2048,20.704427,51.422038,41.791292,0.500000,0.500000,13.819521,7.101710,13.468883,13.792517,7.046888,13.431885,4.050330,20.650065
3000,24.821722,46.530056,55.281542,0.732422,0.732422,14.441744,10.927896,11.780592,14.470219,10.925831,11.648802,3.996942,24.740778
6000,26.155083,51.931722,90.499792,0.732422,0.732422,15.922783,11.365717,14.152046,17.013869,11.341900,14.176613,3.994664,25.372667
8192,21.674255,58.010539,72.162250,0.500000,0.500000,15.565781,8.610444,14.770040,15.597019,8.629117,14.783208,4.053391,21.196126
12000,26.858806,50.960056,156.332291,0.732422,0.732422,18.072033,12.239946,18.096148,18.013960,12.233877,17.823385,3.998294,26.170139
16384,22.816142,58.744212,123.179875,0.500000,0.500000,16.257775,9.048042,16.602865,16.320412,9.059867,16.319208,4.057626,22.222717
25000,29.006120,50.916107,175.594708,0.762939,0.762939,22.155675,14.214533,22.321944,22.569508,14.486865,22.089381,4.110406,29.822227
32768,27.108932,66.646367,177.892917,0.500000,0.500000,18.654200,10.352583,18.808733,18.684383,10.423660,18.183492,3.815126,27.702332
45000,29.529937,54.413430,193.907167,0.686646,0.686646,22.913073,11.955279,20.511244,22.831565,12.037367,20.459421,3.754419,28.479319
60000,25.892947,65.570944,108.667667,0.457764,0.457764,18.228783,10.051312,19.490813,18.211825,10.026900,19.425125,3.857458,24.804406
100000,34.266663,56.460003,191.349750,0.762939,0.762939,27.874673,15.783902,25.522477,29.081356,16.488098,27.295850,4.119802,33.201253
150000,28.354353,63.917593,306.532542,0.572205,0.572205,26.530208,12.222569,25.093587,26.348225,12.550448,25.034573,4.246777,32.304260
200000,35.659167,62.193817,227.007334,0.762939,0.762939,39.282808,18.885129,35.148783,48.753113,19.076935,33.764421,3.962415,36.446390
300000,31.201250,66.625462,212.245333,0.572205,0.572205,53.862744,11.812454,44.580162,51.640840,11.699925,40.030304,4.083590,33.656158
400000,36.808126,63.939966,261.194458,0.762939,0.762939,69.973083,21.363454,55.405048,70.036715,21.657367,54.253117,3.870192,37.719479
600000,38.279884,79.617014,224.125313,0.572205,0.572205,75.649546,21.880550,65.078019,75.977340,21.631052,67.019263,3.814540,38.703403
800000,47.089583,79.945052,251.573750,0.762939,0.762939,90.830685,39.292200,76.387794,89.613298,40.227758,78.331475,3.823425,46.227118
1200000,42.442465,93.756875,230.376857,0.572205,0.572205,86.365217,37.774906,77.557827,86.914433,38.129738,78.181073,3.773828,43.534190
2200000,46.118939,111.516079,232.444564,0.524521,0.524521,89.746927,42.418285,81.845046,89.769627,42.540494,82.100781,3.790564,45.302184
3100000,56.410208,106.075746,269.476512,0.739098,0.739098,101.407496,53.040446,89.597179,102.164696,52.890783,88.890800,4.661367,56.730878
6000000,58.416920,113.118181,272.736875,0.715256,0.715256,104.172769,52.427529,90.648198,104.172815,52.177954,90.605329,3.754465,57.203694
10000000,56.671604,129.611625,263.539146,0.596046,0.596046,99.619681,53.569452,101.702946,102.201704,55.827177,104.658410,4.023883,60.871232
