element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,9.114583,23.447917,18.541166,0.500000,0.500000,9.666246,4.226827,5.898008,9.709671,4.227019,5.830577,3.087752,9.989583
110,9.154545,29.796970,16.987750,0.429688,0.429688,10.181894,4.117938,6.799806,10.157331,4.079331,6.545925,4.001688,8.587879
240,9.404167,40.596528,18.291583,0.468750,0.468750,10.940606,4.393904,6.324877,11.125317,4.396844,6.461748,4.027359,8.622222
500,10.472000,27.250000,19.124834,0.488281,0.488281,10.646135,4.442306,6.464781,10.756412,4.438567,6.497525,4.094154,8.999333
800,11.276042,23.263958,36.226958,0.781250,0.781250,9.157192,6.122671,6.711523,9.307469,6.232690,6.717442,4.016383,10.625000
1024,10.375977,26.706217,19.692458,0.500000,0.500000,11.402669,4.220029,7.010977,11.535554,4.219667,7.083315,4.063902,8.829427
1500,12.004556,23.990778,33.019041,0.732422,0.732422,10.702306,6.286029,6.648733,10.204494,6.450373,6.681833,3.784548,13.666667
2048,10.986247,29.534180,19.782833,0.500000,0.500000,12.153256,4.345702,7.726656,12.113481,4.335569,7.723656,3.802008,9.541667
3000,12.236111,25.861111,34.469750,0.732422,0.732422,11.870385,6.588806,7.489912,11.906450,6.635290,7.454827,3.774382,12.166556
6000,13.674778,32.770861,35.651375,0.732422,0.732422,13.868544,6.946044,9.184308,15.843054,6.968904,9.006665,3.763264,13.794000
8192,10.836283,37.449300,20.772667,0.500000,0.500000,13.311267,4.868425,10.254321,13.331844,4.868267,10.243902,4.120325,10.945679
12000,14.861681,35.061347,36.507375,0.732422,0.732422,15.951738,7.111515,12.771812,15.982244,7.085890,12.645992,3.747192,14.931694
16384,11.265208,42.318136,21.180250,0.500000,0.500000,13.779419,4.841362,11.869317,13.743085,4.885785,11.514298,3.844994,12.422343
25000,16.068047,34.574727,40.355417,0.762939,0.762939,18.914279,7.839188,15.482921,19.356604,7.993223,15.669652,3.745429,18.121120
32768,14.341146,44.292664,22.157541,0.500000,0.500000,14.492371,4.995729,12.680377,14.507550,5.007660,13.199625,3.820237,13.920247
45000,15.974226,39.763430,34.536500,0.686646,0.686646,19.550925,6.777885,14.741142,19.583158,6.771265,14.652140,3.756927,16.498770
60000,14.583217,47.926508,21.904875,0.457764,0.457764,14.698417,5.184983,14.146062,14.673410,5.175883,14.119506,3.880468,14.159717
100000,20.392363,40.139027,45.936417,0.762939,0.762939,23.840950,9.845848,19.593308,23.808698,9.829719,19.487727,3.766377,19.797223
150000,15.171389,42.414909,28.941500,0.572205,0.572205,18.111067,6.110690,15.962992,18.098769,6.106863,15.916394,3.932359,16.581296
200000,20.879930,41.140348,48.914250,0.762939,0.762939,25.187871,10.081160,20.290519,25.204671,10.075487,20.392567,3.868531,19.733125
300000,17.850417,44.163933,36.588667,0.572205,0.572205,18.754187,6.230338,16.542731,18.580321,6.220625,16.529113,3.877036,15.843564
400000,21.002639,41.108090,68.275417,0.762939,0.762939,26.232975,10.887717,21.659908,25.775558,10.880906,21.087690,3.852560,20.653888
600000,21.221551,47.863171,55.390659,0.572205,0.572205,31.115267,6.457292,27.086719,30.187052,6.167119,21.853531,3.829438,22.673519
800000,26.237708,47.206753,92.710469,0.762939,0.762939,36.995592,11.910206,29.071644,37.598852,12.495967,28.754892,3.822583,27.894514
1200000,27.013941,53.747292,66.030955,0.572205,0.572205,40.281623,6.702760,31.487085,40.451165,6.702275,31.467683,3.815929,28.040579
2200000,30.642803,61.215464,66.577775,0.524521,0.524521,42.953267,7.327033,34.630335,43.236219,6.816542,34.405706,3.774360,29.616616
3100000,36.971310,57.587735,112.183421,0.739098,0.739098,47.826521,15.658702,38.455633,47.814925,15.674467,38.261938,3.791534,37.254391
6000000,39.186840,62.151851,110.549927,0.715256,0.715256,50.323646,15.863740,39.490065,51.583440,15.629569,40.623369,4.027578,38.450042
10000000,37.876223,68.599477,83.814158,0.596046,0.596046,49.376298,14.345792,42.512900,49.110823,14.477481,42.149394,3.785094,37.440985
