element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,17.348958,36.880208,37.932000,0.500000,0.500000,8.041979,5.750021,6.547688,8.030831,5.768788,6.557471,3.058142,19.104167
110,17.362121,47.415152,34.990333,0.429688,0.429688,9.000167,5.497821,6.439058,8.979044,5.508919,6.446658,3.776325,27.269697
240,22.222222,48.292361,40.494125,0.468750,0.468750,9.164781,5.568375,6.690162,9.193642,5.584569,6.725002,3.906835,26.043056
500,22.444333,43.861667,43.247667,0.488281,0.488281,9.194560,6.186242,6.637610,9.487533,6.139321,6.670875,3.868892,21.972000
800,24.496667,41.032917,73.810916,0.781250,0.781250,10.702260,7.079056,9.119890,10.702250,7.131377,9.193029,3.759975,26.874583
1024,22.779460,48.773763,44.372792,0.500000,0.500000,12.711592,6.222625,8.925775,12.427388,6.228469,8.964208,3.812737,21.226888
1500,24.750000,41.842444,60.848792,0.732422,0.732422,11.746579,9.148202,10.021075,12.362875,9.505958,9.850854,4.153234,29.278000
2048,24.007243,53.432861,51.905084,0.500000,0.500000,14.389015,7.373123,10.615756,14.425140,7.393225,10.595135,4.219746,24.481771
3000,28.481556,48.101944,80.360916,0.732422,0.732422,12.735975,9.571760,10.340050,12.425900,9.560969,10.185890,3.995863,26.287111
6000,27.300944,51.917806,131.154709,0.732422,0.732422,16.035417,10.089431,10.893083,13.379756,10.009317,11.722965,3.986984,27.613389
8192,23.990214,58.457255,69.867959,0.500000,0.500000,15.564438,8.293629,13.005092,15.557717,8.674829,12.902523,4.062320,23.393392
12000,28.307292,52.995361,105.520416,0.732422,0.732422,16.427810,10.687246,16.084231,19.817288,10.728092,15.982348,3.991762,30.016194
16384,26.008606,60.749064,146.063083,0.500000,0.500000,16.854315,8.512263,15.481296,16.977779,8.512221,15.556079,4.058817,25.321960
25000,31.376947,54.685833,231.251833,0.762939,0.762939,25.857663,13.173452,21.936588,24.265915,13.132312,20.856227,3.741929,33.234440
32768,26.759043,63.040410,153.788042,0.500000,0.500000,18.373517,8.910958,18.235094,18.363988,8.916885,17.861865,3.793726,33.255249
45000,32.832404,58.227156,221.549125,0.686646,0.686646,24.350100,11.217425,19.751229,24.321996,11.240148,20.039413,3.745350,34.251237
60000,28.086231,67.060186,231.354916,0.457764,0.457764,18.822898,9.085877,18.259765,19.103506,9.073154,18.992506,3.890640,30.887039
100000,37.039307,61.878610,191.011500,0.762939,0.762939,33.544825,15.930992,31.638838,31.620760,14.658508,27.250790,3.921054,38.241390
150000,32.142036,71.097409,161.802334,0.572205,0.572205,50.744329,12.553504,35.869981,48.241637,11.519771,36.025269,3.862871,34.919442
200000,39.936807,66.121873,189.440750,0.762939,0.762939,66.033017,18.974408,54.754562,68.681873,18.879346,53.346546,4.132148,38.821320
300000,36.539398,80.016296,199.272166,0.572205,0.572205,79.357456,22.770383,63.386302,78.791215,24.999767,64.396323,4.098174,40.580370
400000,41.888056,74.409132,231.594917,0.762939,0.762939,88.323573,39.492858,75.885492,86.855296,38.605262,73.715835,3.838019,46.752361
600000,41.533288,92.591320,223.591910,0.572205,0.572205,90.448913,38.398990,70.836367,88.671448,35.271775,71.180815,3.796908,42.772986
800000,49.617760,87.989601,265.081224,0.762939,0.762939,95.919390,45.716085,81.275554,96.438087,44.914421,81.267171,3.782721,58.464010
1200000,45.897830,106.548004,249.090625,0.572205,0.572205,92.439244,38.207717,74.470069,92.163327,39.167596,74.651521,4.046806,49.400359
2200000,48.287604,121.159441,259.689195,0.524521,0.524521,96.172288,45.128244,80.921527,97.539423,45.115252,81.010850,3.782799,48.432999
3100000,58.713475,111.212816,299.155618,0.739098,0.739098,104.953306,50.010954,88.611392,109.493892,50.397260,88.792163,3.744915,64.391129
6000000,59.988247,129.072406,357.423809,0.715256,0.715256,114.808915,57.210594,98.452694,115.677210,56.278525,98.372417,4.189764,73.303199
10000000,74.078844,146.785808,289.971521,0.596046,0.596046,105.656708,51.813935,92.840019,103.818100,52.227808,95.514098,4.017938,62.495924
