element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,8.036458,21.052083,19.149084,0.500000,0.500000,9.313183,3.473967,5.611358,9.297096,3.473846,5.623977,3.053002,9.552083
110,7.703030,24.366667,17.244041,0.429688,0.429688,10.117569,4.319210,5.894402,10.102442,4.317477,5.896385,3.820766,7.700000
240,9.029167,24.940972,18.681583,0.468750,0.468750,10.527154,4.021415,5.770775,10.449206,4.024212,5.912746,3.862659,7.580556
500,8.931333,24.291667,19.404458,0.488281,0.488281,11.464440,4.270802,6.002952,10.683008,4.335354,5.993246,4.056542,8.584000
800,11.736250,26.362917,36.424708,0.781250,0.781250,8.662377,5.356121,6.226825,8.593362,5.431221,6.281835,4.001946,9.722500
1024,10.077637,27.058919,20.091125,0.500000,0.500000,11.123831,4.098267,6.259985,11.292275,4.095031,6.259902,4.044647,8.341797
1500,11.055444,23.208333,33.085042,0.732422,0.732422,10.191875,5.343940,6.088208,9.637783,5.779335,5.979523,3.998492,9.546444
2048,10.030192,28.394938,20.427000,0.500000,0.500000,11.834079,3.963435,7.305217,11.914611,4.116833,7.455210,3.852850,12.437500
3000,11.819500,25.249944,34.856792,0.732422,0.732422,11.022477,6.144206,7.014588,11.029402,6.133160,6.932244,3.771336,11.148222
6000,12.895861,31.788194,35.810291,0.732422,0.732422,13.165363,6.176960,8.579215,15.452556,6.205208,8.509783,3.763760,13.398167
8192,10.645569,36.661784,21.052250,0.500000,0.500000,12.939185,4.398033,10.171490,12.907979,4.382590,10.166400,3.848252,10.292928
12000,13.173611,33.241889,36.774292,0.732422,0.732422,15.523548,6.319940,12.068494,17.727417,6.447021,11.879406,3.754255,14.699083
16384,10.801524,42.892456,21.540834,0.500000,0.500000,13.441612,4.308177,11.580817,13.390235,4.305071,11.577850,3.839764,11.514445
25000,15.874993,34.874160,41.484208,0.762939,0.762939,20.217433,7.572854,15.556723,20.299312,7.754208,16.191477,3.990744,19.307213
32768,13.911570,43.131510,22.659625,0.500000,0.500000,14.131213,4.438042,13.240362,14.132648,4.452233,13.211771,4.053075,14.159719
45000,15.813267,38.496604,35.424167,0.686646,0.686646,19.915602,6.069529,14.691294,19.968808,6.082008,14.617975,4.000052,16.891970
60000,14.310069,46.897569,22.078084,0.457764,0.457764,14.297590,4.581558,14.016752,14.331312,4.585929,14.028769,4.126227,13.997917
100000,20.184583,40.650137,46.448625,0.762939,0.762939,23.908713,9.455208,20.055456,23.941152,9.500513,19.666596,4.017550,20.167640
150000,15.176664,42.457593,29.004833,0.572205,0.572205,17.957750,5.711487,16.074250,18.015029,5.656098,16.130267,3.928010,16.584353
200000,21.020068,41.267915,48.550166,0.762939,0.762939,25.428329,10.202698,20.768206,25.526917,10.062706,21.066856,3.864408,19.889238
300000,17.900418,44.692037,36.583958,0.572205,0.572205,18.647706,5.733148,16.485710,18.715456,5.728704,16.324456,3.856768,15.825926
400000,20.892465,41.204271,67.589792,0.762939,0.762939,26.208850,10.614585,21.503669,26.064308,10.592292,21.356558,3.856452,20.542535
600000,20.893496,47.986042,55.707708,0.572205,0.572205,30.810256,5.963188,22.790379,30.806860,5.887779,21.809571,3.841906,22.357246
800000,26.109688,46.972170,94.319896,0.762939,0.762939,36.693304,12.057802,28.991087,37.122771,11.377875,28.961252,3.834208,27.263229
1200000,26.325660,54.277830,64.360417,0.572205,0.572205,40.198031,6.321527,30.222013,40.394752,6.222723,30.104931,3.810266,27.030197
2200000,29.014044,59.599896,65.707036,0.524521,0.524521,43.139458,6.465133,33.647356,43.248650,6.470948,32.828598,3.795716,29.383390
3100000,36.077937,56.872903,113.349812,0.739098,0.739098,47.942527,15.089829,37.694963,47.768035,15.031227,37.595042,3.795086,36.186375
6000000,37.095573,61.188955,109.583372,0.715256,0.715256,50.480721,14.916194,38.570396,51.350217,14.904188,39.596188,4.035102,38.724088
10000000,36.344877,67.892427,81.566296,0.596046,0.596046,52.867573,13.704969,42.020398,51.326994,13.626831,41.768908,4.056340,36.544419
