element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,4.776042,16.927083,12.002958,0.500000,0.500000,3.843602,1.395229,1.538592,3.840619,1.394221,1.539698,1.818702,5.218750
110,7.700000,18.557576,19.912666,0.859375,0.859375,1.953931,1.755971,1.890569,1.954594,1.759033,1.885208,1.152222,5.051515
240,8.245139,17.100000,11.379917,0.937500,0.937500,1.733979,1.734417,1.824275,1.741479,1.734844,1.822744,1.015186,5.730556
500,5.999667,23.666667,12.051166,0.488281,0.488281,1.712169,1.258840,1.290802,1.671192,1.251148,1.291637,1.878808,4.139333
800,6.622708,17.612500,19.503166,0.781250,0.781250,1.854027,1.421383,1.458513,1.811308,1.463173,1.513323,1.140296,4.947500
1024,5.167806,22.718587,13.006583,0.500000,0.500000,2.074423,1.561925,1.669612,2.078256,1.561138,1.667783,1.913187,4.476237
1500,6.527778,57.689778,19.310875,0.732422,0.732422,2.023400,1.805992,1.919081,2.009254,1.816867,1.900783,1.293692,5.222222
2048,5.459229,53.375081,13.549625,0.500000,0.500000,2.102692,1.686852,1.877883,2.038608,1.738242,1.901142,1.952869,4.706543
3000,6.990722,39.951444,20.234708,0.732422,0.732422,2.105825,1.913658,2.082440,2.135431,2.006375,2.000012,1.284196,5.444444
6000,8.458333,32.571722,21.143959,0.732422,0.732422,2.556100,2.065212,2.065508,2.399033,2.036327,2.077821,1.295333,5.997722
8192,6.377299,51.856120,14.434125,0.500000,0.500000,3.068392,1.724842,2.011017,3.027425,1.764635,1.948715,2.004629,5.484660
12000,8.635972,40.288792,21.826833,0.732422,0.732422,3.014669,2.266873,2.273171,2.647194,2.185637,2.216548,1.328601,10.508083
16384,7.261047,50.027201,14.843583,0.500000,0.500000,3.461483,2.042992,2.103273,3.429842,1.943858,2.100929,2.506717,12.596965
25000,10.453893,41.279173,24.259416,0.762939,0.762939,3.733777,6.580875,2.481294,3.188696,5.951940,2.401354,1.303073,16.293893
32768,9.253606,52.388082,15.485917,0.500000,0.500000,3.876842,4.695181,2.280208,3.861615,4.492060,2.267250,2.845350,13.049662
45000,11.588889,44.809574,22.193333,0.686646,0.686646,4.190723,7.283915,3.454125,4.218958,7.141844,3.646138,1.788092,16.132104
60000,17.609139,43.910528,16.590084,0.915527,0.915527,4.490065,8.969375,8.985385,4.744158,7.960075,5.492344,1.179065,20.860417
100000,16.476807,47.180417,27.216958,0.762939,0.762939,4.968179,9.135398,10.935831,4.739510,9.079765,10.173296,1.970396,17.692363
150000,15.523796,52.628240,26.059250,0.572205,0.572205,4.953538,7.590794,10.554077,4.886323,7.569242,10.019008,4.687894,16.131942
200000,17.827915,47.983125,35.424458,0.762939,0.762939,5.912308,9.676527,12.925342,5.840360,9.693737,12.416073,2.645450,19.974792
300000,19.204074,56.527083,36.566292,0.572205,0.572205,9.258315,9.477121,14.758750,9.076190,9.261417,15.135492,5.336393,21.793610
400000,23.092604,53.327534,48.800584,0.762939,0.762939,11.297048,11.842860,19.603071,11.124846,11.934660,19.374052,3.210531,29.471632
600000,23.970764,65.052501,42.319375,0.572205,0.572205,12.532523,13.589846,19.528392,12.550038,13.598292,19.238650,5.546089,28.783264
800000,29.941632,61.695278,58.535208,0.762939,0.762939,14.725923,16.304210,23.800208,14.792800,16.152440,23.321150,3.167927,35.357796
1200000,29.071146,71.875642,46.666979,0.572205,0.572205,14.409971,14.994056,21.148627,14.352017,14.932473,20.893383,7.425692,33.003322
2200000,30.456762,82.608873,46.774441,0.524521,0.524521,14.954596,15.000648,20.369096,14.973267,14.919381,20.338602,8.730843,35.622746
3100000,39.233696,74.560511,69.067883,0.739098,0.739098,17.552817,17.764008,25.102721,17.594448,17.951792,25.572488,5.479885,43.133262
6000000,39.842403,85.587774,68.500438,0.715256,0.715256,18.403877,17.724865,25.239825,17.342671,17.671937,25.585408,5.594023,43.938537
10000000,36.308773,97.478652,54.369644,0.596046,0.596046,16.181454,15.889802,22.680408,16.334092,15.931331,22.967756,7.211712,40.680768
