element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,17.359375,34.718750,32.321875,0.500000,0.500000,8.921277,5.059115,5.948419,8.903894,5.124081,5.960360,1.639608,24.729167
110,23.233333,36.175758,45.456625,0.859375,0.859375,9.724321,6.914817,7.176304,9.627577,6.919690,7.169950,1.064699,24.369697
240,25.115972,41.406944,32.368375,0.937500,0.937500,10.263079,6.886715,7.158029,10.305881,6.895496,7.165460,0.960628,20.600000
500,18.610667,48.458333,33.450500,0.488281,0.488281,10.346913,5.849783,6.073883,10.795775,5.903610,6.054429,1.834337,20.278000
800,25.746458,42.361042,47.617375,0.781250,0.781250,11.590927,6.607369,7.014929,11.562006,6.556181,7.008367,1.168438,21.146250
1024,19.734863,57.597005,39.556417,0.500000,0.500000,11.748898,6.558250,7.244373,11.749602,6.592512,7.251813,1.765284,19.585286
1500,23.773222,48.370556,47.894625,0.732422,0.732422,14.767619,8.184573,9.229685,14.798146,8.243690,9.036152,1.218616,23.046444
2048,22.033691,56.243978,42.234333,0.500000,0.500000,14.115315,8.399952,9.162481,14.089046,8.326912,9.047302,1.854577,21.125000
3000,24.627278,51.238500,50.436208,0.732422,0.732422,16.570335,9.930265,9.951923,16.608946,9.919429,9.925808,1.259075,25.486111
6000,26.702528,59.878472,86.390791,0.732422,0.732422,17.836713,12.399750,11.513421,17.810627,12.296987,11.538498,1.245374,27.483778
8192,23.029765,70.471842,80.068000,0.500000,0.500000,15.392348,11.628590,12.251112,15.451494,11.618594,12.092827,1.925215,22.942424
12000,28.086792,60.747681,152.826792,0.732422,0.732422,18.153215,15.173921,16.640300,18.187992,15.215767,15.718440,1.265776,29.524306
16384,23.311198,75.551768,124.505667,0.500000,0.500000,15.580527,12.640013,22.183769,17.962492,12.654783,22.151594,1.984490,25.698344
25000,30.775560,64.597787,158.869708,0.762939,0.762939,19.018440,17.937854,22.795073,19.040317,17.828308,23.809015,1.263825,31.539440
32768,24.427205,77.101395,166.114750,0.500000,0.500000,17.159437,14.003183,23.172829,16.973485,14.101729,22.926377,3.155822,26.871572
45000,30.312504,68.006944,195.243917,0.686646,0.686646,19.480083,17.229988,27.412908,19.419850,17.132983,27.587215,1.762790,32.301230
60000,37.425697,66.857636,109.100708,0.915527,0.915527,22.798123,19.773875,31.240092,22.915165,19.771173,30.819373,1.115585,39.477317
100000,35.397080,72.069310,186.916875,0.762939,0.762939,23.640869,19.541858,31.310119,21.197456,19.605456,31.223958,2.052219,35.689163
150000,30.622316,80.512313,290.518541,0.572205,0.572205,20.505992,18.117458,29.282140,20.193106,18.247312,28.819975,4.789911,34.013058
200000,38.204725,75.587015,195.765458,0.762939,0.762939,27.561221,23.867137,37.025775,28.195390,23.865131,36.512927,2.601306,41.988888
300000,41.663334,95.569723,244.441000,0.572205,0.572205,52.898777,37.791294,55.222240,55.756258,37.049775,56.149737,5.151723,50.632177
400000,54.135347,94.269584,267.917542,0.762939,0.762939,63.575823,53.260204,67.188348,62.214998,49.446312,67.277992,2.812031,55.782292
600000,66.018311,119.550995,273.264479,0.572205,0.572205,85.803331,60.269135,80.544731,78.419963,55.741265,79.306356,5.808597,70.555625
800000,77.434115,120.130782,273.143281,0.762939,0.762939,87.113817,68.161563,90.359952,85.363879,67.031315,90.756240,3.063423,86.021007
1200000,80.735070,152.043333,260.028924,0.572205,0.572205,87.909735,62.364123,88.818127,89.407904,64.073533,92.479283,6.254655,88.671909
2200000,87.855833,177.419290,259.881089,0.524521,0.524521,92.439927,64.643467,92.887825,92.781775,65.289448,91.753648,7.205703,95.913358
3100000,105.009301,171.699039,298.299046,0.739098,0.739098,100.219746,75.847140,103.201227,100.339598,76.404719,101.482473,4.310388,106.284552
6000000,107.339115,190.258750,295.845278,0.715256,0.715256,102.860108,76.752948,103.690681,104.563388,81.099798,103.257306,5.004562,110.171982
10000000,98.977092,208.751275,280.031950,0.596046,0.596046,100.876902,72.004136,100.853312,100.801971,71.088071,100.663485,6.726225,104.705336
