element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,4.125000,17.791667,11.304042,0.500000,0.500000,2.462808,1.482575,1.596173,2.459642,1.481606,1.600673,2.004054,4.343750
110,6.250000,16.162121,19.310417,0.859375,0.859375,1.795671,1.690160,1.791785,1.798085,1.687419,1.788110,1.095180,3.912121
240,7.523611,16.261806,10.564334,0.937500,0.937500,1.857398,1.822304,1.868254,1.900692,1.882935,1.871535,0.925168,14.005556
500,3.750333,17.944667,11.028666,0.488281,0.488281,1.900015,1.288596,1.322677,1.824092,1.284288,1.324829,1.779100,2.916667
800,5.130000,13.914792,17.617875,0.781250,0.781250,1.643329,1.419273,1.471269,1.622937,1.418265,1.470083,1.112863,3.489583
1024,3.546875,16.601725,11.252250,0.500000,0.500000,2.221710,1.194425,1.277242,2.162700,1.210694,1.285198,1.779675,2.793945
1500,5.101889,14.134111,16.591500,0.732422,0.732422,1.998727,1.378794,1.417829,1.874704,1.438921,1.417450,1.231120,3.555333
2048,3.563802,17.276286,11.412083,0.500000,0.500000,2.757833,1.191642,1.509342,2.691175,1.243123,1.299065,1.936992,4.218099
3000,5.402778,17.557833,16.954333,0.732422,0.732422,2.229629,1.366371,1.594227,2.111638,1.407740,1.543546,1.239196,3.500000
6000,5.681722,17.780111,18.393083,0.732422,0.732422,2.705825,1.523340,1.731213,2.506050,1.537213,1.547640,1.258386,4.120333
8192,4.870097,30.346334,12.868833,0.500000,0.500000,3.436804,1.527085,1.708583,3.388010,1.547835,1.785333,1.933367,4.791260
12000,7.320611,28.981486,19.720000,0.732422,0.732422,3.157125,1.901160,1.944079,3.304650,1.760496,2.377371,1.295231,8.419000
16384,5.809357,37.704468,13.480875,0.500000,0.500000,3.846902,1.781919,1.941348,3.826837,1.834460,1.908625,1.977981,6.905457
25000,9.995280,30.675280,22.027875,0.762939,0.762939,3.788583,6.113406,5.838044,3.804067,5.620629,5.781381,1.265804,12.659987
32768,7.002940,40.628001,13.748208,0.500000,0.500000,4.236098,4.487483,4.202090,4.193975,4.133044,4.233267,2.317192,8.174052
45000,9.612500,33.833485,19.493750,0.686646,0.686646,4.554279,7.369225,7.008579,4.502615,6.855939,7.103450,1.569802,12.035489
60000,15.618286,34.768292,13.964417,0.915527,0.915527,4.848985,6.333044,8.257031,4.766748,6.305585,8.186131,1.125143,17.745833
100000,13.431250,36.747360,23.194541,0.762939,0.762939,5.245883,7.571825,10.177367,5.242637,7.573969,10.155650,1.788740,14.732357
150000,10.076113,42.185371,16.502292,0.572205,0.572205,5.155042,7.361027,10.399110,5.158552,8.372994,10.705252,4.724283,12.299447
200000,13.686458,37.089307,23.710000,0.762939,0.762939,5.814677,9.129283,12.110892,5.845096,9.142152,11.689696,2.548027,14.946667
300000,10.517268,41.449490,17.231375,0.572205,0.572205,5.524506,8.132123,11.079625,5.522602,8.090842,11.112154,4.964289,10.595556
400000,14.171493,36.988438,25.448750,0.762939,0.762939,6.550431,9.895758,13.060308,6.603933,9.871033,13.241129,2.893350,14.796492
600000,11.898635,43.332407,22.966667,0.572205,0.572205,5.757915,8.425121,13.751010,7.046971,10.080863,14.796535,5.679257,15.544722
800000,17.094705,43.753490,39.597318,0.762939,0.762939,7.950427,11.760940,16.354477,7.929285,11.832771,16.554150,3.052992,18.560677
1200000,20.077014,50.196788,34.999254,0.572205,0.572205,11.494967,13.689142,18.967071,11.276279,13.513671,18.749398,5.499737,22.966158
2200000,22.242083,62.125824,35.836089,0.524521,0.524521,12.570427,15.126148,19.269529,12.445219,13.986265,19.469683,6.456311,24.799003
3100000,30.497339,58.578111,60.516223,0.739098,0.739098,15.096783,17.224571,22.859787,14.792646,17.076106,22.881442,3.546365,32.682007
6000000,31.638903,68.031132,60.598392,0.715256,0.715256,15.320752,17.642577,23.608160,15.427954,17.672167,23.826485,3.845280,33.858692
10000000,26.609031,79.529971,43.014446,0.596046,0.596046,13.836146,15.878742,20.723983,13.743612,15.601685,20.999692,5.080248,28.628288
