element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,17.354167,40.802083,39.781500,0.500000,0.500000,11.962988,7.006979,7.895673,11.969458,7.126177,8.299708,1.874931,26.916667
110,24.810606,43.875758,52.353875,0.859375,0.859375,12.158160,8.673927,9.483433,12.294350,8.715548,9.476444,1.020166,46.339394
240,29.079861,48.581944,43.249000,0.937500,0.937500,12.983494,8.370508,9.063788,12.692394,8.350660,9.050360,0.976336,30.034722
500,24.625000,61.999667,45.667625,0.488281,0.488281,12.331435,6.764231,8.163785,12.395200,6.749985,8.183996,1.865325,24.111333
800,29.939167,52.196250,61.514416,0.781250,0.781250,16.757554,11.329810,12.558973,19.011294,11.580415,12.571052,1.208825,43.784583
1024,25.885579,62.947754,48.170209,0.500000,0.500000,16.722031,9.371340,12.348454,21.637629,11.353419,11.644733,1.893919,56.111654
1500,29.643556,56.819444,59.850958,0.732422,0.732422,18.783402,10.743569,12.418473,19.617423,10.768173,12.325658,1.243061,33.990667
2048,26.380941,69.152751,53.864083,0.500000,0.500000,18.006760,10.135827,12.787604,18.245206,10.027515,11.833596,1.922143,30.870280
3000,32.990722,65.981389,77.002959,0.732422,0.732422,20.521396,11.968523,13.156044,20.517306,11.429204,13.051269,1.275336,32.277778
6000,33.729167,84.560167,130.361250,0.732422,0.732422,21.141083,13.939308,14.563300,23.463985,13.458419,15.219246,1.301640,105.470000
8192,30.641357,96.605082,76.694667,0.500000,0.500000,19.951315,14.062306,13.898763,21.092510,14.591681,14.930323,1.987036,32.836955
12000,35.467611,81.892361,105.958875,0.732422,0.732422,22.329056,20.631508,15.677902,22.236460,20.185175,20.585646,1.338478,36.956000
16384,30.513763,93.126088,173.558375,0.500000,0.500000,20.904281,17.503992,17.171523,20.666229,17.365413,17.203867,2.043709,31.749288
25000,37.722507,78.602787,228.477875,0.762939,0.762939,24.860756,21.928612,23.786815,24.767500,21.544162,23.857131,1.325308,42.081093
32768,29.957458,90.945343,160.698458,0.500000,0.500000,22.035146,18.144317,27.332952,22.060408,18.017181,28.054354,3.493174,37.397166
45000,37.485344,81.325148,228.297208,0.686646,0.686646,24.743523,22.735548,31.684406,24.860356,22.940077,32.442246,2.019865,47.312341
60000,46.616669,80.086803,249.118125,0.915527,0.915527,29.031571,27.866235,35.914717,28.975129,25.618244,37.302098,1.155670,50.996294
100000,47.355830,94.978330,208.431583,0.762939,0.762939,36.443023,29.014948,46.287662,40.178387,28.015883,45.397644,2.316325,53.160553
150000,47.994351,105.560000,210.534500,0.572205,0.572205,59.716158,36.560931,70.526877,61.883915,34.974631,64.455123,4.959341,51.676942
200000,61.344030,108.991597,238.043375,0.762939,0.762939,80.874929,63.150621,77.093298,74.852329,54.385740,86.585050,2.814306,62.366945
300000,65.764676,137.364860,251.434667,0.572205,0.572205,97.868258,64.675854,93.927271,97.447077,61.668771,96.655394,5.464963,72.264583
400000,77.255487,133.610903,279.306667,0.762939,0.762939,103.369550,70.596840,98.806508,103.789200,70.381965,100.808075,3.089685,81.538335
600000,79.596251,168.733379,267.925868,0.572205,0.572205,115.809712,72.680615,109.680698,113.070248,77.886790,107.484360,6.777710,92.180394
800000,108.975938,171.852101,314.252136,0.762939,0.762939,120.400252,84.606877,117.416950,129.332081,92.952775,122.621477,4.474465,118.300330
1200000,109.202188,327.750278,341.550277,0.572205,0.572205,124.954281,85.095842,122.836173,121.922006,81.169479,115.573925,7.417753,117.592130
2200000,109.054385,233.631960,306.408419,0.524521,0.524521,120.157215,82.038479,113.232865,118.933746,79.877437,115.286575,8.006902,108.511894
3100000,117.222896,204.819388,347.399113,0.739098,0.739098,132.216746,90.157488,122.314000,125.335800,89.220962,122.147915,4.836317,119.447679
6000000,123.593712,225.426063,349.874517,0.715256,0.715256,127.445398,91.132337,124.653079,126.576098,90.389979,129.422829,4.938835,119.307975
10000000,109.830838,246.684123,366.994556,0.596046,0.596046,127.845700,87.152821,123.243737,127.066121,84.017021,125.310896,6.767808,119.232174
