element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,9.546875,30.166667,23.812750,0.500000,0.500000,7.470683,3.800831,5.639175,7.543544,3.867635,5.728383,1.891263,68.572917
110,12.627273,24.812121,32.807791,0.859375,0.859375,7.966356,4.426677,6.536129,7.756429,4.381737,6.231860,1.081893,27.648485
240,11.950000,29.079861,23.484541,0.937500,0.937500,7.427927,4.784371,6.364904,7.527948,5.046250,6.514862,1.058331,29.513889
500,10.750333,40.305333,24.939666,0.488281,0.488281,7.481079,3.935229,6.093588,7.174883,3.897440,6.262969,1.945933,27.306000
800,11.457917,31.206458,32.407166,0.781250,0.781250,7.330992,4.250025,6.004696,7.181190,4.265623,6.110929,1.133673,19.010417
1024,9.039876,35.637695,24.244834,0.500000,0.500000,6.916160,3.793808,6.047296,7.266350,3.852571,6.034129,2.048219,21.810221
1500,11.731556,33.921222,30.875041,0.732422,0.732422,7.257585,4.178219,6.289440,7.305585,4.212023,6.071994,1.283678,17.314667
2048,9.473958,39.038737,26.929041,0.500000,0.500000,7.914187,3.888327,6.161519,7.857521,4.278929,6.163248,1.994417,10.579427
3000,13.173611,38.680500,33.231958,0.732422,0.732422,8.043596,4.468244,6.399712,8.223788,4.696394,6.524023,1.272772,20.449000
6000,13.349528,44.384278,34.267667,0.732422,0.732422,9.200877,4.614892,6.682760,8.590529,4.621396,6.655202,1.290963,19.460611
8192,11.310120,56.899170,27.517875,0.500000,0.500000,8.737040,4.478367,6.776115,9.963369,4.387179,6.817419,1.989143,19.132812
12000,16.450806,50.908556,35.944875,0.732422,0.732422,10.743681,5.139746,7.391125,13.144438,5.141854,8.481917,1.313546,23.910889
16384,13.886770,63.145111,28.130291,0.500000,0.500000,11.294348,4.737471,8.532342,11.724037,4.692096,8.078015,2.055577,18.996338
25000,21.086393,52.197780,40.061916,0.762939,0.762939,14.065531,9.310273,20.473910,16.627965,9.959875,20.268815,1.301896,23.599427
32768,15.684982,66.708252,28.862541,0.500000,0.500000,15.822987,11.076342,18.168494,15.282575,11.401269,17.614508,3.582671,19.245575
45000,19.703393,57.360337,36.143042,0.686646,0.686646,17.645042,14.295952,21.040742,17.579944,14.151281,22.073456,2.078997,24.613889
60000,26.299772,54.893983,30.010334,0.915527,0.915527,20.744198,16.864985,25.804808,20.294590,15.179971,23.855679,1.155930,29.327783
100000,24.578613,58.943750,48.359542,0.762939,0.762939,21.773356,16.972738,25.834087,20.885100,18.601198,28.654129,2.166288,27.744307
150000,19.484260,74.269909,39.162167,0.572205,0.572205,22.507787,16.588098,28.119806,21.051573,17.169669,29.969594,5.529880,23.103427
200000,24.996527,65.629513,43.783417,0.762939,0.762939,21.699567,19.207300,31.945663,23.831733,20.934921,28.987981,2.671356,26.360765
300000,20.199538,69.369584,48.594833,0.572205,0.572205,22.505708,17.214046,36.553815,30.993358,20.126990,28.375329,5.751582,25.131112
400000,24.880521,62.722362,63.713291,0.762939,0.762939,23.588335,20.844179,40.139288,33.101579,22.346533,36.671196,3.238696,26.400521
600000,28.226089,84.263264,80.645070,0.572205,0.572205,38.376156,30.432281,42.377850,37.022454,25.098696,38.914590,5.772408,33.958056
800000,33.679323,75.896337,80.740313,0.762939,0.762939,41.010402,33.918010,48.225683,40.778558,30.549785,45.072761,3.544958,39.046962
1200000,39.054774,82.821893,76.986215,0.572205,0.572205,45.029973,29.884508,48.027781,43.240846,29.364221,48.307010,6.507469,39.536783
2200000,40.034678,103.148305,82.389545,0.524521,0.524521,50.587888,33.358700,52.926231,47.001229,30.229373,50.966867,7.774907,42.667083
3100000,47.996431,89.401156,111.283212,0.739098,0.739098,50.169327,37.896875,55.627958,52.074079,36.993102,56.742723,4.724506,52.869785
6000000,52.590382,110.972667,107.883809,0.715256,0.715256,54.806356,39.324727,59.029115,53.521869,36.455150,60.312898,5.287503,53.887014
10000000,45.310667,113.245852,93.464481,0.596046,0.596046,52.892027,36.129671,57.482061,52.710279,35.480781,57.416535,6.942823,48.635787
