element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,4.984375,19.958333,5.293916,0.500000,0.500000,1.110235,1.248642,1.167910,1.104002,1.404017,1.170840,1.229744,4.770833
110,4.419697,16.983333,5.113792,0.429688,0.859375,1.134377,1.292821,1.276021,1.859031,1.983996,1.818062,1.329100,27.906061
240,3.588889,14.379861,6.357292,0.468750,0.468750,1.120354,1.279740,1.290069,1.115036,1.381419,1.327394,1.383408,3.066667
500,3.861667,11.250000,7.346625,0.488281,0.488281,1.132671,1.287965,1.398596,1.178785,1.446588,1.485419,1.406040,3.388667
800,3.724167,13.611250,8.409292,0.390625,0.390625,0.987752,1.193869,1.261073,0.918181,1.113975,1.300544,1.623177,13.299167
1024,3.675618,10.565592,5.653334,0.500000,0.500000,1.134219,1.371183,1.488585,1.140531,1.423971,1.630894,1.206543,3.282552
1500,3.745444,14.088000,8.062167,0.366211,0.732422,1.024290,1.148360,1.563781,1.884223,2.010879,1.926569,1.631956,29.620222
2048,4.404622,12.108805,6.093667,0.500000,0.500000,1.218435,1.352594,1.533902,1.210381,1.474660,1.572344,1.287359,3.377279
3000,3.731444,37.071722,9.254375,0.366211,0.732422,1.341798,1.419490,1.500969,1.948765,2.060667,1.942727,1.678895,15.527778
6000,4.167833,24.731528,10.072792,0.366211,0.366211,1.325398,1.375019,1.363646,1.255119,1.607519,1.441535,1.735143,19.277778
8192,5.183736,19.215047,7.206792,0.500000,0.500000,1.305944,1.542333,1.838883,1.493835,1.531142,1.697369,1.456783,5.125285
12000,5.307306,33.821778,9.854750,0.366211,0.732422,1.288442,1.615842,1.537875,2.362623,2.415148,3.865494,1.808876,19.644639
16384,5.173594,19.446910,7.754583,0.500000,0.500000,1.510125,1.618225,3.779048,1.374823,1.620415,3.251773,1.642946,7.422567
25000,4.838893,30.163887,10.668792,0.381470,0.762939,1.357192,1.827323,4.131527,6.367444,5.063754,5.516052,2.923254,19.125000
32768,5.830551,23.819606,7.501833,0.500000,0.500000,2.631190,1.659931,7.774708,2.470402,1.667181,7.848458,2.867266,9.232412
45000,5.009259,30.144911,9.686791,0.343323,0.686646,1.466171,3.615650,6.231442,8.123085,6.084313,10.795929,4.253585,23.244141
60000,6.296181,26.851042,14.582292,0.457764,0.457764,3.465306,4.509129,8.970367,3.208683,4.455144,10.087971,4.014390,11.797461
100000,6.805973,37.358333,11.844167,0.381470,0.762939,3.424669,4.690881,9.765785,12.656185,11.750679,16.082415,4.867544,23.079443
150000,6.245740,42.310647,10.172625,0.286102,0.572205,3.095338,4.247865,9.305094,8.142671,9.546292,13.683287,5.363773,25.824816
200000,6.926042,31.497430,12.084708,0.381470,0.381470,4.505294,6.110046,10.351092,4.645544,6.531306,11.115760,5.286521,31.266875
300000,10.427871,41.102547,15.345792,0.286102,0.572205,4.419444,6.120383,10.807431,8.611998,11.229619,15.411133,5.827150,32.413054
400000,14.223264,37.780277,18.830042,0.381470,0.381470,5.839806,8.219337,12.235579,5.490954,8.497792,13.376742,5.680550,34.070728
600000,14.320047,44.473819,23.641702,0.286102,0.572205,7.586006,10.365177,14.811571,10.265431,14.515612,19.345212,5.915582,35.287014
800000,16.093698,39.027605,27.263906,0.381470,0.381470,9.118329,12.220887,16.475023,9.332592,12.594335,16.700185,5.650040,43.306007
1200000,16.937240,48.236406,27.909010,0.286102,0.572205,9.412015,11.987137,15.253994,14.143171,17.575475,30.141385,6.067594,37.224097
2200000,17.281042,52.874943,28.355606,0.262260,0.524521,9.550887,12.074813,15.410227,13.829775,17.610675,28.805631,6.169547,38.231383
3100000,18.731734,44.221841,32.014194,0.369549,0.369549,10.890760,14.079275,17.332317,10.919398,13.987119,17.297331,5.761605,42.619969
6000000,18.827872,46.304222,31.937986,0.357628,0.715256,10.926065,13.987231,17.259394,27.377660,31.189585,88.575921,5.835752,37.165410
10000000,18.811512,51.905071,30.171731,0.298023,0.596046,10.305912,13.197537,15.501525,16.634096,19.875965,42.362829,6.032783,36.016688
