element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,19.526042,39.921875,25.712500,0.500000,0.500000,8.568990,5.565767,6.152456,8.209248,5.438504,6.186154,1.240506,23.437500
110,18.371212,43.431818,25.604833,0.429688,0.429688,8.743327,5.540188,6.513031,8.747458,5.612063,6.500387,1.230165,48.612121
240,18.488194,37.818056,24.766834,0.468750,0.468750,10.296608,5.818444,6.481385,10.242975,5.782981,6.464238,1.206611,19.269444
500,18.277667,35.597333,29.642791,0.488281,0.488281,11.300000,6.194658,6.842352,11.401288,6.128773,6.784412,1.114235,25.444667
800,18.246250,41.701250,36.616417,0.390625,0.781250,11.154908,6.874440,6.579071,11.851021,8.752873,8.765427,1.509256,39.496250
1024,19.422689,39.584473,33.622416,0.500000,0.500000,14.432767,7.972229,7.415004,14.177327,7.704631,7.413196,1.117751,21.389323
1500,17.773111,45.231444,37.411417,0.366211,0.732422,13.236829,9.321600,8.453500,16.301308,11.340019,10.733373,1.625219,40.379778
2048,20.595866,40.720622,35.158000,0.500000,0.500000,16.371073,9.761846,9.040275,16.293546,9.681567,8.993848,1.211349,22.555827
3000,18.699056,53.053278,38.448709,0.366211,0.366211,14.729513,10.507492,11.484090,14.757646,10.597473,11.409233,1.576477,51.296333
6000,19.458333,53.861083,74.196083,0.366211,0.732422,14.724890,11.863275,16.812013,25.496398,16.704448,19.849867,1.623238,50.712889
8192,22.137085,44.883728,72.356792,0.500000,0.500000,19.238217,13.908042,23.956123,19.277885,13.884115,23.779502,1.296066,23.540934
12000,19.433458,55.538778,140.181792,0.366211,0.366211,15.397004,12.621363,21.425152,15.437144,12.535342,18.152406,1.814177,64.249972
16384,22.482564,49.436381,120.093709,0.500000,0.500000,19.811892,15.435177,26.085319,19.825794,15.427158,26.909204,1.591667,24.274170
25000,20.246667,52.536387,149.148834,0.381470,0.381470,16.561756,14.151760,22.333917,16.603935,14.109867,23.557962,3.537077,50.838333
32768,23.010890,48.941930,163.087667,0.500000,0.500000,21.570425,17.527942,29.476952,21.599725,17.380440,29.720579,2.815721,30.719330
45000,20.174689,59.718515,180.182542,0.343323,0.686646,16.296017,13.909635,23.466571,33.654496,24.124173,37.158425,4.283171,49.041667
60000,22.429394,53.628475,110.766250,0.457764,0.457764,20.184075,17.935621,29.272983,20.181396,17.739665,29.569002,4.093548,26.421300
100000,26.745000,60.258333,188.080042,0.381470,0.381470,21.166115,18.269565,29.102723,18.233288,15.672208,26.338765,4.389910,67.043470
150000,32.380556,77.446944,283.367208,0.286102,0.572205,24.257856,16.926450,28.949156,28.869779,24.309733,38.172246,4.984287,73.013333
200000,35.770762,70.869928,189.864000,0.381470,0.381470,33.456990,25.935360,40.140946,37.515656,31.536760,44.271871,4.832331,103.409998
300000,51.336852,102.789073,230.598167,0.286102,0.572205,46.860131,40.636425,56.741337,58.581008,51.548729,80.462037,5.333601,113.721946
400000,64.223506,102.968021,235.611291,0.381470,0.381470,53.224062,49.456006,73.939577,64.770883,51.275990,73.334361,5.443702,128.186041
600000,68.990254,135.194375,243.586250,0.286102,0.572205,65.469940,50.969908,71.982200,86.302106,72.164046,114.860744,5.915488,128.610741
800000,77.448559,130.414097,262.266433,0.381470,0.381470,81.584004,57.860004,83.633863,81.041140,58.068475,84.016275,5.605802,168.833941
1200000,79.747309,163.616927,255.696736,0.286102,0.572205,80.754362,55.020602,79.597565,102.248467,78.484400,121.524090,5.758536,143.883785
2200000,77.327121,180.550578,236.120227,0.262260,0.524521,76.667221,51.868027,76.331217,92.639560,70.611487,102.988487,5.671962,137.359110
3100000,78.726673,146.010181,246.659066,0.369549,0.739098,83.132875,57.606419,84.772925,130.055438,113.420019,205.565460,5.306177,145.004458
6000000,82.248035,159.565174,251.811615,0.357628,0.715256,85.610171,58.227337,84.140633,130.149833,104.694344,203.323813,5.336372,144.110347
10000000,83.777625,183.317683,256.136306,0.298023,0.596046,84.076704,57.541906,81.751875,110.358573,81.840035,142.632619,5.543019,148.542775
