element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,8.895833,29.072917,20.384042,0.500000,0.500000,8.558810,3.557352,5.961444,8.625942,3.553415,6.002881,1.192725,31.250000
110,9.469697,27.148485,20.482000,0.429688,0.859375,7.988942,3.179579,5.342615,9.036725,5.769889,6.382017,1.318979,47.224242
240,9.259028,24.565972,19.562042,0.468750,0.468750,7.513440,3.337654,5.623310,7.590940,3.300100,5.608938,1.164411,9.433333
500,8.833333,21.541667,21.573792,0.488281,0.488281,7.733136,3.326904,5.605458,7.607294,3.360019,5.634154,1.217125,10.333333
800,8.654375,28.992917,24.240833,0.390625,0.781250,7.597371,3.101021,5.722602,8.300038,4.478731,6.243102,1.509006,29.339583
1024,9.399414,22.481283,21.270458,0.500000,0.500000,8.043804,3.482075,6.324523,8.499410,3.791258,6.523542,1.315014,14.960612
1500,8.611000,31.282222,27.765333,0.366211,0.366211,9.290777,5.413531,6.483467,8.786896,3.619198,6.359002,1.604311,62.009111
2048,9.585938,25.505859,22.451042,0.500000,0.500000,9.156292,4.305173,6.606852,8.953792,4.075058,6.709969,1.266008,15.028320
3000,8.613333,40.104222,26.536084,0.366211,0.732422,9.438888,3.906225,6.748196,9.833887,5.236112,7.279015,1.608992,39.277667
6000,9.349528,43.604194,27.259834,0.366211,0.366211,9.952067,4.035711,6.996962,9.948483,4.032487,6.974708,1.611001,47.423611
8192,10.680257,37.957926,24.032667,0.500000,0.500000,10.865106,4.787096,10.104973,10.765031,4.303508,7.200185,1.306732,20.058553
12000,11.453694,51.693292,27.650541,0.366211,0.732422,11.043104,6.121585,8.107971,24.643273,12.958408,13.438140,1.727171,47.679389
16384,13.212850,41.791707,24.698458,0.500000,0.500000,12.715583,8.578508,19.506238,18.574294,7.908829,19.063319,1.520170,19.306600
25000,13.560840,51.313053,29.167375,0.381470,0.381470,17.155637,7.715487,19.834019,15.674381,8.184617,18.598792,3.386887,63.433893
32768,15.392303,44.273366,26.239917,0.500000,0.500000,21.485871,10.239577,23.872177,20.755644,11.044083,20.056244,3.015224,22.320221
45000,14.229167,60.426844,29.231083,0.343323,0.343323,19.833250,7.508229,22.940721,22.628702,8.584675,23.009371,3.984557,69.020985
60000,16.953242,50.479394,34.179250,0.457764,0.457764,23.229631,12.225917,26.005465,22.708840,13.013875,25.388571,4.000852,22.851383
100000,15.604307,52.169863,34.763417,0.381470,0.381470,22.535602,13.227719,24.981344,24.715102,11.871294,24.489673,4.701431,50.638333
150000,16.950371,68.895833,45.971708,0.286102,0.572205,23.213858,11.718962,24.892550,27.779312,19.121006,30.135254,5.470220,48.068611
200000,19.329443,56.352708,58.679708,0.381470,0.762939,25.948529,15.993990,28.591321,37.195533,26.516233,34.209973,5.020958,50.620555
300000,23.450557,78.431713,68.009167,0.286102,0.572205,37.493425,18.927717,37.191371,32.508988,23.204238,35.936821,5.768966,68.390788
400000,25.825001,70.968507,80.928750,0.381470,0.381470,42.198181,24.064636,44.709579,39.510958,23.471112,42.914140,5.450848,83.756563
600000,29.487963,84.406435,80.348646,0.286102,0.572205,49.008810,25.175319,49.722242,49.049029,33.950637,52.736023,5.811808,72.224051
800000,30.786857,77.242014,93.851484,0.381470,0.381470,52.202158,29.124431,55.208181,53.352085,29.613854,54.044038,5.150375,89.670816
1200000,30.657065,92.245087,98.642188,0.286102,0.572205,53.093290,28.152977,55.162473,59.501385,38.638692,69.163871,6.162018,74.599283
2200000,31.978286,97.704101,99.814697,0.262260,0.524521,56.201835,28.380665,57.547912,62.875129,38.765735,63.602790,6.032199,76.507146
3100000,34.450679,86.372009,94.832009,0.369549,0.369549,63.471406,33.323848,62.696050,62.229781,32.943773,62.786790,5.907162,93.050573
6000000,39.158715,94.147937,96.249163,0.357628,0.357628,67.031952,35.300142,66.480044,70.188469,35.522523,63.465542,5.915458,104.598725
10000000,37.867112,106.899123,93.419498,0.298023,0.596046,62.279471,31.015590,62.688758,76.008985,46.255158,78.494473,5.832863,94.126642
