element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,10.416667,20.187500,16.014125,1.000000,1.000000,1.948438,1.590975,1.809075,1.903956,1.549556,1.774490,1.449450,9.114583
110,12.500000,20.962121,20.666208,0.973451,0.973451,1.884810,2.230262,2.116475,1.859490,2.227633,2.099662,1.733886,12.124242
240,10.763194,19.356944,22.483167,0.995851,0.995851,2.023006,2.512254,2.255719,2.017823,2.475463,2.253906,1.787377,11.344444
500,11.264000,18.805333,22.661083,0.994036,0.994036,2.109787,2.307167,2.161523,2.055217,2.098208,2.167056,1.826092,11.722667
800,13.515833,22.743125,23.519916,0.988875,0.988875,1.969100,2.159631,2.094613,1.973444,2.155056,2.094308,1.838733,13.576250
1024,11.996745,18.405762,16.382541,1.000000,1.000000,1.947523,1.849865,2.080313,1.954321,1.886333,2.101483,1.834102,12.139323
1500,12.731667,17.657333,24.877375,0.992720,0.992720,1.990150,2.134783,2.239031,1.991067,2.148523,2.157775,1.843597,12.796444
2048,12.851400,20.992676,18.112916,1.000000,1.000000,1.926542,1.934342,2.232740,1.923100,1.932835,2.172867,1.846504,12.946126
3000,14.131944,20.002333,32.177084,0.999667,0.999667,2.046227,2.537494,2.412481,2.098790,2.617390,2.409927,1.855295,13.861111
6000,15.645806,22.082167,41.134292,0.998835,0.998835,3.058185,3.703858,3.329862,3.015771,3.736865,3.160800,2.742066,16.574111
8192,15.072266,27.201335,25.822375,1.000000,1.000000,3.009044,3.176123,2.929463,3.013896,3.009871,2.925102,3.204015,14.761963
12000,17.164361,24.471653,49.045208,0.999417,0.999417,4.208640,4.428631,3.781485,3.747990,4.556000,3.869265,3.326445,17.403944
16384,16.269246,30.350169,37.478292,1.000000,1.000000,5.080192,3.335431,3.217567,3.559588,3.262331,3.274996,3.388378,16.465068
25000,18.453053,27.206660,83.967416,0.999480,0.999480,5.994369,8.941100,11.625719,5.131515,9.053129,9.577856,3.488237,19.197773
32768,16.536926,31.787242,57.413291,1.000000,1.000000,6.205146,3.545744,9.377181,4.974510,5.117985,9.344917,3.572238,16.816467
45000,18.891511,30.787811,113.174500,0.999844,0.999844,7.088185,12.047856,13.175231,8.663879,9.858367,13.157708,3.627682,19.290741
60000,19.980208,35.113425,106.226250,0.999783,0.999783,7.458921,11.947408,14.226312,8.698137,9.795075,13.872842,3.678747,19.868050
100000,19.698750,32.433613,166.614250,0.999970,0.999970,8.759158,13.185919,15.892204,9.380304,12.525365,16.100358,3.782883,19.892083
150000,20.708424,34.636756,279.912167,0.999993,0.999993,9.540115,13.025183,16.876856,9.475190,13.635756,16.765948,4.000837,20.357407
200000,20.955347,35.075695,328.396667,0.999985,0.999985,9.946390,13.766413,17.137350,9.943271,13.807746,17.205031,4.168448,20.820765
300000,21.507314,36.602917,516.190833,0.999977,0.999977,10.415985,14.509435,17.727096,10.270127,14.447148,17.742750,4.373677,21.661621
400000,22.700208,36.276667,160.657000,0.999978,0.999978,10.925621,15.899802,18.290752,10.655765,14.943587,18.632912,4.464394,23.785208
600000,25.088148,44.090625,148.756354,0.999982,0.999982,15.324483,19.549842,25.753531,15.143033,19.997115,25.294015,4.723813,26.336134
800000,31.793906,46.449670,158.387683,0.999986,0.999986,20.247102,25.654752,32.435775,19.726733,25.562904,32.016237,5.636885,30.988907
1200000,39.664045,78.728177,158.337934,0.999994,0.999994,25.328106,33.045490,40.115727,24.524023,34.483931,40.658271,8.563864,40.668183
2200000,53.534953,119.141979,188.129053,0.999994,0.999994,30.297452,41.754852,51.287542,30.398267,42.101929,51.099865,12.941059,54.412525
3100000,60.666049,111.691250,188.827440,0.999998,0.999998,32.079515,44.480262,54.953812,32.090590,44.601810,54.727979,14.969493,60.648508
6000000,69.246052,140.974254,201.875882,0.999998,0.999998,33.636588,49.179671,59.780704,34.328592,48.847704,58.627360,16.812467,70.577213
10000000,72.976840,167.602702,228.581038,0.999998,0.999998,34.460410,49.432021,59.582150,34.337142,50.911702,61.941146,17.734494,73.985207
