element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,20.395833,35.380208,26.769667,0.500000,0.500000,7.523815,5.801931,7.110369,7.584473,5.979440,7.315092,2.050362,29.072917
110,18.812121,40.466667,33.452250,0.429688,0.859375,8.567521,5.290002,6.064492,10.913781,9.107148,9.337304,2.405237,35.354545
240,19.184028,33.275694,35.840000,0.468750,0.468750,10.348740,5.682046,6.443177,10.186835,5.646323,6.445852,2.389693,19.906944
500,19.208333,32.472000,37.552084,0.488281,0.488281,11.045800,6.078846,6.709908,11.074031,5.686096,6.415152,1.335552,22.916667
800,19.947708,42.126875,38.326166,0.390625,0.781250,11.267823,6.235796,6.424373,12.861250,9.567263,9.698877,2.594840,35.972500
1024,22.881510,36.960449,37.047208,0.500000,0.500000,14.634523,7.619438,9.372329,13.629967,7.040773,7.744910,1.346577,24.631510
1500,19.796000,40.935222,38.944541,0.366211,0.732422,13.040535,8.407642,7.706681,16.235096,11.865135,10.613817,2.575473,35.611111
2048,22.013265,35.851481,35.807417,0.500000,0.500000,16.000196,9.142152,8.868488,15.951715,8.947717,8.944879,2.349716,22.922038
3000,20.460667,45.627278,40.312750,0.366211,0.732422,14.217744,9.814750,8.752779,24.060723,15.490602,12.907596,2.547460,37.861111
6000,20.131944,45.429389,74.827958,0.366211,0.732422,14.387960,11.190619,13.188292,25.524894,19.145083,22.654563,2.546782,40.872611
8192,22.900024,41.093608,72.753875,0.500000,0.500000,18.334371,13.195833,14.406033,18.324704,12.811990,16.277121,1.418107,27.721842
12000,21.579278,49.368639,141.562250,0.366211,0.732422,15.123446,11.888681,18.152981,30.079515,24.555419,27.579360,2.694994,44.224528
16384,23.607869,44.756561,117.622417,0.500000,0.500000,19.504662,15.674673,24.412173,19.266048,15.526656,22.471090,1.806800,25.227885
25000,21.556947,54.621387,148.111958,0.381470,0.762939,16.007494,13.629133,21.144919,35.286685,26.631369,33.500246,4.756123,47.245560
32768,24.569616,49.206833,161.826125,0.500000,0.500000,20.648552,17.648221,27.094750,21.047731,17.609925,27.097779,4.533738,28.001149
45000,21.446915,57.131026,182.854958,0.343323,0.686646,16.116004,13.421877,21.811031,34.205229,25.323054,34.714671,5.597566,49.273459
60000,24.309261,51.645944,109.647750,0.457764,0.457764,19.643808,17.593825,28.244819,19.624396,17.478617,28.428144,5.766735,28.119211
100000,26.451803,57.537917,203.507208,0.381470,0.762939,18.678779,16.233396,25.693196,41.045440,31.067831,39.360498,6.553146,53.350693
150000,34.375093,76.026389,292.633500,0.286102,0.572205,24.756942,18.241515,30.068298,28.701358,24.189767,37.940833,7.422658,70.755462
200000,37.653335,71.723610,191.494083,0.381470,0.762939,34.555519,28.198225,41.978744,53.211048,41.473281,58.859944,6.956808,79.209513
300000,53.742360,94.694630,231.951125,0.286102,0.572205,49.099381,39.071321,58.567854,62.122596,50.613885,75.848556,7.830933,98.325510
400000,69.128264,92.090069,260.445417,0.381470,0.762939,58.377738,45.643206,65.083550,98.451833,96.916910,129.092906,7.178146,97.033611
600000,69.057801,108.802454,241.737777,0.286102,0.572205,62.329292,46.172415,66.166946,71.646890,65.955117,104.869758,7.953875,103.944514
800000,73.473854,105.385972,246.442031,0.381470,0.762939,73.372846,53.349302,77.090767,141.524188,117.964090,178.356158,7.348315,109.146910
1200000,79.907674,123.795573,240.517431,0.286102,0.572205,74.446396,50.741521,74.053950,92.692390,73.633379,118.470623,8.213887,111.515776
2200000,78.897992,140.912936,240.924403,0.262260,0.524521,76.285540,51.570104,75.495617,94.285787,71.932075,105.404694,8.149108,118.196421
3100000,81.610860,122.533871,246.001895,0.369549,0.739098,82.745481,55.948467,82.735046,150.352715,123.174844,208.086165,7.656930,115.913118
6000000,88.037194,136.001142,256.427972,0.357628,0.715256,84.438504,56.170419,83.458800,135.981281,114.217450,209.239327,8.128488,122.097512
10000000,91.212333,155.380242,270.193735,0.298023,0.596046,90.342300,58.121577,85.943410,117.272985,83.307179,147.935181,8.166627,128.533696
