element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,4.770833,19.526042,6.901584,0.500000,0.500000,1.189135,1.167800,1.166944,1.189908,1.142131,1.164596,1.481508,7.375000
110,5.559091,19.696970,12.468708,0.429688,0.859375,1.221783,1.228765,1.308023,1.969392,1.946669,2.346492,1.602657,22.090909
240,6.395139,18.750000,14.169000,0.468750,0.468750,1.285906,1.196683,1.490631,1.291513,1.191444,1.469769,1.444405,6.365278
500,6.569667,18.305000,15.201333,0.488281,0.488281,1.380383,1.301771,1.623244,1.372394,1.314217,1.580696,1.328406,6.556000
800,5.997917,80.903333,12.426375,0.390625,0.781250,1.279688,1.289310,1.427192,2.313921,1.970194,2.648054,1.568619,25.312917
1024,6.808757,20.229655,8.485000,0.500000,0.500000,1.484521,1.544610,1.578865,1.490967,1.538158,1.588519,1.430960,7.229492
1500,6.685333,60.578444,12.216500,0.366211,0.732422,1.400588,1.433327,1.422160,1.879623,1.943525,2.064996,1.715598,24.518444
2048,6.778320,46.393555,9.092750,0.500000,0.500000,1.552944,1.586485,1.648223,1.557723,1.639319,1.679340,1.558973,7.480306
3000,6.689833,48.335611,12.775625,0.366211,0.732422,1.423862,1.543858,1.465350,2.035710,2.133348,2.401971,1.814432,26.055556
6000,7.299806,53.805528,13.159416,0.366211,0.732422,1.499829,1.616696,1.561002,2.132979,2.402585,2.326225,2.151272,32.557833
8192,7.872701,40.720622,9.716458,0.500000,0.500000,1.694212,1.839921,1.786669,1.613573,1.812067,1.774960,1.506923,9.172241
12000,7.674167,47.167264,13.458083,0.366211,0.732422,1.571723,1.682492,1.636898,4.466869,2.740096,2.763081,3.787805,36.400472
16384,8.715749,38.354258,10.360667,0.500000,0.500000,1.811035,1.941385,2.655238,1.827327,1.925077,1.979035,1.980223,14.179667
25000,8.331113,46.538893,14.884834,0.381470,0.762939,1.699615,2.403756,2.696948,6.411402,6.210938,3.133146,4.881233,39.909440
32768,9.800379,41.399419,11.486959,0.500000,0.500000,3.175690,6.134392,3.921617,3.135627,3.121850,3.940387,3.721020,16.407430
45000,8.284722,58.247370,14.095167,0.343323,0.686646,1.736640,3.418235,5.069912,9.572633,7.892748,5.966954,5.458989,45.106170
60000,9.872453,52.578122,19.529292,0.457764,0.457764,3.185365,4.583185,7.395512,4.788710,4.738738,7.074987,5.125148,17.037033
100000,40.819027,86.646950,30.910875,0.381470,0.762939,31.911035,14.803871,26.276935,55.801615,47.456383,51.153077,2.178892,97.069720
150000,37.732316,116.382498,40.959625,0.286102,0.572205,24.477296,12.308567,31.252038,36.612796,27.023281,33.774004,3.463207,93.213333
200000,44.652225,108.364097,63.851084,0.381470,0.762939,34.227246,20.604379,51.705979,69.743760,57.231846,67.144110,2.678377,120.029305
300000,65.804769,136.539027,80.368541,0.286102,0.572205,64.385890,22.182396,63.625058,59.108288,45.284940,47.634598,3.358066,105.171436
400000,73.300348,123.854201,103.718291,0.381470,0.762939,70.887544,31.652150,76.888948,84.306681,79.618935,86.335904,2.700817,128.499272
600000,78.871296,162.264769,114.133194,0.286102,0.572205,95.103160,30.512090,95.836021,104.372271,86.162744,98.752246,3.829512,129.820556
800000,100.056180,162.434532,145.815651,0.381470,0.762939,118.394369,47.710579,113.753608,148.503317,134.655327,136.717208,2.755381,147.160955
1200000,63.933090,175.278993,98.073802,0.286102,0.572205,76.237475,28.752563,90.298554,117.078610,94.802344,112.918435,4.140817,115.617488
2200000,61.259830,170.870634,91.849631,0.262260,0.524521,78.642900,26.969079,95.701844,101.176213,80.304438,106.639285,4.550661,108.700524
3100000,80.810860,158.693669,125.663737,0.369549,0.739098,108.289800,47.341208,111.332602,124.785556,114.930402,122.065460,3.003704,119.286936
6000000,37.724986,90.700570,50.516611,0.357628,0.715256,12.764962,14.816575,19.652592,32.514015,34.056656,87.654704,7.907547,83.796944
10000000,43.684575,106.369569,47.852215,0.298023,0.596046,12.036756,13.379502,17.881394,21.186796,24.043592,53.966158,8.076810,87.305457
